,State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,Unnamed: 7,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,Unnamed: 12,Recipiency Rates All Programs ,Unnamed: 14
0,GA,2003.0,1.0,"4,394","3,650",195.0,5.3,40,235.0,76.78,76.79,32.7,42,32.7,42
1,GA,2003.0,2.0,"4,416","3,687",197.0,5.4,36,238.0,68.36,68.36,28.7,47,28.7,47
2,GA,2003.0,3.0,"4,415","3,692",197.0,5.3,35,232.0,71.24,71.24,30.7,39,30.7,39
3,GA,2003.0,4.0,"4,432","3,728",197.0,4.6,39,204.0,64.34,64.34,31.5,38,31.5,38
4,GA,2004.0,1.0,"4,426","3,699",199.0,4.8,43,211.0,65.43,65.43,31.1,40,31.1,40
5,GA,2004.0,2.0,"4,440","3,737",202.0,5,33,220.0,56.66,56.66,25.7,45,25.7,45
6,GA,2004.0,3.0,"4,476","3,746",203.0,5.3,23,238.0,56.56,56.56,23.7,47,23.7,47
7,GA,2004.0,4.0,"4,517","3,808",203.0,5.4,17,245.0,53.09,53.09,21.7,49,21.7,49
8,GA,2005.0,1.0,"4,533","3,773",207.0,5.8,19,263.0,53.67,53.67,20.4,52,20.4,52
9,GA,2005.0,2.0,"4,585","3,837",206.0,5.8,11,264.0,50.15,50.15,19,51,19,51
10,GA,2005.0,3.0,"4,623","3,849",206.0,5.8,10,269.0,53.4,53.4,19.9,48,19.9,48
11,GA,2005.0,4.0,"4,652","3,897",207.0,5.4,11,252.0,50.46,50.46,20,49,20,49
12,GA,2006.0,1.0,"4,653","3,871",208.0,5.2,24,243.0,51.66,51.66,21.3,51,21.3,51
13,GA,2006.0,2.0,"4,689","3,935",211.0,5.1,16,240.0,47.16,47.16,19.7,49,19.7,49
14,GA,2006.0,3.0,"4,734","3,932",212.0,5.2,13,247.0,52.71,52.71,21.3,45,21.3,45
15,GA,2006.0,4.0,"4,779","3,983",213.0,4.7,13,226.0,53.44,53.44,23.6,46,23.6,46
16,GA,2007.0,1.0,"4,776","3,942",214.0,4.8,25,228.0,55.06,55.06,24.2,49,24.2,49
17,GA,2007.0,2.0,"4,788","3,989",214.0,4.7,16,227.0,50.23,50.23,22.1,49,22.1,49
18,GA,2007.0,3.0,"4,823","3,979",216.0,5.1,15,246.0,56.79,56.79,23,47,23,47
19,GA,2007.0,4.0,"4,854","4,016",217.0,5.1,12,246.0,64.49,64.49,26.2,43,26.2,43
20,GA,2008.0,1.0,"4,868","3,948",218.0,5.7,16,278.0,69.87,69.87,25.2,48,25.2,48
21,GA,2008.0,2.0,"4,912","3,973",220.0,6.1,10,298.0,72.21,72.21,24.3,47,24.3,47
22,GA,2008.0,3.0,"4,903","3,923",218.0,7.2,8,351.0,81.67,81.67,23.3,48,23.3,48
23,GA,2008.0,4.0,"4,770","3,890",218.0,8.1,8,388.0,108.83,108.83,28.1,47,28.1,47
24,HI,2003.0,1.0,603,534,29.0,3.6,53,22.0,10.93,10.93,49.7,20,49.7,20
