State,Median selected monthly owner costs (dollars)
Alabama,858
    ,
Alaska,"1,421"
    ,
Arizona,"1,218"
    ,
Arkansas,812
    ,
California,"2,137"
    ,
Colorado,"1,769"
    ,
Connecticut,"1,846"
    ,
Delaware,"1,328"
    ,
District of Columbia,"2,561"
    ,
Florida,"1,327"
    ,
Georgia,"1,245"
    ,
Hawaii,"1,869"
    ,
Idaho,"1,171"
    ,
Illinois,"1,366"
    ,
Indiana,"1,012"
    ,
Iowa,"1,063"
    ,
Kansas,"1,113"
    ,
Kentucky,906
    ,
Louisiana,938
    ,
Maine,"1,157"
    ,
Maryland,"1,787"
    ,
Massachusetts,"2,056"
    ,
Michigan,"1,058"
    ,
Minnesota,"1,424"
    ,
Mississippi,756
    ,
Missouri,"1,036"
    ,
Montana,"1,141"
    ,
Nebraska,"1,222"
    ,
Nevada,"1,407"
    ,
New Hampshire,"1,746"
    ,
New Jersey,"2,061"
    ,
New Mexico,916
    ,
New York,"1,621"
    ,
North Carolina,"1,085"
    ,
North Dakota,"1,053"
    ,
Ohio,"1,068"
    ,
Oklahoma,970
    ,
Oregon,"1,553"
    ,
Pennsylvania,"1,161"
    ,
Rhode Island,"1,708"
    ,
South Carolina,972
    ,
South Dakota,"1,081"
    ,
Tennessee,979
    ,
Texas,"1,373"
    ,
Utah,"1,555"
    ,
Vermont,"1,406"
    ,
Virginia,"1,474"
    ,
Washington,"1,777"
    ,
West Virginia,621
    ,
Wisconsin,"1,183"
    ,
Wyoming,"1,060"
    ,
Puerto Rico,310
    ,
