,State,Change in Recipiency Rate (2002-2012),% Change in Recipiency Rate (2002-2012),% Change in Real Average WBA (2002-2012),% Change in Real Maximum WBA (2002-2012),% Change in Real Minimum WBA (2002-2012),Change in Recipiency Rate (2003-2013),% Change in Recipiency Rate (2003-2013),% Change in Real Average WBA (2003-2013),% Change in Real Maximum WBA (2003-2013),% Change in Real Minimum WBA (2003-2013),Change in Recipiency Rate (2004-2014),% Change in Recipiency Rate (2004-2014),% Change in Real Average WBA (2004-2014),% Change in Real Maximum WBA (2004-2014),% Change in Real Minimum WBA (2004-2014),Change in Recipiency Rate (2005-2015),% Change in Recipiency Rate (2005-2015),% Change in Real Average WBA (2005-2015),% Change in Real Maximum WBA (2005-2015),% Change in Real Minimum WBA (2005-2015),Change in Recipiency Rate (2006-2016),% Change in Recipiency Rate (2006-2016),% Change in Real Average WBA (2006-2016),% Change in Real Maximum WBA (2006-2016),% Change in Real Minimum WBA (2006-2016),Change in Recipiency Rate (2007-2017),% Change in Recipiency Rate (2007-2017),% Change in Real Average WBA (2007-2017),% Change in Real Maximum WBA (2007-2017),% Change in Real Minimum WBA (2007-2017),Change in Recipiency Rate (2008-2018),% Change in Recipiency Rate (2008-2018),% Change in Real Average WBA (2008-2018),% Change in Real Maximum WBA (2008-2018),% Change in Real Minimum WBA (2008-2018),Change in Recipiency Rate (2009-2019),% Change in Recipiency Rate (2009-2019),% Change in Real Average WBA (2009-2019),% Change in Real Maximum WBA (2009-2019),% Change in Real Minimum WBA (2009-2019),Change in Recipiency Rate (2010-2020),% Change in Recipiency Rate (2010-2020),% Change in Real Average WBA (2010-2020),% Change in Real Maximum WBA (2010-2020),% Change in Real Minimum WBA (2010-2020),Change in Recipiency Rate (2011-2021),% Change in Recipiency Rate (2011-2021),% Change in Real Average WBA (2011-2021),% Change in Real Maximum WBA (2011-2021),% Change in Real Minimum WBA (2011-2021),Change in Recipiency Rate (2012-2022),% Change in Recipiency Rate (2012-2022),% Change in Real Average WBA (2012-2022),% Change in Real Maximum WBA (2012-2022),% Change in Real Minimum WBA (2012-2022),Change in Recipiency Rate (2013-2023),% Change in Recipiency Rate (2013-2023),% Change in Real Average WBA (2013-2023),% Change in Real Maximum WBA (2013-2023),% Change in Real Minimum WBA (2013-2023)
0,AK,-12.535752672248002,-20.855887104351282,6.944698493994278,18.580375782880996,1.1527377521613758,-8.844900478662005,-15.836219827276285,7.423208191126267,19.3212964977159,1.7900931829328024,-10.353980584274996,-19.272989806004905,8.476149229722216,19.86999688348693,2.2584692597239613,-13.729443069608005,-26.35225329726478,16.606614335349377,22.110575820142234,4.163434186708041,-10.876824494056997,-21.55414132990482,18.055377515703107,23.890865954922905,5.696710350361066,-11.876817093324005,-24.790858657170574,20.27470274702746,24.29746401644962,6.0430463576158875,-14.302472986148002,-29.942284180898664,12.178573851686016,24.478111066072135,6.1679040548258035,-18.896972572646998,-37.9399243610947,-7.217884626186595,-19.058735958857763,-19.04761904761904,36.262326506521994,77.03820897268095,-13.719479401957615,-19.57726246665299,-19.570621468926547,-4.384142659237,-9.696773486222368,-12.773621501801044,-20.8751011220147,-20.86916105042994,-19.536951315430002,-41.06921775891773,-12.793614595210945,-25.161684392066686,-25.142450142450134,-21.254522756112,-45.21522491872501,-13.775104958583912,-27.17858965944724,-27.17417489761503
1,AL,-12.602397161342003,-38.11201244706349,-4.068819800784793,8.27559871256341,-22.385997236296635,-9.954173666997997,-32.37804608743506,-6.702759959983531,-1.317915572611586,-21.79547596606975,-7.282606166703001,-27.5072416336286,-5.224823933064473,-0.49704877291083127,-21.16453249577192,-11.514347982358997,-39.241466211226786,-2.9856136760368432,-1.4486818530841998,-18.1931931931932,-13.703486930873998,-44.50581397211782,-0.8820082649725571,0.7833589160006297,-16.330227743271227,-13.374346505540002,-42.36724949599842,-0.48321305302791456,-2.7822643672172163,-15.605858854860177,-10.484413301443002,-35.693472199135876,-2.9769706047556523,-3.053799989378087,-14.032168607875766,-10.95750442508,-33.562592905962504,-8.138992537313436,-12.28976746453469,-15.60773480662984,28.059815646651,120.95482126993502,-3.751555739939539,-11.79108037204865,-15.0,-0.7202005613880014,-3.5105348465339548,2.440983809170694,-13.164257166822905,-16.32771644392795,-11.3912879513408,-55.664099656309716,-10.087470895475427,-18.334340991535665,-21.305637982195854,-4.578815378056,-22.024742560259654,-10.754383751734569,-20.62631121117536,-23.53118409159385
2,AR,-20.327224331067008,-37.76592793936892,-1.271128525217559,6.536354581673308,6.080497495249604,-16.450259533258997,-34.902368953866876,2.31337390254099,2.2283694482864607,2.1720540448093093,-9.991153465937996,-24.508860528992386,-0.2050804008389642,3.082353682750787,1.3807386952019405,-6.953161049893996,-17.59791984187414,6.593458607469104,6.956323039759746,1.9577269577269623,-7.290952025047997,-18.432539832478067,-10.461496199981685,-1.216278006401466,-0.34246575342465024,-12.920335033607,-31.59552978614752,-9.909827015090181,-3.6616812790097972,-3.746835443037973,-22.082239159125,-47.31847289045608,-12.86172139904315,-5.2029295086969825,-4.616173704906826,-30.169656439687,-55.211614635362835,-21.427655481940587,-11.6866635902169,-11.220536002583138,21.361579104845994,51.83013390578236,-28.719162175189528,-13.07537976497564,-12.848,-1.7172297589079955,-4.9234984882768,-26.636631114380283,-16.32215232076074,-16.31961259079903,-15.260541303983999,-45.55791084276726,-22.89340101522842,-22.335514783218414,-22.260218205503982,-9.719639817479,-31.67868445116148,-21.076049943246307,-23.51473241130488,-23.518580515567468
3,AZ,-6.802736692890998,-25.191932605345535,-9.658804414813158,-6.948095458996955,19.202324352879035,-13.483303369537996,-44.59925157406999,-5.173008391769169,-6.368421052631576,143.94388993795525,-9.434759467254,-34.7061656528162,-4.690496948561477,-5.94064738514569,147.03284570797683,-5.245600202293002,-24.01727659369504,-12.066332096879776,-18.153802389531574,71.87559264175991,-2.4367025381069993,-12.435714618097297,-10.714683290660137,-16.960039225300306,74.38713473230045,-9.085599035232,-34.274199753557326,-10.95434279586884,-16.684372944806995,74.94941319303923,-10.853816703177,-40.82134949209115,-11.340737348294024,-16.570680628272257,128.04188481675394,-19.303053157626998,-58.28335373930261,-14.746335963923334,-19.059044439808048,132.02587106196535,24.19179275826,97.37528994872562,-12.26900584795321,-19.578170313735825,150.66441678970682,0.7102325815260019,3.1899242011346125,-12.348976989860969,-20.876260709250623,150.58568329718,-7.671665032233002,-37.976857156730354,-9.978294573643414,-25.159253309699213,149.47928207400844,1.3692681497180004,8.175308296131787,1.5820099405988688,-2.9061270376616166,28.92845294703085
4,CA,-20.069631583678998,-43.731054445777815,7.9290607112695906,8.38589862636483,-20.5229793977813,-17.088526078004,-38.243191468079374,-2.1335807050092774,-2.735252092263726,-20.016185594820616,-8.796870695386,-22.229236566051604,-5.770584095707248,-11.816663973716809,-19.652221915539602,-6.4440667600750015,-16.77953771453882,-9.499211356466878,-18.155153231516135,-18.150782361308675,-4.8723625311209995,-12.343981162641102,-7.874890847027071,-16.95606694560669,-16.94616063548103,-1.0672088201590046,-2.7250918421342605,-9.879650751199561,-16.687351608029346,-16.69195751138089,2.124312241673998,5.590406791523075,-8.82587540878998,-16.567072489668263,-16.556707508639647,3.7329393942179987,10.14110691541178,-14.30106289090979,-19.058614070715233,-19.061032863849764,66.617520365076,233.101334463284,-21.356996257394673,-19.578177727784027,-19.582410629547606,17.912409427301,71.7814660545814,-14.853158673145996,-20.871652495806572,-20.884840598568637,16.006774366446002,61.98485580486503,-10.228655885932882,-25.16100443131462,-25.157859754071122,14.761486038262001,53.49272942268129,-10.564411891426102,-27.177334732423926,-27.18381112984823
5,CO,-9.383950474147,-31.53769389732588,-10.728184156717903,-7.47493904091033,-20.49873203719358,-5.928419929928,-21.80578409363367,-7.119807058663671,-6.362502710908689,-20.025895554596463,3.142306472680001,14.22505277218711,-0.8653638133698629,-2.9017671373484717,-19.655477031802114,9.122865592308003,47.15714281109889,5.061120233534028,-2.669909698342143,-18.16112881201638,10.055089583756002,48.53360141166959,9.207395204100324,-0.9811046511627881,-16.94915254237287,7.218464669583999,31.306180197270322,6.02492077211179,-1.172267500279108,-16.707139388052457,-1.1776142329299994,-5.185902034977402,5.173848547342528,5.047462577583052,-16.582914572864308,-10.039477629350998,-30.95413963623533,-1.4771544633564901,1.786284818031304,-19.078617926890328,39.296671673445,152.71720600674286,-10.75469702844654,1.842488645128114,-19.585020242914982,9.37239514818,43.07037564324251,-1.7199385468580326,12.493336260152414,-20.87454450806872,1.6039877450470001,7.8739698674622325,3.443052938786063,4.837340048607649,-25.1993620414673,5.896952153031002,27.738675752116343,18.052152287605608,5.4833386410352905,-27.19913653534809
6,CT,-30.433594814829,-46.33105438150385,-10.125682651305441,8.102940416515947,-23.426573426573434,-20.345228582779,-37.176942837044955,-11.43857063916006,11.728119669334731,-22.286125089863404,-10.296533621989001,-21.287768397742862,-5.984195687567018,9.057565746689903,-20.684523809523807,-7.413004480999002,-16.157858748933933,-1.6444070107889235,9.338370378037098,-17.73323053199692,-5.820637590753003,-12.055977746996318,3.5325864747730744,8.494845360824737,-15.654952076677308,-2.4100433532190046,-5.148010379876636,6.6838677970266716,8.359842219111853,-15.000000000000002,1.7875589162680006,3.9798811658670066,6.76459696333787,5.819471374630065,-13.543441226575808,-6.806482826692001,-12.783810752636809,2.191823410539401,3.5050987733385783,-14.83375959079284,60.773837811598995,165.8528562682795,-17.90979009774074,3.568567475056439,-14.335360556038232,8.734736861967002,26.255442013282188,-8.316430020283978,2.1420791480092034,-15.040286481647266,-7.792069678679003,-22.102871244946655,5.277396262537969,-3.162197045747889,-18.995433789954337,8.133999692651999,23.658989147048555,15.603161397670556,-5.5949640625734,-20.629047178538393
7,DC,-18.206340488656004,-52.69288604680968,-20.565489729502744,-9.808130953978267,-22.367330016583743,-15.502543132795003,-47.58582824020471,-10.565476190476183,-9.145504461221682,-21.802757158006365,-5.7410676810659975,-26.025604953155064,-8.592283628779978,-8.385530297698637,-21.13962592431492,-5.217331941916001,-25.601865437338496,-8.895502645502638,-18.182388556012167,-18.198198198198195,-5.497012417319,-26.07967198722146,-8.86045094454601,-16.325537643128236,-16.325104797391706,-5.683577200755,-25.26923221575292,3.3899713348012117,-0.10681620935976807,-15.60402684563758,-2.981145412515998,-13.306559944321933,4.343260385600875,3.4522319566124344,-14.028956565152281,4.345594636793998,21.166235081454975,-2.141508296837954,2.9709141274238173,-15.58925907508701,113.407197431284,729.3391032046086,-3.9114876814872663,5.122878670516165,-15.015166835187069,47.126438997402005,285.6866574651311,1.459097776818474,3.4928613053612967,-16.317991631799167,2.475210595687,15.143108251499507,1.0704845814978003,-2.6703362094614724,-21.308411214953278,7.663808000688999,44.88183168648034,2.6712236362818715,-5.405099150141644,-23.515052888527254
8,DE,-17.113838404773002,-35.261186434856214,-22.16039279869067,-22.369495571329857,-22.383419689119172,-22.223836263119,-42.09344409108659,-24.46588559614059,-19.352486993405567,-21.792152704135734,-17.932497534111004,-35.47439481865294,-20.675510560307206,-21.146622734761124,-21.152800435019035,-9.760234631732,-23.404939856196048,-15.478615071283091,-18.183059176847987,-18.18693693693695,-15.092804758220996,-33.25317673543663,-14.100237330727342,-16.327322770739965,-16.35622817229337,-26.416482283070003,-49.12887953436604,-11.654757961482053,-15.622049531556389,-15.638106650689041,-16.365549325602004,-35.40405149944635,-12.273515805705474,-14.02798789712556,-13.982521847690387,-13.695011036498,-32.17007866344941,-12.286107029435458,-15.602516291859725,-15.599751398384088,37.273973077627,106.82068046494706,-17.408768062698993,3.025892446759627,-14.981036662452599,1.325917095178003,4.078317319121492,-3.926341411789601,1.4263639605372729,-16.33986928104575,-14.446019512052999,-45.976187482863274,-2.060555088309512,-4.608350865835891,-21.29506008010682,-7.802242190946002,-25.52037927644804,5.2973379132675,-7.293421539220117,-23.525423728813564
10,GA,-13.278493541809002,-41.66023183398935,-13.043845568978623,-9.795620437956206,-12.43688546372575,-14.722104479673002,-47.783854328821526,-14.942084942084936,-12.519769949676487,-13.9713679745493,-10.927495074024998,-43.319977658225966,-11.557046979865778,-13.26157080207315,-13.264474041859199,-6.888478090026001,-33.577981154015504,-8.040995078784597,-10.000750807117646,-9.99436936936938,-9.637368352681001,-43.8564641641857,-8.866711022399636,-7.961029383224,-7.94759825327511,-11.770923574660001,-49.03128275192689,-7.384601555126076,-12.986818454164172,-11.611982881597708,-12.274988071403001,-47.98589400149446,-7.620928843768664,-11.342096025586015,-14.014184397163124,-17.094211005313998,-54.94006747132729,-10.915675116399388,-15.602516291859725,-15.621468926553666,97.34344185128,418.1492593101855,-19.147667324189186,-5.986670752259842,6.262568227520826,29.917631730226997,141.6008645745354,-13.003140165572372,-7.4487895716945935,4.6062407132243814,4.467184261150001,24.023818784815592,-6.2323909453026385,-12.955170739601881,-1.6084977238239788,2.8568211064059987,17.757814573844506,-3.1119180914914084,-15.40452808480914,-4.406779661016959
