,State,% Change in Real Average WBA (2018-2023),% Change in Real Maximum WBA (2018-2023),% Change in Real Minimum WBA (2018-2023),% Change in Recipiency Rate (2018-2023),% Change in Real Average WBA (2013-2023),% Change in Real Maximum WBA (2013-2023),% Change in Real Minimum WBA (2013-2023),% Change in Recipiency Rate (2013-2023),% Change in Real Average WBA (2003-2023),% Change in Real Maximum WBA (2003-2023),% Change in Real Minimum WBA (2003-2023),% Change in Recipiency Rate (2003-2023)
0,AK,-8.080319341962024,-18.7039524565474,-18.692845615922536,-7.71140969804199,-13.775104958583912,-27.17858965944724,-27.17417489761503,-21.254522756112,-7.374451487079487,-13.108549053730693,-25.870524767042667,-30.099423234773997
1,AL,-8.986234401132123,-15.021365180234463,-18.12903225806452,-2.67846143818699,-10.754383751734569,-20.62631121117536,-23.53118409159385,-4.5788153780559995,-16.736303183663857,-21.672389416279533,-40.19792648444863,-14.53298904505399
2,AR,-7.340085287846472,-18.1104136488009,-18.10360279620004,-3.622714584306,-21.076049943246307,-23.51473241130488,-23.518580515567468,-9.719639817479,-19.25024387977888,-21.81035807591825,-21.857362750128274,-26.169899350738003
3,AZ,8.213340220830373,8.396611233134607,7.071356414730465,2.383331844688,1.5820099405988688,-2.9061270376616166,28.92845294703085,1.369268149718,-3.6728359581561034,-9.089473684210532,214.51308335581336,-12.11403521981999
4,CA,-9.199072656489218,-18.705445296027317,-18.71234939759036,2.233244003299,-10.564411891426102,-27.17733473242393,-27.18381112984823,14.761486038262001,-12.472592342722209,-29.16921820779751,-41.75883463717292,-2.327040039742
5,CO,11.042691527056322,5.526110000868897,-18.734939759036152,5.6255275258,18.052152287605608,5.4833386410352905,-27.19913653534809,5.896952153031,9.647066816128277,-1.2280416395575724,-41.77816141562366,-0.03146777689699
6,CT,7.106794619801902,-3.0981025628661585,-15.467980295566504,-4.188275105366,15.603161397670556,-5.5949640625734,-20.629047178538396,8.133999692651999,2.379812120095796,5.476971526046452,-38.31775700934579,-12.211228890127
7,DC,-8.091461696389032,-15.838290150216755,-18.1184668989547,5.3169004754259905,2.6712236362818715,-5.405099150141644,-23.51505288852725,7.663808000688991,-8.176480051480045,-14.056280027453663,-40.19088016967126,-7.838735132106001
8,DE,7.767096951386973,-0.7434780695965851,-18.1422351233672,-7.08917280217399,5.2973379132675,-7.293421539220117,-23.525423728813564,-7.802242190946,-20.464588316374098,-25.23445007787387,-40.19088016967126,-30.026078454065004
9,FL,-14.079169824520497,-18.107908351810785,-18.103448275862064,0.88133444092999,-15.391239451174007,-23.510848126232744,-23.516949152542374,-4.0155003858019995,-32.34173438002112,-40.1843211352331,-40.19218025182239,-21.505747610719002
10,GA,-4.475385380407757,-9.42765386476618,2.342461233916202,5.63908399057799,-3.1119180914914084,-15.40452808480914,-4.406779661016959,2.85682110640599,-17.58901758901759,-25.99568655643421,-17.762460233297983,-11.865283373267
11,HI,-3.2464871194379485,0.206812652068132,-18.674698795180717,-1.536546135866,3.2392078465671283,4.049820625536868,-27.223719676549862,4.018021020507,11.166795600551607,12.49658563234089,-41.68466522678185,-3.2602983239059897
12,IA,6.270530695671218,0.3426753151389073,-0.0818833162743073,-21.722308513226,18.136817333441535,9.327288485899048,9.219064667710908,-11.008007113055001,22.6659925851028,18.989913649227187,20.251293422025125,-21.795222653910002
13,ID,8.837557280463844,6.786657245918708,-18.71993306839574,-5.23556936334199,16.88846482197559,8.51787468823219,-27.18755855349447,-5.03528760695799,4.681807960422756,-1.953018301010643,-17.79141104294479,-29.656722139918003
14,IL,8.661058389623296,4.568389057750752,-17.13973799126638,-3.724146642463,21.63566358955327,9.96292271303457,-21.408231944084918,5.066590556051,8.396031417941288,11.799688028077457,-36.933942667220606,-12.42803600928399
15,IN,-8.577729810895782,-17.14081741923969,-17.15575620767494,1.5361209972549998,1.7389033942558811,-21.429054968860008,-21.44131287905816,0.224361677484,-25.73944198810794,-26.809812082229797,-53.34745762711864,-19.18189878453099
16,KS,4.04440048356961,-2.108725660078125,-1.687116564417186,-4.950573904787,9.762318840579706,-3.508670352893496,-3.508568781843448,-15.163533078028,6.498425078746056,2.352218639643797,2.6484355752648328,-23.85184731611999
17,KY,10.510315755340269,14.423668945850498,-18.093819806403573,-11.67893033035289,22.12318029115341,15.373305015520344,-23.50486787204451,-10.82283545490289,11.005252229143752,13.80777412492749,-40.18488308863513,-22.86701185605189
18,LA,-6.154895939952241,-8.828023980251547,186.5021770682148,2.83387801908699,-9.53164057360874,-14.844093104962669,167.84260515603796,-2.93995679557199,-28.56326615416581,-36.24332100287711,109.33191940615058,-12.819364446212
19,MA,14.347531718230258,11.525378125420389,16.67839549612947,4.061292163919,35.20710059171597,19.518876279529582,39.50357593605384,14.280737698929,21.367868524651623,23.45232523507636,23.31721829676458,-3.7882933316919902
20,MD,-10.765806611161487,-18.1099969614099,-18.1184668989547,4.966591980635,-10.625825627476884,-23.5123458736716,-23.51505288852725,1.474534138553,-7.240788346186807,-17.031538619415738,19.592875318066163,-5.56598890087299
21,ME,13.236376228195478,8.75437541986352,8.807450900992105,4.944548221824,25.244159325928774,14.78095380252256,14.780008543357544,2.295783284925,20.958942112076944,17.230734049851353,18.29187761391152,-6.9394499566839905
22,MI,-11.722072736741598,-17.14351638209507,-9.820075757575747,-1.6703134912000002,-9.361910703145885,-21.43091565474237,7.4466884801985875,2.14228586852499,-26.322080556360472,-36.944688323090425,24.54878367774001,-18.741987893410002
23,MN,0.4373537021066945,2.320149486141385,5.139186295503217,10.540570723926,15.621897603176857,10.359074266904049,8.030803080308036,18.539401121451,6.847968545216262,-25.466754383974955,-45.24672428212991,11.50032693966799
24,MO,-10.39593589609301,-17.140122678035414,-17.143993635640424,-5.89807633264099,-7.936934997847612,-21.426508807392437,-21.425877027536792,-4.55875906570099,-13.108176739461658,-19.28553267226036,-44.835805084745765,-22.068239488029988
25,MS,-12.775299693337042,-18.113300796935807,-18.10261374636979,3.233505968097,-12.684015907346684,-23.51855057411574,-23.50813743218806,-4.42040962296499,-24.576628698848918,-33.06907695415067,-40.19088016967125,-15.778310077087
26,MT,10.485133020344296,3.1110077339070736,3.08101191062112,0.38111886538599,16.32525828286428,7.274872198191116,11.2385808370512,-3.9681593238449997,27.380894328765805,28.83350891851637,61.405672009864375,-8.924671759489
27,NC,-5.375383756628521,-18.110170897627352,-18.10261374636979,1.0056269516209901,-22.48388129315469,-49.96324927132176,-75.05896226415094,-13.07757929334,-34.80250759586169,-48.69009252521053,-73.61197754210855,-25.237295459286003
28,ND,-4.395043950439498,-7.98051962968919,-17.15765619941729,-8.004702997933991,5.41497138698687,2.47902169463774,-21.43076450721523,-2.1699409056789998,45.06554989075018,46.33228611090816,-36.9549150036955,-6.6537035031950005
