Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2006, AL, 499, 499, 0.429, 0.378, $188.80, $499.90
2006, AK, 471, 449, 0.310, 0.269, $183.60, $683.68
2006, AZ, 433, 432, 0.453, 0.330, $211.42, $640.34
2006, AR, 480, 470, 0.528, 0.489, $254.34, $519.87
2006, CA, 1039, 1035, 0.504, 0.414, $296.48, $716.23
2006, CO, 476, 472, 0.493, 0.432, $321.43, $743.40
2006, CT, 480, 437, 0.378, 0.323, $293.12, $907.62
2006, DE, 360, 339, 0.429, 0.383, $250.23, $654.07
2006, DC, 360, 233, 0.439, 0.356, $286.64, $805.10
2006, FL, 487, 473, 0.385, 0.300, $235.39, $784.64
2006, GA, 480, 438, 0.477, 0.405, $262.53, $647.86
2006, HI, 420, 419, 0.571, 0.485, $375.44, $773.71
2006, ID, 480, 469, 0.518, 0.482, $252.17, $523.41
2006, IL, 496, 492, 0.389, 0.345, $256.30, $742.39
2006, IN, 483, 468, 0.521, 0.471, $301.25, $640.10
2007, AL, 480, 477, 0.410, 0.366, $190.95, $521.35
2007, AK, 480, 473, 0.305, 0.264, $177.67, $674.02
2007, AZ, 481, 478, 0.443, 0.365, $215.13, $588.65
2007, AR, 480, 475, 0.537, 0.516, $260.47, $504.69
2007, CA, 1044, 1036, 0.490, 0.412, $308.70, $748.47
2007, CO, 477, 476, 0.491, 0.435, $337.14, $775.00
2007, CT, 475, 421, 0.363, 0.337, $300.12, $889.83
2007, DE, 360, 349, 0.444, 0.397, $253.24, $637.80
2007, DC, 360, 293, 0.442, 0.371, $288.45, $776.65
2007, FL, 480, 457, 0.375, 0.311, $239.13, $768.94
2007, GA, 480, 446, 0.492, 0.434, $266.62, $614.08
2007, HI, 400, 400, 0.567, 0.498, $387.67, $778.77
2007, ID, 483, 463, 0.493, 0.458, $256.18, $559.68
2007, IL, 564, 560, 0.407, 0.364, $268.98, $739.29
2007, IN, 480, 473, 0.546, 0.503, $306.45, $609.64
2008, AL, 480, 477, 0.425, 0.395, $199.98, $506.91
2008, AK, 482, 469, 0.306, 0.271, $185.20, $683.41
2008, AZ, 446, 441, 0.426, 0.368, $219.50, $596.56
2008, AR, 480, 476, 0.528, 0.508, $268.70, $528.97
2008, CA, 956, 955, 0.480, 0.419, $315.07, $751.39
2008, CO, 232, 232, 0.498, 0.333, $347.30, $1,042.77
2008, CT, 480, 447, 0.396, 0.368, $310.64, $844.87
2008, DE, 360, 346, 0.431, 0.379, $259.00, $684.24
2008, DC, 360, 346, 0.420, 0.335, $297.13, $886.80
2008, FL, 482, 471, 0.351, 0.299, $239.55, $801.29
2008, GA, 480, 457, 0.486, 0.427, $271.70, $636.55
2008, HI, 387, 386, 0.559, 0.484, $416.42, $859.98
2008, ID, 480, 453, 0.494, 0.463, $275.49, $595.08
2008, IL, 481, 478, 0.395, 0.340, $271.84, $800.24
2008, IN, 480, 474, 0.538, 0.492, $314.70, $639.11
2009, AL, 365, 363, 0.414, 0.380, $213.22, $560.77
2009, AK, 483, 476, 0.325, 0.296, $222.87, $751.89
2009, AZ, 465, 461, 0.385, 0.325, $222.08, $682.45
2009, AR, 412, 411, 0.535, 0.516, $290.82, $563.49
2009, CA, 580, 576, 0.459, 0.388, $326.24, $841.22
2009, CO, 143, 139, 0.506, 0.385, $372.89, $968.82
2009, CT, 361, 341, 0.431, 0.397, $328.96, $829.30
2009, DE, 270, 265, 0.414, 0.366, $262.25, $715.63
2009, DC, 361, 358, 0.376, 0.300, $309.39, $1,030.69
2009, FL, 414, 412, 0.387, 0.326, $239.94, $735.96
2009, GA, 198, 191, 0.525, 0.473, $288.35, $609.69
2009, HI, 295, 295, 0.584, 0.498, $427.09, $858.15
2009, ID, 360, 353, 0.505, 0.460, $275.62, $599.18
2009, IL, 489, 488, 0.403, 0.353, $284.67, $805.45
2009, IN, 480, 479, 0.532, 0.470, $321.07, $682.85
2010, AL, 483, 482, 0.408, 0.372, $213.27, $572.78
2010, AK, 482, 474, 0.330, 0.303, $235.30, $775.81
2010, AZ, 503, 499, 0.405, 0.343, $216.40, $630.66
2010, AR, 480, 478, 0.513, 0.496, $288.45, $582.13
2010, CA, 841, 840, 0.448, 0.380, $314.46, $827.45
2010, CO, 480, 478, 0.504, 0.455, $359.00, $789.12
