Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2012, IA, 480, 477, 0.530, 0.493, $316.01, $640.65
2012, KS, 489, 486, 0.543, 0.499, $325.95, $652.81
2012, KY, 484, 482, 0.489, 0.445, $301.77, $678.85
2012, LA, 486, 474, 0.399, 0.345, $199.08, $576.36
2012, ME, 480, 464, 0.505, 0.458, $286.29, $624.65
2012, MD, 480, 469, 0.481, 0.428, $326.45, $763.37
2012, MA, 675, 668, 0.485, 0.459, $391.48, $852.49
2012, MI, 480, 477, 0.488, 0.431, $290.80, $675.11
2012, MN, 503, 502, 0.482, 0.449, $353.56, $787.87
2012, MS, 484, 481, 0.426, 0.379, $192.95, $508.99
2012, MO, 480, 479, 0.417, 0.372, $244.88, $658.01
2012, MT, 360, 359, 0.465, 0.402, $285.23, $709.45
2012, NE, 360, 360, 0.474, 0.454, $260.85, $574.99
2012, NV, 480, 478, 0.474, 0.410, $305.93, $746.33
2012, NH, 362, 355, 0.416, 0.388, $280.63, $722.79
2013, IA, 480, 479, 0.532, 0.498, $325.35, $653.13
2013, KS, 452, 451, 0.533, 0.489, $341.57, $698.71
2013, KY, 503, 502, 0.468, 0.432, $302.73, $700.23
2013, LA, 494, 485, 0.391, 0.338, $206.14, $609.92
2013, ME, 461, 457, 0.514, 0.470, $289.96, $616.86
2013, MD, 499, 494, 0.472, 0.397, $328.47, $827.43
2013, MA, 573, 568, 0.472, 0.438, $398.82, $910.58
2013, MI, 459, 455, 0.498, 0.436, $296.25, $679.73
2013, MN, 493, 492, 0.491, 0.451, $372.32, $824.83
2013, MS, 502, 497, 0.416, 0.377, $194.36, $516.20
2013, MO, 480, 480, 0.426, 0.383, $245.32, $639.89
2013, MT, 362, 362, 0.469, 0.458, $302.95, $662.00
2013, NE, 360, 358, 0.475, 0.438, $273.39, $623.98
2013, NV, 507, 506, 0.481, 0.404, $312.90, $774.62
2013, NH, 364, 363, 0.404, 0.368, $292.58, $795.73
2014, IA, 480, 479, 0.528, 0.490, $336.82, $687.79
2014, KS, 461, 459, 0.533, 0.489, $351.34, $718.96
2014, KY, 489, 487, 0.466, 0.419, $302.66, $722.21
2014, LA, 484, 481, 0.389, 0.329, $207.35, $629.94
2014, ME, 489, 489, 0.507, 0.471, $294.00, $623.73
2014, MD, 477, 471, 0.476, 0.413, $328.19, $794.09
2014, MA, 497, 492, 0.479, 0.443, $416.22, $940.48
2014, MI, 483, 482, 0.498, 0.448, $296.42, $661.38
2014, MN, 494, 494, 0.490, 0.446, $390.82, $876.74
2014, MS, 501, 501, 0.418, 0.365, $199.17, $546.32
2014, MO, 480, 475, 0.414, 0.368, $245.26, $666.58
2014, MT, 361, 361, 0.463, 0.448, $310.58, $693.60
2014, NE, 360, 360, 0.481, 0.450, $286.81, $637.22
2014, NV, 484, 484, 0.486, 0.419, $314.62, $750.58
2014, NH, 361, 360, 0.413, 0.379, $293.47, $773.83
2015, IA, 480, 477, 0.532, 0.483, $346.24, $717.49
2015, KS, 507, 505, 0.544, 0.490, $365.58, $746.48
2015, KY, 520, 515, 0.473, 0.422, $316.05, $749.31
2015, LA, 484, 478, 0.373, 0.313, $213.75, $682.25
2015, ME, 490, 489, 0.509, 0.469, $303.68, $647.31
2015, MD, 468, 463, 0.479, 0.406, $333.05, $820.51
2015, MA, 521, 521, 0.472, 0.427, $425.88, $997.51
2015, MI, 493, 492, 0.492, 0.420, $303.84, $724.11
2015, MN, 484, 483, 0.493, 0.460, $406.24, $882.75
2015, MS, 502, 502, 0.407, 0.354, $204.33, $577.18
2015, MO, 489, 489, 0.418, 0.375, $253.44, $676.65
2015, MT, 350, 350, 0.472, 0.439, $330.44, $752.54
2015, NE, 361, 361, 0.485, 0.450, $300.42, $667.22
2015, NV, 496, 496, 0.499, 0.432, $326.05, $755.44
2015, NH, 364, 363, 0.391, 0.351, $303.52, $864.74
2016, IA, 480, 479, 0.527, 0.487, $362.17, $744.34
2016, KS, 460, 459, 0.525, 0.473, $370.51, $783.63
2016, KY, 530, 521, 0.469, 0.422, $325.99, $772.36
2016, LA, 494, 491, 0.354, 0.294, $216.87, $737.16
2016, ME, 490, 490, 0.502, 0.460, $316.92, $688.85
2016, MD, 554, 547, 0.479, 0.412, $331.76, $806.08
2016, MA, 520, 518, 0.463, 0.427, $460.19, $1,078.73
2016, MI, 481, 480, 0.490, 0.426, $313.20, $735.40
2016, MN, 495, 494, 0.492, 0.447, $427.37, $956.94
2016, MS, 504, 503, 0.398, 0.342, $206.13, $603.01
2016, MO, 494, 494, 0.420, 0.373, $252.99, $677.68
2016, MT, 368, 368, 0.483, 0.463, $342.55, $740.26
2016, NE, 362, 361, 0.472, 0.434, $315.00, $726.28
2016, NV, 502, 502, 0.502, 0.427, $330.11, $772.80
2016, NH, 367, 361, 0.388, 0.340, $315.14, $925.82
2017, IA, 480, 473, 0.531, 0.482, $380.12, $788.94
2017, KS, 492, 491, 0.500, 0.443, $384.01, $866.26
2017, KY, 520, 502, 0.474, 0.420, $331.10, $789.21
2017, LA, 474, 473, 0.362, 0.303, $215.65, $711.82
2017, ME, 482, 482, 0.505, 0.464, $331.81, $714.60
2017, MD, 492, 492, 0.467, 0.401, $344.54, $859.36
2017, MA, 490, 486, 0.461, 0.415, $486.66, $1,173.08
2017, MI, 480, 478, 0.471, 0.401, $319.20, $796.67
2017, MN, 473, 472, 0.488, 0.445, $444.58, $999.76
