Year,State,Sample,Valid Cases,Replacement Ratio 1,Replacement Ratio 2,Average WBA,Average Weekly Wage
2024,NJ,484,474,0.514,0.437,591.88,1355.73
2024,NM,483,483,0.505,0.452,440.55,973.84
2024,NY,480,477,0.385,0.317,421.41,1330.06
2024,NC,520,516,0.346,0.281,316.06,1124.38
2024,ND,362,361,0.511,0.498,582.37,1170.23
2024,OH,484,480,0.429,0.390,469.70,1205.24
2024,OK,486,483,0.480,0.422,421.51,998.14
2024,OR,463,458,0.495,0.446,582.08,1303.75
2024,PA,466,465,0.493,0.433,465.52,1074.45
2024,PR,383,368,0.461,0.405,219.38,541.63
2024,RI,343,343,0.449,0.400,460.45,1151.84
2024,SC,494,491,0.374,0.302,302.35,1000.43
2024,SD,361,360,0.468,0.422,456.66,1082.62
2024,TN,474,474,0.334,0.249,277.03,1111.94
2024,TX,482,482,0.468,0.388,492.52,1269.37
