Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2006, UT, 481, 479, 0.487, 0.449, $280.20, $623.90
2006, VT, 360, 346, 0.485, 0.455, $272.89, $600.33
2006, VA, 480, 471, 0.418, 0.356, $258.98, $727.62
2006, WA, 622, 568, 0.488, 0.452, $327.33, $724.28
2006, WV, 480, 479, 0.432, 0.416, $238.39, $572.94
2006, WI, 480, 444, 0.474, 0.433, $257.74, $594.81
2006, WY, 360, 342, 0.493, 0.464, $259.02, $558.84
2007, UT, 481, 462, 0.490, 0.458, $299.45, $654.02
2007, VT, 360, 355, 0.511, 0.486, $282.11, $580.32
2007, VA, 480, 474, 0.449, 0.398, $273.83, $687.90
2007, WA, 492, 407, 0.481, 0.440, $335.13, $761.64
2007, WV, 480, 479, 0.442, 0.423, $242.63, $574.23
2007, WI, 480, 465, 0.476, 0.444, $273.11, $615.26
2007, WY, 360, 352, 0.505, 0.470, $282.83, $602.30
2008, UT, 482, 463, 0.490, 0.449, $319.18, $710.65
2008, VT, 361, 360, 0.510, 0.485, $290.96, $599.38
2008, VA, 480, 479, 0.460, 0.395, $285.39, $722.17
2008, WA, 480, 434, 0.487, 0.449, $357.75, $796.95
2008, WV, 480, 479, 0.440, 0.418, $244.87, $585.89
2008, WI, 480, 476, 0.476, 0.436, $279.54, $641.21
2008, WY, 360, 350, 0.514, 0.482, $312.05, $647.03
2009, UT, 481, 477, 0.495, 0.461, $319.44, $692.91
2009, VT, 274, 271, 0.530, 0.504, $307.58, $610.23
2009, VA, 368, 367, 0.452, 0.388, $295.80, $762.79
2009, WA, 360, 356, 0.527, 0.467, $405.20, $868.12
2009, WV, 451, 451, 0.443, 0.418, $272.74, $652.77
2009, WI, 365, 364, 0.484, 0.449, $287.61, $640.37
2009, WY, 360, 353, 0.509, 0.462, $347.45, $751.88
2010, UT, 482, 482, 0.502, 0.474, $322.37, $679.79
2010, VT, 360, 358, 0.502, 0.471, $293.75, $623.35
2010, VA, 508, 507, 0.452, 0.391, $295.98, $756.90
2010, WA, 480, 476, 0.513, 0.470, $386.48, $822.67
2010, WV, 480, 480, 0.407, 0.389, $254.30, $653.00
2010, WI, 480, 474, 0.465, 0.419, $279.50, $667.71
2010, WY, 361, 357, 0.514, 0.484, $341.82, $706.11
2011, UT, 481, 480, 0.478, 0.442, $311.53, $705.34
2011, VT, 363, 363, 0.490, 0.466, $294.15, $631.81
2011, VA, 483, 482, 0.441, 0.385, $292.95, $761.45
2011, WA, 488, 486, 0.482, 0.439, $371.29, $845.03
2011, WV, 480, 480, 0.412, 0.386, $258.62, $669.76
2011, WI, 485, 484, 0.454, 0.420, $270.92, $644.41
2011, WY, 360, 359, 0.509, 0.478, $334.66, $699.64
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
