Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2018, AL, 484, 483, 0.389, 0.339, $225.70, $665.09
2018, AK, 469, 465, 0.321, 0.281, $249.02, $885.49
2018, AZ, 478, 476, 0.386, 0.294, $233.24, $794.56
2018, AR, 480, 480, 0.408, 0.390, $272.36, $698.90
2018, CA, 796, 796, 0.460, 0.366, $344.30, $941.55
2018, CO, 479, 479, 0.490, 0.424, $437.80, $1,032.59
2018, CT, 483, 481, 0.444, 0.416, $383.47, $921.44
2018, DE, 361, 361, 0.393, 0.339, $264.30, $778.81
2018, DC, 364, 364, 0.398, 0.325, $360.63, $1,111.17
2018, FL, 479, 479, 0.392, 0.316, $249.03, $788.83
2018, GA, 507, 505, 0.430, 0.348, $291.95, $839.47
2018, HI, 364, 364, 0.557, 0.461, $514.48, $1,115.82
2018, ID, 488, 485, 0.484, 0.444, $322.09, $725.42
2018, IL, 480, 479, 0.385, 0.334, $335.93, $1,005.29
2018, IN, 504, 504, 0.374, 0.338, $296.67, $877.83
2019, AL, 484, 484, 0.381, 0.327, $232.06, $709.27
2019, AK, 480, 479, 0.308, 0.274, $255.47, $930.92
2019, AZ, 484, 483, 0.367, 0.304, $233.91, $769.81
2019, AR, 480, 477, 0.397, 0.377, $270.74, $717.34
2019, CA, 644, 643, 0.441, 0.346, $345.43, $997.22
2019, CO, 474, 474, 0.484, 0.421, $453.89, $1,077.55
2019, CT, 483, 480, 0.447, 0.418, $394.87, $945.01
2019, DE, 361, 361, 0.390, 0.338, $272.55, $805.30
2019, DC, 423, 423, 0.386, 0.322, $358.73, $1,114.70
2019, FL, 478, 478, 0.380, 0.311, $251.62, $809.71
2019, GA, 482, 481, 0.441, 0.335, $304.36, $908.85
2019, HI, 424, 424, 0.544, 0.466, $535.50, $1,149.85
2019, ID, 431, 429, 0.493, 0.463, $340.65, $736.51
2019, IL, 480, 479, 0.382, 0.326, $351.06, $1,076.04
2019, IN, 469, 468, 0.367, 0.332, $300.59, $905.65
2020, AL, 349, 349, 0.449, 0.386, $241.50, $625.09
2020, AK, 363, 360, 0.319, 0.268, $252.45, $940.54
2020, AZ, 342, 331, 0.363, 0.308, $236.06, $766.40
2020, AR, 360, 356, 0.394, 0.378, $241.90, $640.71
2020, CA, 419, 416, 0.405, 0.343, $307.50, $895.49
