Year,State,Sample,Valid Cases,Replacement Ratio 1,Replacement Ratio 2,Average WBA,Average Weekly Wage
2024,AL,487,486,0.339,0.283,252.26,892.03
2024,AK,482,481,0.291,0.258,290.01,1122.32
2024,AZ,489,487,0.354,0.282,313.56,1113.81
2024,AR,483,483,0.387,0.352,323.80,919.22
2024,CA,480,480,0.380,0.304,387.82,1276.61
2024,CO,481,481,0.479,0.422,616.94,1461.99
2024,CT,482,480,0.430,0.377,496.18,1317.64
2024,DE,119,119,0.372,0.326,370.59,1138.34
2024,DC,482,480,0.356,0.288,406.43,1410.65
2024,FL,477,477,0.314,0.250,265.18,1059.17
2024,GA,505,504,0.383,0.292,343.58,1175.04
2024,HI,313,313,0.567,0.487,652.95,1341.64
2024,ID,361,360,0.473,0.421,460.14,1092.26
2024,IL,481,481,0.409,0.358,456.77,1275.96
2024,IN,483,483,0.346,0.299,327.74,1096.74
