Year,State,Sample,Valid Cases,Replacement Ratio 1,Replacement Ratio 2,Average WBA,Average Weekly Wage
2024,IA,378,378,0.529,0.477,536.39,1123.53
2024,KS,472,470,0.512,0.452,499.20,1103.72
2024,KY,444,443,0.523,0.491,511.17,1040.70
2024,LA,494,494,0.345,0.284,250.99,883.89
2024,ME,360,360,0.499,0.456,480.74,1055.34
2024,MD,481,478,0.392,0.331,390.53,1179.37
2024,MA,326,325,0.477,0.430,703.53,1637.21
2024,MI,481,480,0.380,0.330,346.06,1048.59
2024,MN,475,475,0.473,0.439,562.49,1281.22
2024,MS,484,483,0.326,0.279,222.69,796.96
2024,MO,482,467,0.339,0.280,292.65,1046.78
2024,MT,363,362,0.481,0.443,510.51,1152.09
2024,NE,359,355,0.457,0.404,451.24,1116.06
2024,NV,519,515,0.496,0.424,490.95,1159.25
2024,NH,364,364,0.332,0.274,374.98,1367.55
