Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2012, UT, 482, 482, 0.493, 0.455, $328.33, $721.47
2012, VT, 360, 359, 0.499, 0.469, $305.58, $652.24
2012, VA, 481, 479, 0.430, 0.366, $294.09, $803.46
2012, WA, 481, 480, 0.495, 0.464, $385.66, $830.77
2012, WV, 480, 480, 0.427, 0.397, $275.30, $692.61
2012, WI, 496, 496, 0.470, 0.429, $273.62, $638.47
2012, WY, 360, 360, 0.511, 0.481, $348.13, $724.37
2013, UT, 471, 470, 0.495, 0.456, $346.97, $761.11
2013, VT, 367, 366, 0.505, 0.481, $313.80, $652.84
2013, VA, 481, 480, 0.428, 0.356, $299.02, $840.09
2013, WA, 474, 469, 0.490, 0.455, $385.90, $847.92
2013, WV, 480, 480, 0.421, 0.393, $276.08, $702.65
2013, WI, 496, 494, 0.459, 0.416, $274.51, $659.89
2013, WY, 360, 360, 0.533, 0.495, $362.21, $731.93
2014, UT, 480, 480, 0.486, 0.439, $363.20, $826.86
2014, VT, 384, 384, 0.486, 0.451, $313.15, $695.05
2014, VA, 481, 480, 0.418, 0.340, $299.66, $880.66
2014, WA, 423, 421, 0.484, 0.447, $408.47, $914.42
2014, WV, 480, 480, 0.421, 0.389, $282.02, $724.26
2014, WI, 511, 505, 0.470, 0.424, $286.51, $675.39
2014, WY, 351, 350, 0.518, 0.484, $369.95, $765.13
2015, UT, 487, 486, 0.491, 0.444, $375.93, $846.50
2015, VT, 352, 352, 0.499, 0.465, $324.39, $696.88
2015, VA, 480, 480, 0.438, 0.361, $301.90, $835.33
2015, WA, 415, 414, 0.486, 0.443, $422.43, $953.49
2015, WV, 486, 486, 0.418, 0.385, $302.36, $785.50
2015, WI, 491, 488, 0.448, 0.403, $293.62, $727.87
2015, WY, 369, 369, 0.526, 0.481, $406.61, $845.15
2016, UT, 495, 492, 0.499, 0.454, $396.27, $872.71
2016, VT, 367, 367, 0.506, 0.478, $335.28, $700.95
2016, VA, 480, 479, 0.417, 0.347, $307.84, $886.18
2016, WA, 404, 404, 0.493, 0.430, $450.91, $1,049.62
2016, WV, 492, 492, 0.420, 0.385, $307.55, $798.72
2016, WI, 525, 525, 0.458, 0.398, $310.58, $781.30
2016, WY, 363, 363, 0.527, 0.484, $410.78, $848.77
2017, UT, 492, 491, 0.498, 0.451, $395.08, $876.17
2017, VT, 354, 353, 0.503, 0.469, $351.27, $748.50
2017, VA, 480, 478, 0.421, 0.335, $309.08, $922.78
2017, WA, 515, 513, 0.493, 0.444, $465.72, $1,048.32
2017, WV, 481, 481, 0.414, 0.383, $286.17, $747.47
2017, WI, 515, 514, 0.448, 0.395, $320.27, $809.97
2017, WY, 357, 357, 0.528, 0.489, $386.70, $791.21
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
