Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2006, IA, 480, 470, 0.535, 0.492, $268.40, $546.03
2006, KS, 476, 458, 0.529, 0.476, $293.83, $617.32
2006, KY, 485, 479, 0.525, 0.486, $283.51, $583.80
2006, LA, 364, 362, 0.436, 0.339, $200.69, $592.13
2006, ME, 360, 332, 0.490, 0.455, $248.38, $546.20
2006, MD, 480, 449, 0.462, 0.402, $275.38, $685.22
2006, MA, 630, 588, 0.470, 0.436, $356.89, $818.93
2006, MI, 480, 438, 0.484, 0.440, $288.94, $656.32
2006, MN, 327, 325, 0.500, 0.469, $332.88, $710.32
2006, MS, 432, 421, 0.482, 0.361, $182.40, $505.03
2006, MO, 480, 434, 0.416, 0.357, $214.15, $600.47
2006, MT, 360, 330, 0.467, 0.462, $242.54, $525.45
2006, NE, 411, 403, 0.472, 0.427, $227.58, $532.61
2006, NV, 488, 488, 0.497, 0.424, $290.46, $685.18
2006, NH, 364, 349, 0.396, 0.360, $260.86, $724.50
2007, IA, 480, 467, 0.529, 0.487, $279.19, $572.77
2007, KS, 495, 472, 0.522, 0.416, $304.65, $732.67
2007, KY, 485, 477, 0.538, 0.511, $296.91, $580.50
2007, LA, 480, 477, 0.414, 0.255, $207.71, $814.31
2007, ME, 360, 327, 0.464, 0.431, $256.24, $594.69
2007, MD, 480, 434, 0.453, 0.393, $279.18, $711.14
2007, MA, 683, 643, 0.467, 0.432, $366.93, $849.34
2007, MI, 480, 428, 0.490, 0.443, $292.37, $660.51
2007, MN, 480, 474, 0.482, 0.447, $340.18, $760.20
2007, MS, 479, 473, 0.437, 0.318, $178.56, $561.73
2007, MO, 480, 446, 0.427, 0.354, $227.30, $642.77
2007, MT, 360, 358, 0.453, 0.435, $253.02, $581.08
2007, NE, 482, 473, 0.470, 0.441, $228.82, $518.33
2007, NV, 483, 480, 0.514, 0.455, $301.98, $663.38
2007, NH, 364, 334, 0.415, 0.370, $265.65, $717.85
2008, IA, 480, 451, 0.538, 0.497, $290.05, $584.06
2008, KS, 486, 475, 0.518, 0.459, $315.73, $688.32
2008, KY, 485, 476, 0.537, 0.511, $312.94, $611.97
2008, LA, 482, 478, 0.420, 0.378, $213.20, $563.60
2008, ME, 359, 331, 0.514, 0.477, $265.91, $557.06
2008, MD, 480, 453, 0.466, 0.413, $302.49, $732.03
2008, MA, 536, 520, 0.463, 0.435, $382.88, $879.75
2008, MI, 480, 456, 0.486, 0.430, $297.97, $693.42
2008, MN, 480, 473, 0.480, 0.444, $342.09, $771.04
2008, MS, 488, 480, 0.434, 0.388, $184.68, $475.41
2008, MO, 480, 467, 0.420, 0.359, $247.43, $688.81
2008, MT, 360, 359, 0.477, 0.461, $269.65, $584.61
2008, NE, 483, 477, 0.462, 0.427, $237.68, $557.14
2008, NV, 487, 483, 0.497, 0.427, $313.77, $734.61
2008, NH, 364, 340, 0.430, 0.400, $275.78, $688.80
2009, IA, 480, 476, 0.529, 0.481, $303.98, $632.04
2009, KS, 374, 369, 0.536, 0.487, $340.61, $699.63
2009, KY, 401, 393, 0.542, 0.515, $317.92, $617.65
2009, LA, 486, 479, 0.436, 0.339, $231.66, $683.47
2009, ME, 359, 347, 0.520, 0.488, $283.83, $582.10
2009, MD, 480, 459, 0.476, 0.410, $309.32, $753.92
2009, MA, 515, 500, 0.470, 0.438, $404.73, $924.51
2009, MI, 480, 467, 0.479, 0.425, $306.08, $720.37
2009, MN, 368, 366, 0.486, 0.454, $359.84, $792.82
2009, MS, 480, 472, 0.420, 0.376, $196.49, $522.40
2009, MO, 360, 357, 0.413, 0.354, $258.39, $729.06
2009, MT, 90, 90, 0.481, 0.465, $268.55, $577.87
2009, NE, 393, 388, 0.462, 0.417, $246.23, $589.91
2009, NV, 488, 485, 0.498, 0.426, $321.11, $753.38
2009, NH, 279, 266, 0.432, 0.398, $289.74, $727.83
2010, IA, 480, 473, 0.533, 0.482, $305.24, $633.06
2010, KS, 482, 481, 0.527, 0.473, $336.29, $711.21
2010, KY, 485, 479, 0.494, 0.462, $300.56, $650.97
2010, LA, 487, 482, 0.416, 0.280, $213.14, $762.42
2010, ME, 480, 473, 0.501, 0.464, $280.62, $605.31
2010, MD, 480, 472, 0.473, 0.413, $316.01, $765.49
2010, MA, 552, 543, 0.460, 0.431, $384.47, $891.77
2010, MI, 480, 463, 0.493, 0.427, $297.25, $696.71
2010, MN, 496, 489, 0.472, 0.436, $355.77, $815.22
2010, MS, 483, 474, 0.419, 0.370, $193.79, $523.98
2010, MO, 480, 479, 0.413, 0.362, $248.95, $687.81
2010, MT, 360, 359, 0.471, 0.457, $277.05, $606.85
2010, NE, 360, 359, 0.446, 0.411, $250.15, $608.74
2010, NV, 481, 480, 0.463, 0.391, $325.30, $831.12
2010, NH, 359, 346, 0.418, 0.379, $276.34, $728.97
2011, IA, 480, 477, 0.525, 0.472, $306.55, $649.08
2011, KS, 499, 494, 0.515, 0.462, $326.75, $707.89
2011, KY, 494, 494, 0.508, 0.473, $300.47, $635.29
2011, LA, 498, 495, 0.375, 0.297, $198.74, $669.62
2011, ME, 488, 477, 0.501, 0.463, $280.98, $606.32
2011, MD, 483, 478, 0.484, 0.427, $322.65, $755.09
2011, MA, 509, 497, 0.468, 0.431, $378.37, $878.07
2011, MI, 480, 469, 0.493, 0.442, $289.07, $654.11
2011, MN, 488, 485, 0.458, 0.426, $346.31, $812.63
2011, MS, 494, 490, 0.425, 0.384, $193.56, $503.42
2011, MO, 480, 479, 0.412, 0.362, $242.58, $670.58
2011, MT, 360, 360, 0.463, 0.445, $279.11, $627.63
2011, NE, 360, 360, 0.466, 0.427, $259.32, $606.79
2011, NV, 485, 485, 0.466, 0.405, $309.81, $764.30
2011, NH, 373, 367, 0.410, 0.380, $273.38, $718.93
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
