Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2000, NJ, 478, 466, 0.535, 0.472, $286.17, $606.69
2000, NM, 483, 476, 0.481, 0.434, $182.32, $420.37
2000, NY, 496, 489, 0.485, 0.428, $255.99, $598.06
2000, NC, 530, 528, 0.517, 0.498, $223.47, $448.69
2000, ND, 365, 347, 0.466, 0.432, $213.76, $494.49
2000, OH, 491, 483, 0.425, 0.395, $227.72, $576.80
2000, OK, 486, 474, 0.513, 0.455, $217.66, $478.65
2000, OR, 495, 473, 0.474, 0.440, $231.26, $525.66
2000, PA, 480, 478, 0.536, 0.504, $265.10, $525.62
2000, PR, 486, 477, 0.444, 0.420, $106.37, $253.01
2000, RI, 481, 476, 0.556, 0.521, $268.18, $515.22
2000, SC, 530, 528, 0.479, 0.439, $191.41, $436.35
2000, SD, 360, 359, 0.451, 0.428, $185.34, $432.87
2000, TN, 481, 479, 0.454, 0.424, $191.66, $451.80
2000, TX, 487, 487, 0.504, 0.436, $229.41, $525.67
2001, NJ, 446, 438, 0.542, 0.485, $307.12, $633.03
2001, NM, 482, 465, 0.481, 0.438, $198.06, $452.70
2001, NY, 481, 468, 0.476, 0.407, $284.22, $699.11
2001, NC, 520, 518, 0.536, 0.504, $257.53, $510.83
2001, ND, 360, 326, 0.500, 0.482, $226.83, $470.65
2001, OH, 486, 474, 0.432, 0.391, $241.61, $617.34
2001, OK, 480, 473, 0.487, 0.399, $231.92, $581.00
2001, OR, 456, 442, 0.492, 0.449, $264.98, $590.55
2001, PA, 482, 475, 0.559, 0.526, $291.52, $553.81
2001, RI, 480, 480, 0.578, 0.524, $287.04, $548.15
2001, SC, 591, 589, 0.494, 0.459, $205.66, $447.73
2001, SD, 360, 356, 0.475, 0.436, $202.18, $463.46
2001, TN, 481, 480, 0.464, 0.424, $205.90, $485.05
2001, TX, 492, 491, 0.472, 0.384, $244.87, $636.86
2002, NJ, 455, 437, 0.522, 0.457, $335.48, $733.66
2002, NM, 491, 486, 0.476, 0.425, $213.59, $502.16
2002, NY, 480, 467, 0.468, 0.397, $294.62, $742.54
