Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2018, UT, 475, 474, 0.495, 0.448, $419.99, $937.09
2018, VT, 328, 328, 0.501, 0.466, $363.98, $781.11
2018, VA, 480, 477, 0.413, 0.338, $313.73, $929.20
2018, WA, 431, 429, 0.505, 0.456, $482.31, $1,058.22
2018, WV, 481, 480, 0.412, 0.381, $293.63, $770.46
2018, WI, 458, 457, 0.452, 0.400, $318.30, $796.55
2018, WY, 360, 360, 0.512, 0.479, $379.13, $790.92
2019, UT, 488, 486, 0.500, 0.456, $439.76, $964.94
2019, VT, 203, 202, 0.500, 0.467, $373.68, $800.64
2019, VA, 494, 493, 0.414, 0.346, $320.23, $924.53
2019, WA, 509, 507, 0.495, 0.451, $504.21, $1,117.95
2019, WV, 480, 480, 0.386, 0.339, $325.17, $958.57
2019, WI, 499, 499, 0.431, 0.378, $323.96, $856.14
2019, WY, 360, 360, 0.523, 0.481, $403.21, $838.12
2020, UT, 343, 341, 0.468, 0.445, $386.87, $869.91
2020, VT, 16, 16, 0.586, 0.580, $427.87, $738.16
2020, VA, 376, 376, 0.407, 0.346, $277.08, $799.92
2020, WA, 298, 292, 0.497, 0.447, $483.43, $1,081.76
2020, WV, 269, 268, 0.392, 0.366, $272.12, $744.01
2020, WI, 305, 304, 0.417, 0.374, $305.44, $816.16
2020, WY, 268, 268, 0.501, 0.446, $417.42, $935.41
2021, UT, 488, 483, 0.487, 0.450, $425.44, $946.05
2021, VT, 283, 280, 0.505, 0.489, $381.22, $780.33
2021, VA, 504, 498, 0.381, 0.310, $300.69, $969.84
2021, WA, 507, 506, 0.503, 0.466, $525.16, $1,127.35
2021, WV, 418, 410, 0.364, 0.337, $281.70, $835.62
2021, WI, 473, 472, 0.420, 0.377, $299.70, $794.93
2021, WY, 362, 362, 0.514, 0.471, $427.29, $907.07
2022, UT, 479, 478, 0.496, 0.462, $480.31, $1,039.49
2022, VT, 306, 306, 0.482, 0.452, $416.23, $920.90
2022, VA, 502, 496, 0.381, 0.318, $327.24, $1,028.49
2022, WA, 457, 457, 0.513, 0.475, $609.79, $1,284.46
2022, WV, 481, 480, 0.376, 0.347, $318.88, $918.08
2022, WI, 484, 483, 0.390, 0.345, $327.65, $950.62
2022, WY, 363, 363, 0.501, 0.463, $438.58, $947.63
2023, UT, 481, 480, 0.490, 0.439, $544.65, $1,241.33
2023, VT, 370, 369, 0.531, 0.476, $496.00, $1,042.34
2023, VA, 498, 498, 0.363, 0.296, $346.06, $1,169.34
2023, WA, 471, 471, 0.494, 0.436, $710.91, $1,631.39
2023, WV, 482, 480, 0.442, 0.419, $401.43, $957.72
2023, WI, 490, 489, 0.374, 0.325, $342.65, $1,053.13
2023, WY, 357, 356, 0.517, 0.477, $465.03, $974.50
Prepared by OUI Div. of Performance Management on 30 Mar 2025.
