,State,WBA Rent Share Change,Nonindexer
0,AK,0.1971384045335659,1
1,AL,0.32472640692640686,1
2,AR,0.16208445001446053,0
3,AZ,0.4662675304878048,1
4,CA,0.5818368563685639,1
5,CO,0.18034333640031147,0
6,CT,0.0653237377509222,0
7,DC,0.4097505029301145,0
8,DE,0.30874747474747466,1
9,FL,0.9231272727272726,1
10,GA,0.4569406392694063,1
11,HI,0.09650106045816609,0
12,IA,-0.01939725085910654,0
13,ID,0.14408316990550896,0
14,IL,0.02519894681302315,0
15,IN,0.26916843501326243,1
16,KS,0.042830622185460965,0
17,KY,0.022398393243382442,0
18,LA,0.41209344608879495,0
19,MA,0.0378591328673461,0
20,MD,0.3389339834958741,1
21,ME,0.017694542064118135,0
22,MI,0.3662154696132596,1
23,MN,0.21386307640721358,0
24,MO,0.2505837499999999,1
25,MS,0.3901155015197568,1
26,MT,0.020274778890594092,0
27,NC,0.5729320054945055,0
28,ND,-0.014977204168380553,0
29,NE,0.005863553113553133,0
30,NH,0.3718408627332477,1
31,NJ,0.075221144195383,0
32,NM,0.0011388872288292662,0
33,NV,0.11264401844212568,0
34,NY,0.3160899470899471,1
35,OH,0.022897082277887226,0
36,OK,0.015180521982834094,0
37,OR,0.06129094076655056,0
38,PA,0.1860004661085316,0
39,RI,0.09697216191441116,0
40,SC,0.41493798825969896,0
41,SD,-0.026790981548889092,0
42,TN,0.44652027972027974,1
43,TX,0.1481276155049246,0
44,UT,0.08614797932030072,0
45,VA,0.4779997990757485,1
46,VT,-0.032292419842351705,0
47,WA,0.07860936560195003,0
48,WI,0.2979374024480408,1
49,WV,0.005607098853989079,0
50,WY,-0.014182072829131698,0
