Year,State,Weekly Median Rent
2004,AL,128.65
2005,AL,131.19
2006,AL,142.46
2007,AL,147.3
2008,AL,157.42
2009,AL,159.95
2010,AL,166.17
2011,AL,168.01
2012,AL,171.0
2013,AL,170.31
2014,AL,180.67
2015,AL,178.37
2016,AL,185.96
2017,AL,181.82
2018,AL,193.79
2019,AL,197.01
2020,AL,198.62
2021,AL,209.9
2022,AL,219.79
2023,AL,234.75
2024,AL,257.77
2004,AK,197.93
2005,AK,211.74
2006,AK,223.25
2007,AK,227.85
2008,AK,230.15
2009,AK,260.07
2010,AK,250.86
2011,AK,260.07
2012,AK,294.59
2013,AK,287.69
2014,AK,294.59
2015,AK,299.19
2016,AK,299.19
2017,AK,313.0
2018,AK,310.7
2019,AK,315.3
2020,AK,313.0
2021,AK,333.72
2022,AK,322.21
2023,AK,338.32
2024,AK,368.24
2004,AZ,166.86
2005,AZ,172.61
2006,AZ,184.12
2007,AZ,200.23
2008,AZ,211.74
2009,AZ,214.04
2010,AZ,209.67
2011,AZ,211.74
2012,AZ,222.55
2013,AZ,222.09
2014,AZ,230.15
2015,AZ,231.3
2016,AZ,241.2
2017,AZ,248.56
2018,AZ,253.16
2019,AZ,262.37
2020,AZ,278.02
2021,AZ,305.18
2022,AZ,350.98
2023,AZ,391.25
2024,AZ,409.67
2004,AR,126.12
2005,AR,131.19
2006,AR,140.39
2007,AR,144.07
2008,AR,151.9
2009,AR,151.44
2010,AR,155.81
2011,AR,159.95
2012,AR,158.8
2013,AR,163.41
2014,AR,168.01
2015,AR,172.61
2016,AR,172.61
2017,AR,174.91
2018,AR,181.36
2019,AR,181.82
2020,AR,186.42
2021,AR,200.92
2022,AR,208.75
2023,AR,228.54
2024,AR,237.97
2004,CA,217.95
2005,CA,232.45
2006,CA,246.26
2007,CA,260.07
2008,CA,276.18
2009,CA,280.78
2010,CA,283.77
2011,CA,285.39
2012,CA,290.45
2013,CA,296.89
2014,CA,308.4
2015,CA,315.3
2016,CA,331.42
2017,CA,349.37
2018,CA,363.64
2019,CA,382.05
2020,CA,395.86
2021,CA,416.57
2022,CA,444.88
2023,CA,478.02
2024,CA,501.04
2004,CO,177.22
2005,CO,187.11
2006,CO,195.63
2007,CO,200.0
2008,CO,213.35
2009,CO,214.04
2010,CO,215.19
2011,CO,227.85
2012,CO,230.84
2013,CO,239.36
2014,CO,251.55
2015,CO,276.18
2016,CO,293.21
2017,CO,306.1
2018,CO,319.91
2019,CO,337.17
2020,CO,347.53
2021,CO,368.24
2022,CO,401.61
2023,CO,435.9
2024,CO,444.19
2004,CT,197.93
2005,CT,209.44
2006,CT,223.25
2007,CT,230.15
2008,CT,241.66
2009,CT,248.56
2010,CT,248.56
2011,CT,253.16
2012,CT,253.16
2013,CT,260.07
2014,CT,264.67
2015,CT,271.58
2016,CT,278.48
2017,CT,280.78
2018,CT,292.29
2019,CT,294.59
2020,CT,306.1
2021,CT,317.61
2022,CT,338.32
2023,CT,359.03
2024,CT,379.75
2004,DE,174.91
2005,DE,198.62
2006,DE,204.83
2007,DE,225.55
2008,DE,231.76
2009,DE,237.05
2010,DE,230.15
2011,DE,248.56
2012,DE,237.05
2013,DE,243.96
2014,DE,253.16
2015,DE,249.25
2016,DE,248.56
2017,DE,257.77
2018,DE,276.18
2019,DE,276.18
2020,DE,260.76
2021,DE,293.44
2022,DE,310.7
2023,DE,315.3
2024,DE,377.45
2004,DC,184.12
2005,DC,181.82
2006,DC,207.13
2007,DC,218.64
2008,DC,234.75
2009,DC,243.96
2010,DC,276.18
2011,DC,276.18
2012,DC,294.59
2013,DC,299.19
2014,DC,322.21
2015,DC,322.21
2016,DC,322.21
2017,DC,352.13
2018,DC,349.83
2019,DC,370.54
2020,DC,407.36
2021,DC,375.14
2022,DC,425.78
2023,DC,450.63
2024,DC,446.49
2004,FL,186.42
2005,FL,195.63
2006,FL,214.04
2007,FL,227.39
2008,FL,234.29
2009,FL,233.83
2010,FL,232.45
2011,FL,232.91
2012,FL,234.75
2013,FL,238.9
2014,FL,245.11
2015,FL,253.16
2016,FL,261.22
2017,FL,273.88
2018,FL,289.99
2019,FL,303.8
2020,FL,315.3
2021,FL,329.11
2022,FL,369.39
2023,FL,414.27
2024,FL,440.28
2004,GA,161.8
2005,GA,173.99
2006,GA,179.52
2007,GA,186.42
2008,GA,192.87
2009,GA,195.63
2010,GA,200.23
2011,GA,204.14
2012,GA,202.53
2013,GA,206.44
2014,GA,214.04
2015,GA,220.48
2016,GA,228.54
2017,GA,230.15
2018,GA,241.66
2019,GA,250.86
2020,GA,258.46
2021,GA,273.88
2022,GA,306.1
2023,GA,334.64
2024,GA,363.64
2004,HI,214.04
2005,HI,243.96
2006,HI,271.58
2007,HI,301.04
2008,HI,322.21
2009,HI,322.21
2010,HI,333.72
2011,HI,336.02
2012,HI,349.14
2013,HI,368.24
2014,HI,377.22
2015,HI,368.24
2016,HI,388.95
2017,HI,402.76
2018,HI,402.76
2019,HI,404.83
2020,HI,423.01
2021,HI,448.33
2022,HI,464.9
2023,HI,494.82
2024,HI,485.39
2004,ID,142.69
2005,ID,154.2
2006,ID,157.65
2007,ID,161.1
2008,ID,171.23
2009,ID,172.61
2010,ID,170.31
2011,ID,174.91
2012,ID,177.22
2013,ID,191.02
2014,ID,188.72
2015,ID,188.72
2016,ID,197.47
2017,ID,202.53
2018,ID,207.13
2019,ID,226.24
2020,ID,225.55
2021,ID,257.77
2022,ID,285.39
2023,ID,313.0
2024,ID,338.32
2004,IL,170.31
2005,IL,181.82
2006,IL,188.03
2007,IL,193.33
2008,IL,200.23
2009,IL,203.45
2010,IL,209.44
2011,IL,211.74
2012,IL,214.04
2013,IL,216.34
2014,IL,223.25
2015,IL,227.85
2016,IL,234.75
2017,IL,239.36
2018,IL,243.96
2019,IL,246.26
2020,IL,263.52
2021,IL,271.58
2022,IL,287.69
2023,IL,307.94
2024,IL,324.74
2004,IN,146.61
2005,IN,152.13
2006,IN,160.18
2007,IN,158.8
2008,IN,168.01
2009,IN,172.61
2010,IN,171.92
2011,IN,176.52
2012,IN,177.22
2013,IN,181.82
2014,IN,188.72
2015,IN,191.02
2016,IN,189.87
2017,IN,194.48
2018,IN,200.23
2019,IN,207.13
2020,IN,211.28
2021,IN,220.94
2022,IN,241.66
2023,IN,256.16
2024,IN,269.28
2004,IA,134.18
2005,IA,144.99
2006,IA,146.14
2007,IA,141.31
2008,IA,152.59
2009,IA,154.2
2010,IA,158.8
2011,IA,162.72
2012,IA,166.86
2013,IA,168.01
2014,IA,182.28
2015,IA,176.52
2016,IA,184.58
2017,IA,188.72
2018,IA,191.02
2019,IA,204.14
2020,IA,198.39
2021,IA,209.44
2022,IA,220.94
2023,IA,233.14
2024,IA,249.02
2004,KS,142.69
2005,KS,146.84
2006,KS,154.2
2007,KS,158.8
2008,KS,165.71
2009,KS,170.31
2010,KS,173.3
2011,KS,173.53
2012,KS,184.12
2013,KS,188.72
2014,KS,195.63
