Year,State,Weekly Median Rent,Maximum WBA,Rent Share of Max WBA
2004,AL,128.65,210.0,0.6126190476190476
2024,AL,257.77,275.0,0.9373454545454545
2004,AK,197.93,248.0,0.7981048387096774
2024,AK,368.24,370.0,0.9952432432432433
2004,AZ,166.86,205.0,0.8139512195121952
2024,AZ,409.67,320.0,1.28021875
2004,AR,126.12,345.0,0.3655652173913044
2024,AR,237.97,451.0,0.5276496674057649
2004,CA,217.95,410.0,0.5315853658536585
2024,CA,501.04,450.0,1.1134222222222223
2004,CO,177.22,398.0,0.4452763819095477
2024,CO,444.19,710.0,0.6256197183098592
2004,CT,197.93,429.0,0.4613752913752914
2024,CT,379.75,721.0,0.5266990291262136
2004,DE,174.91,330.0,0.5300303030303031
2024,DE,377.45,450.0,0.8387777777777777
2004,DC,184.12,309.0,0.5958576051779936
2024,DC,446.49,444.0,1.005608108108108
2004,FL,186.42,275.0,0.6778909090909091
2024,FL,440.28,275.0,1.6010181818181817
2004,GA,161.8,300.0,0.5393333333333333
2024,GA,363.64,365.0,0.9962739726027396
2004,HI,214.04,417.0,0.5132853717026379
2024,HI,485.39,796.0,0.609786432160804
2004,ID,142.69,316.0,0.4515506329113924
2024,ID,338.32,568.0,0.5956338028169014
2004,IL,170.31,326.0,0.5224233128834356
2024,IL,324.74,593.0,0.5476222596964587
2004,IN,146.61,348.0,0.4212931034482759
2024,IN,269.28,390.0,0.6904615384615383
2004,IA,134.18,300.0,0.4472666666666667
2024,IA,249.02,582.0,0.42786941580756016
2004,KS,142.69,351.0,0.4065242165242165
2024,KS,264.67,589.0,0.44935483870967746
2004,KY,124.97,365.0,0.3423835616438356
2024,KY,242.58,665.0,0.36478195488721804
2004,LA,131.19,258.0,0.5084883720930232
2024,LA,253.16,275.0,0.9205818181818182
2004,ME,147.3,292.0,0.5044520547945206
2024,ME,299.19,573.0,0.5221465968586387
2004,MD,200.23,310.0,0.6459032258064515
2024,MD,423.48,430.0,0.9848372093023257
2004,MA,207.13,508.0,0.40773622047244096
2024,MA,460.3,1033.0,0.44559535333978706
2004,MI,155.12,362.0,0.4285082872928177
2024,MI,287.69,362.0,0.7947237569060773
2004,MN,168.01,478.0,0.35148535564853556
2024,MN,324.51,574.0,0.5653484320557491
2004,MS,128.88,210.0,0.6137142857142857
2024,MS,235.9,235.0,1.0038297872340425
2004,MO,142.69,250.0,0.57076
2024,MO,262.83,320.0,0.8213437499999999
2004,MT,126.58,323.0,0.3918885448916409
2024,MT,287.69,698.0,0.41216332378223497
2004,NE,137.63,280.0,0.49153571428571424
2024,NE,271.58,546.0,0.4973992673992674
2004,NV,191.02,317.0,0.6025867507886435
2024,NV,418.41,585.0,0.7152307692307692
2004,NH,202.53,372.0,0.5444354838709677
2024,NH,391.25,427.0,0.9162763466042154
2004,NJ,214.04,490.0,0.43681632653061225
2024,NJ,437.28,854.0,0.5120374707259953
2004,NM,131.19,290.0,0.4523793103448276
2024,NM,261.68,577.0,0.45351819757365686
2004,NY,195.63,405.0,0.48303703703703704
2024,NY,402.76,504.0,0.7991269841269841
2004,NC,145.45,416.0,0.34963942307692303
2024,NC,322.9,350.0,0.9225714285714285
2004,ND,115.07,312.0,0.3688141025641025
2024,ND,264.67,748.0,0.35383689839572197
2004,OH,144.99,323.0,0.4488854489164087
2024,OH,264.67,561.0,0.4717825311942959
2004,OK,131.19,275.0,0.47705454545454545
2024,OK,255.47,519.0,0.49223506743737955
2004,OR,168.01,410.0,0.409780487804878
2024,OR,382.51,812.0,0.4710714285714286
2004,PA,149.6,461.0,0.3245119305856833
2024,PA,308.86,605.0,0.5105123966942149
2004,RI,181.82,441.0,0.41229024943310655
2024,RI,359.03,705.0,0.5092624113475177
2004,SC,149.6,278.0,0.5381294964028777
2024,SC,310.7,326.0,0.9530674846625766
2004,SD,126.35,248.0,0.5094758064516128
2024,SD,248.1,514.0,0.48268482490272374
2004,TN,138.55,275.0,0.5038181818181818
2024,TN,308.86,325.0,0.9503384615384616
2004,TX,154.2,328.0,0.47012195121951217
2024,TX,356.73,577.0,0.6182495667244368
2004,UT,165.71,377.0,0.43954907161803713
2024,UT,392.17,746.0,0.5256970509383379
2004,VT,172.15,359.0,0.4795264623955432
2024,VT,315.3,705.0,0.4472340425531915
2004,VA,186.42,316.0,0.5899367088607594
2024,VA,403.68,378.0,1.067936507936508
2004,WA,177.22,496.0,0.3572983870967742
2024,WA,444.19,1019.0,0.4359077526987242
2004,WV,116.23,358.0,0.32466480446927376
2024,WV,218.64,662.0,0.33027190332326284
2004,WI,149.6,329.0,0.4547112462006079
2024,WI,278.48,370.0,0.7526486486486487
2004,WY,138.09,306.0,0.4512745098039216
2024,WY,260.07,595.0,0.4370924369747899
