,STATEFIP,YEAR,Median_RENTGRS
0,1,2003,531
1,1,2023,1020
2,2,2003,810
3,2,2023,1470
4,4,2003,682
5,4,2023,1700
6,5,2003,550
7,5,2023,993
8,6,2003,920
9,6,2023,2077
10,8,2003,802
11,8,2023,1894
12,9,2003,820
13,9,2023,1560
14,10,2003,760
15,10,2023,1370
16,11,2003,710
17,11,2023,1958
18,12,2003,760
19,12,2023,1800
20,13,2003,720
21,13,2023,1454
22,15,2003,900
23,15,2023,2150
24,16,2003,605
25,16,2023,1360
26,17,2003,740
27,17,2023,1338
28,18,2003,613
29,18,2023,1113
30,19,2003,565
31,19,2023,1013
32,20,2003,590
33,20,2023,1110
34,21,2003,521
35,21,2023,1000
36,22,2003,550
37,22,2023,1080
38,23,2003,630
39,23,2023,1270
40,24,2003,870
41,24,2023,1730
42,25,2003,870
43,25,2023,1878
44,26,2003,643
45,26,2023,1180
46,27,2003,712
47,27,2023,1380
48,28,2003,548
49,28,2023,940
50,29,2003,600
51,29,2023,1100
52,30,2003,540
53,30,2023,1250
54,31,2003,585
55,31,2023,1160
56,32,2003,804
57,32,2023,1720
58,33,2003,830
59,33,2023,1680
60,34,2003,900
61,34,2023,1760
62,35,2003,540
63,35,2023,1158
64,36,2003,810
65,36,2023,1690
66,37,2003,630
67,37,2023,1282
68,38,2003,480
69,38,2023,990
70,39,2003,620
71,39,2023,1083
72,40,2003,558
73,40,2023,1100
74,41,2003,690
75,41,2023,1562
76,42,2003,643
77,42,2023,1288
78,44,2003,730
79,44,2023,1460
80,45,2003,610
81,45,2023,1200
82,46,2003,551
83,46,2023,950
84,47,2003,580
85,47,2023,1260
86,48,2003,655
87,48,2023,1480
88,49,2003,672
89,49,2023,1635
90,50,2003,680
91,50,2023,1340
92,51,2003,790
93,51,2023,1660
94,53,2003,800
95,53,2023,1820
96,54,2003,480
97,54,2023,920
98,55,2003,644
99,55,2023,1135
100,56,2003,540
101,56,2023,1070
