,State,WBA Rent Share Change,Nonindexer
0,AK,0.16268482999128164,1
1,AL,0.27168398268398275,1
2,AR,0.13984202577203636,0
3,AZ,0.45699771341463413,1
4,CA,0.48999639639639636,1
5,CO,0.18200893355667225,0
6,CT,0.051538488161615326,0
7,DC,0.4860974809761218,0
8,DE,0.24165625000000002,1
9,FL,0.8704,1
10,GA,0.35509310424889706,1
11,HI,0.12413925709640494,0
12,IA,-0.02218662208189348,0
13,ID,0.1477129532692491,0
14,IL,0.01034485320652978,0
15,IN,0.2369395604395605,1
16,KS,0.06260222567287788,0
17,KY,0.003183672082115452,0
18,LA,0.4132343904157858,0
19,MA,0.03090154584584298,0
20,MD,0.2800502625656416,1
21,ME,0.030957807348247046,0
22,MI,0.3414088397790055,1
23,MN,0.2244810771808956,0
24,MO,0.238765,1
25,MS,0.3200243161094224,1
26,MT,0.019433144227664734,0
27,NC,0.4876323529411765,0
28,ND,-0.04237234206076751,0
29,NE,0.005503757388540809,0
30,NH,0.39200888922464794,1
31,NJ,0.05196093849080535,0
32,NM,0.0430516072308737,0
33,NV,0.10554227274297767,0
34,NY,0.31142989417989414,1
35,OH,-0.008688226805873889,0
36,OK,0.08968074495076289,0
37,OR,0.06702000851426138,0
38,PA,0.16182946986494656,0
39,RI,0.10068101666896268,0
40,SC,0.3421779141104294,0
41,SD,-0.07722980054018602,0
42,TN,0.569090909090909,1
43,TX,0.14540522245808607,0
44,UT,0.10477116361397565,0
45,VA,0.4389532794249775,1
46,VT,0.015807700837640937,0
47,WA,0.048079611869934424,0
48,WI,0.2554832826747721,1
49,WV,0.021365893365893396,0
50,WY,0.019885135135135124,0
