State,WBA Rent Share Change,Nonindexer
AK,0.1971384045335659,1
AL,0.32472640692640686,1
AR,0.16208445001446053,0
AZ,0.4662675304878048,1
CA,0.5818368563685639,1
CO,0.18034333640031147,0
CT,0.0653237377509222,0
DC,0.4097505029301145,0
DE,0.30874747474747466,1
FL,0.9231272727272726,1
GA,0.4569406392694063,1
HI,0.09650106045816609,0
IA,-0.01939725085910654,0
ID,0.14408316990550896,0
IL,0.02519894681302315,0
IN,0.26916843501326243,1
KS,0.042830622185460965,0
KY,0.022398393243382442,0
LA,0.41209344608879495,0
MA,0.0378591328673461,0
MD,0.3389339834958741,1
ME,0.017694542064118135,0
MI,0.3662154696132596,1
MN,0.21386307640721358,0
MO,0.2505837499999999,1
MS,0.3901155015197568,1
MT,0.020274778890594092,0
NC,0.5729320054945055,0
ND,-0.014977204168380553,0
NE,0.005863553113553133,0
NH,0.3718408627332477,1
NJ,0.075221144195383,0
NM,0.0011388872288292662,0
NV,0.11264401844212568,0
NY,0.3160899470899471,1
OH,0.022897082277887226,0
OK,0.015180521982834094,0
OR,0.06129094076655056,0
PA,0.1860004661085316,0
RI,0.09697216191441116,0
SC,0.41493798825969896,0
SD,-0.026790981548889092,0
TN,0.44652027972027974,1
TX,0.1481276155049246,0
UT,0.08614797932030072,0
VA,0.4779997990757485,1
VT,-0.032292419842351705,0
WA,0.07860936560195003,0
WI,0.2979374024480408,1
WV,0.005607098853989079,0
WY,-0.014182072829131698,0
