Year,State,Weekly Median Rent,Maximum WBA,Rent Share of Max WBA
2004,AL,128.65,210.0,0.6126190476190476
2005,AL,131.19,220.0,0.5963181818181819
2006,AL,142.46,220.0,0.6475454545454545
2007,AL,147.3,230.0,0.6404347826086957
2008,AL,157.42,235.0,0.6698723404255319
2009,AL,159.95,255.0,0.6272549019607843
2010,AL,166.17,265.0,0.6270566037735849
2011,AL,168.01,265.0,0.634
2012,AL,171.0,265.0,0.6452830188679245
2013,AL,170.31,265.0,0.6426792452830189
2014,AL,180.67,265.0,0.6817735849056603
2015,AL,178.37,265.0,0.6730943396226415
2016,AL,185.96,265.0,0.7017358490566038
2017,AL,181.82,265.0,0.6861132075471698
2018,AL,193.79,265.0,0.7312830188679245
2019,AL,197.01,265.0,0.7434339622641509
2020,AL,198.62,275.0,0.7222545454545455
2021,AL,209.9,275.0,0.7632727272727273
2022,AL,219.79,275.0,0.7992363636363636
2023,AL,234.75,275.0,0.8536363636363636
2024,AL,257.77,275.0,0.9373454545454545
2004,AK,197.93,248.0,0.7981048387096774
2005,AK,211.74,248.0,0.8537903225806452
2006,AK,223.25,248.0,0.9002016129032258
2007,AK,227.85,248.0,0.91875
2008,AK,230.15,248.0,0.9280241935483872
2009,AK,260.07,370.0,0.7028918918918918
2010,AK,250.86,370.0,0.678
2011,AK,260.07,370.0,0.7028918918918918
2012,AK,294.59,370.0,0.7961891891891891
2013,AK,287.69,370.0,0.7775405405405406
2014,AK,294.59,370.0,0.7961891891891891
2015,AK,299.19,370.0,0.8086216216216217
2016,AK,299.19,370.0,0.8086216216216217
2017,AK,313.0,370.0,0.845945945945946
2018,AK,310.7,370.0,0.8397297297297297
2019,AK,315.3,370.0,0.8521621621621622
2020,AK,313.0,370.0,0.845945945945946
2021,AK,333.72,370.0,0.901945945945946
2022,AK,322.21,370.0,0.8708378378378377
2023,AK,338.32,370.0,0.9143783783783783
2024,AK,368.24,370.0,0.9952432432432433
2004,AZ,166.86,205.0,0.8139512195121952
2005,AZ,172.61,240.0,0.7192083333333333
2006,AZ,184.12,240.0,0.7671666666666667
2007,AZ,200.23,240.0,0.8342916666666667
2008,AZ,211.74,240.0,0.8822500000000001
2009,AZ,214.04,240.0,0.8918333333333333
2010,AZ,209.67,240.0,0.873625
2011,AZ,211.74,240.0,0.8822500000000001
2012,AZ,222.55,240.0,0.9272916666666667
2013,AZ,222.09,240.0,0.9253750000000001
2014,AZ,230.15,240.0,0.9589583333333334
2015,AZ,231.3,240.0,0.96375
2016,AZ,241.2,240.0,1.005
2017,AZ,248.56,240.0,1.0356666666666667
2018,AZ,253.16,240.0,1.0548333333333333
2019,AZ,262.37,240.0,1.0932083333333333
2020,AZ,278.02,240.0,1.1584166666666667
2021,AZ,305.18,240.0,1.2715833333333333
2022,AZ,350.98,240.0,1.4624166666666667
2023,AZ,391.25,320.0,1.22265625
2024,AZ,409.67,320.0,1.28021875
2004,AR,126.12,345.0,0.3655652173913044
2005,AR,131.19,345.0,0.3802608695652174
2006,AR,140.39,382.0,0.36751308900523555
2007,AR,144.07,395.0,0.36473417721518986
2008,AR,151.9,409.0,0.37139364303178485
2009,AR,151.44,431.0,0.351368909512761
2010,AR,155.81,441.0,0.35331065759637187
2011,AR,159.95,451.0,0.3546563192904656
2012,AR,158.8,457.0,0.34748358862144424
2013,AR,163.41,451.0,0.3623281596452328
2014,AR,168.01,451.0,0.37252771618625274
2015,AR,172.61,451.0,0.38272727272727275
2016,AR,172.61,451.0,0.38272727272727275
2017,AR,174.91,451.0,0.3878270509977827
2018,AR,181.36,451.0,0.4021286031042129
2019,AR,181.82,451.0,0.40314855875831485
2020,AR,186.42,451.0,0.4133481152993348
2021,AR,200.92,451.0,0.4454988913525499
2022,AR,208.75,451.0,0.46286031042128606
2023,AR,228.54,451.0,0.506740576496674
2024,AR,237.97,451.0,0.5276496674057649
2004,CA,217.95,410.0,0.5315853658536585
2005,CA,232.45,450.0,0.5165555555555555
2006,CA,246.26,450.0,0.5472444444444444
2007,CA,260.07,450.0,0.5779333333333333
2008,CA,276.18,450.0,0.6137333333333334
2009,CA,280.78,450.0,0.6239555555555555
2010,CA,283.77,450.0,0.6305999999999999
2011,CA,285.39,450.0,0.6342
2012,CA,290.45,450.0,0.6454444444444444
2013,CA,296.89,450.0,0.6597555555555555
2014,CA,308.4,450.0,0.6853333333333332
2015,CA,315.3,450.0,0.7006666666666667
2016,CA,331.42,450.0,0.736488888888889
2017,CA,349.37,450.0,0.7763777777777778
2018,CA,363.64,450.0,0.8080888888888889
2019,CA,382.05,450.0,0.849
2020,CA,395.86,450.0,0.879688888888889
2021,CA,416.57,450.0,0.9257111111111112
2022,CA,444.88,450.0,0.9886222222222222
2023,CA,478.02,450.0,1.0622666666666667
2024,CA,501.04,450.0,1.1134222222222223
2004,CO,177.22,398.0,0.4452763819095477
2005,CO,187.11,407.0,0.45972972972972975
2006,CO,195.63,421.0,0.4646793349168646
2007,CO,200.0,435.0,0.45977011494252873
2008,CO,213.35,413.0,0.5165859564164649
2009,CO,214.04,431.0,0.49661252900232017
2010,CO,215.19,443.0,0.48575620767494354
2011,CO,227.85,415.0,0.5490361445783133
2012,CO,230.84,454.0,0.5084581497797357
2013,CO,239.36,466.0,0.513648068669528
2014,CO,251.55,481.0,0.522972972972973
2015,CO,276.18,484.0,0.5706198347107438
2016,CO,293.21,502.0,0.5840836653386454
2017,CO,306.1,516.0,0.593217054263566
2018,CO,319.91,520.0,0.6152115384615385
2019,CO,337.17,542.0,0.6220848708487086
2020,CO,347.53,561.0,0.6194830659536541
2021,CO,368.24,590.0,0.624135593220339
2022,CO,401.61,636.0,0.6314622641509434
2023,CO,435.9,675.0,0.6457777777777778
2024,CO,444.19,710.0,0.6256197183098592
2004,CT,197.93,429.0,0.4613752913752914
2005,CT,209.44,447.0,0.46854586129753917
2006,CT,223.25,465.0,0.4801075268817204
2007,CT,230.15,483.0,0.4765010351966874
2008,CT,241.66,501.0,0.4823552894211577
2009,CT,248.56,519.0,0.4789210019267823
2010,CT,248.56,537.0,0.4628677839851024
2011,CT,253.16,555.0,0.4561441441441441
2012,CT,253.16,573.0,0.4418150087260035
2013,CT,260.07,591.0,0.44005076142131977
2014,CT,264.67,590.0,0.4485932203389831
2015,CT,271.58,594.0,0.45720538720538717
2016,CT,278.48,598.0,0.46568561872909703
2017,CT,280.78,616.0,0.4558116883116883
2018,CT,292.29,613.0,0.4768189233278956
2019,CT,294.59,631.0,0.46686212361331214
2020,CT,306.1,649.0,0.47164869029275813
2021,CT,317.61,667.0,0.4761769115442279
2022,CT,338.32,685.0,0.4938978102189781
2023,CT,359.03,703.0,0.5107112375533428
2024,CT,379.75,721.0,0.5266990291262136
2004,DE,174.91,330.0,0.5300303030303031
2005,DE,198.62,330.0,0.6018787878787879
2006,DE,204.83,330.0,0.6206969696969697
2007,DE,225.55,330.0,0.6834848484848485
2008,DE,231.76,330.0,0.7023030303030303
2009,DE,237.05,330.0,0.7183333333333334
2010,DE,230.15,330.0,0.6974242424242424
2011,DE,248.56,330.0,0.7532121212121212
2012,DE,237.05,330.0,0.7183333333333334
2013,DE,243.96,330.0,0.7392727272727273
2014,DE,253.16,330.0,0.7671515151515151
2015,DE,249.25,330.0,0.7553030303030303
2016,DE,248.56,330.0,0.7532121212121212
2017,DE,257.77,330.0,0.7811212121212121
2018,DE,276.18,330.0,0.8369090909090909
2019,DE,276.18,330.0,0.8369090909090909
2020,DE,260.76,400.0,0.6518999999999999
2021,DE,293.44,400.0,0.7336
2022,DE,310.7,400.0,0.7767499999999999
2023,DE,315.3,400.0,0.78825
2024,DE,377.45,450.0,0.8387777777777777
2004,DC,184.12,309.0,0.5958576051779936
2005,DC,181.82,359.0,0.5064623955431755
2006,DC,207.13,359.0,0.5769637883008356
2007,DC,218.64,359.0,0.6090250696378829
2008,DC,234.75,359.0,0.653899721448468
2009,DC,243.96,359.0,0.6795543175487465
2010,DC,276.18,359.0,0.7693036211699165
2011,DC,276.18,359.0,0.7693036211699165
2012,DC,294.59,359.0,0.8205849582172702
2013,DC,299.19,359.0,0.8333983286908078
2014,DC,322.21,359.0,0.8975208913649024
2015,DC,322.21,359.0,0.8975208913649024
2016,DC,322.21,359.0,0.8975208913649024
2017,DC,352.13,425.0,0.8285411764705882
2018,DC,349.83,432.0,0.8097916666666666
2019,DC,370.54,438.0,0.8459817351598174
2020,DC,407.36,444.0,0.9174774774774775
2021,DC,375.14,444.0,0.8449099099099099
2022,DC,425.78,444.0,0.9589639639639639
2023,DC,450.63,444.0,1.0149324324324325
2024,DC,446.49,444.0,1.005608108108108
2004,FL,186.42,275.0,0.6778909090909091
2005,FL,195.63,275.0,0.7113818181818181
2006,FL,214.04,275.0,0.7783272727272726
2007,FL,227.39,275.0,0.8268727272727272
2008,FL,234.29,275.0,0.8519636363636364
2009,FL,233.83,275.0,0.8502909090909091
2010,FL,232.45,275.0,0.8452727272727273
2011,FL,232.91,275.0,0.8469454545454546
2012,FL,234.75,275.0,0.8536363636363636
2013,FL,238.9,275.0,0.8687272727272728
2014,FL,245.11,,
2015,FL,253.16,275.0,0.9205818181818182
2016,FL,261.22,275.0,0.9498909090909092
2017,FL,273.88,275.0,0.9959272727272727
2018,FL,289.99,275.0,1.0545090909090908
2019,FL,303.8,275.0,1.1047272727272728
2020,FL,315.3,275.0,1.1465454545454545
2021,FL,329.11,275.0,1.1967636363636365
2022,FL,369.39,275.0,1.3432363636363636
2023,FL,414.27,275.0,1.5064363636363636
2024,FL,440.28,275.0,1.6010181818181817
2004,GA,161.8,300.0,0.5393333333333333
2005,GA,173.99,300.0,0.5799666666666667
2006,GA,179.52,300.0,0.5984
2007,GA,186.42,320.0,0.5825625
2008,GA,192.87,320.0,0.60271875
2009,GA,195.63,330.0,0.5928181818181818
2010,GA,200.23,330.0,0.6067575757575757
2011,GA,204.14,330.0,0.6186060606060606
2012,GA,202.53,330.0,0.6137272727272727
2013,GA,206.44,330.0,0.6255757575757576
2014,GA,214.04,330.0,0.6486060606060606
2015,GA,220.48,330.0,0.6681212121212121
2016,GA,228.54,330.0,0.6925454545454546
2017,GA,230.15,330.0,0.6974242424242424
2018,GA,241.66,330.0,0.7323030303030303
2019,GA,250.86,330.0,0.7601818181818182
2020,GA,258.46,365.0,0.7081095890410959
2021,GA,273.88,365.0,0.7503561643835617
2022,GA,306.1,365.0,0.8386301369863014
2023,GA,334.64,365.0,0.9168219178082191
