State,MFI,ELIL (1p),LIL (1p),VLIL (1p)
AL,47700,10017,26712,16695
AK,72400,15204,40544,25340
AZ,53300,11193,29848,18655
AR,45300,9513,25368,15855
CA,62500,13125,35000,21875
CO,63500,13335,35560,22225
CT,76100,15981,42616,26635
DE,63300,13293,35448,22155
DC,55000,11550,30800,19250
FL,51900,10899,29064,18165
GA,57200,12012,32032,20020
HI,62600,13146,35056,21910
ID,48900,10269,27384,17115
IL,62900,13209,35224,22015
IN,57300,12033,32088,20055
IA,55800,11718,31248,19530
KS,55800,11718,31248,19530
KY,48000,10080,26880,16800
LA,46700,9807,26152,16345
ME,50900,10689,28504,17815
MD,72000,15120,40320,25200
MA,73700,15477,41272,25795
MI,60700,12747,33992,21245
MN,66000,13860,36960,23100
MS,40700,9310,22792,14245
MO,56100,11781,31416,19635
MT,47500,9975,26600,16625
NE,56300,11823,31528,19705
NV,57600,12096,32256,20160
NH,68000,14280,38080,23800
NJ,77800,16338,43568,27230
NM,46200,9702,25872,16170
NY,59700,12537,33432,20895
NC,53000,11130,29680,18550
ND,52700,11067,29512,18445
OH,56900,11949,31864,19915
OK,47400,9954,26544,16590
OR,58600,12306,32816,20510
PA,57300,12033,32088,20055
RI,60300,12663,33768,21105
SC,52400,11004,29344,18340
SD,49400,10374,27664,17290
TN,49600,10416,27776,17360
TX,53000,11130,29680,18550
UT,57100,11991,31976,19985
VT,58600,12306,32816,20510
VA,62800,13188,35168,21980
WA,61500,12915,34440,21525
WV,44400,9324,24864,15540
WI,59500,12495,33320,20825
WY,54500,11445,30520,19075
