State,VLIL (1p),ELIL (1p),LIL (1p)
AK,39150,23500,62650
AL,28900,17350,46200
AR,26300,15800,42100
AZ,33000,19800,52750
CA,39000,23400,62350
CO,40750,24450,65200
CT,42850,25700,68500
DC,54150,32500,68500
DE,37250,22350,59550
FL,31050,18650,49650
GA,32200,19350,51550
HI,40250,24150,64400
IA,33800,20300,54050
ID,31700,19050,50700
IL,36050,21600,57650
IN,31400,18850,50250
KS,33400,20050,53400
KY,28300,17000,45300
LA,27100,16250,43350
MA,48150,28900,68500
MD,43600,26150,68500
ME,32750,19650,52400
MI,31950,19150,51100
MN,39150,23500,62650
MO,31050,18650,49650
MS,24900,14950,39850
MT,31050,18650,49700
NC,31050,18650,49650
ND,36400,21850,58200
NE,34450,20650,55100
NH,42000,25200,67150
NJ,43900,26350,68500
NM,27650,16600,44200
NV,32350,19400,51700
NY,36850,22100,58950
OH,32000,19200,51150
OK,28050,16850,44900
OR,34750,20850,55550
PA,34600,20800,55350
RI,39400,23650,63000
SC,29700,17850,47500
SD,33300,20000,53300
TN,30100,18050,48100
TX,32100,19250,51350
UT,38000,22800,60800
VA,39800,23900,63700
VT,35850,21500,57300
WA,40600,24350,64900
WI,34100,20450,54550
WV,26150,15700,41850
WY,32200,19300,51450
