State,VLIL (1p),Half Weekly VLIL (1p),"Very Low-Income Limit, 50% median (3p)","Extremely Low-Income Limit, 30% (3p)","Low-Income Limit, 80% (3p)"
AK,"37,450.00",360.1,48150,28850,76950
AL,"27,250.00",262.02,35050,21050,56100
AR,"25,150.00",241.83,32350,19350,51750
AZ,"30,350.00",291.83,39000,23400,62400
CA,"37,350.00",359.13,48000,28800,76850
CO,"38,550.00",370.67,49600,29700,79350
CT,"41,700.00",400.96,53650,32200,85200
DC,"52,750.00",507.21,75350,45200,95300
DE,"34,200.00",328.85,44000,26400,70350
FL,"29,000.00",278.85,37300,22400,59700
GA,"30,800.00",296.15,39650,23750,63400
HI,"39,650.00",381.25,50950,30600,81500
IA,"32,200.00",309.62,41400,24800,66250
ID,"28,600.00",275,36750,22050,58850
IL,"35,250.00",338.94,45300,27200,72500
IN,"30,350.00",291.83,39050,23450,62500
KS,"32,100.00",308.65,41250,24700,66000
KY,"26,950.00",259.13,34650,20800,55550
LA,"26,350.00",253.37,33850,20300,54150
MA,"44,000.00",423.08,56600,33950,85200
MD,"43,550.00",418.75,56000,33600,85200
ME,"31,350.00",301.44,40350,24200,64550
MI,"31,200.00",300,40100,24050,64200
MN,"38,550.00",370.67,49550,29700,79300
MO,"29,950.00",287.98,38550,23150,61700
MS,"24,050.00",231.25,30950,18550,49550
MT,"29,900.00",287.5,38450,23050,61500
NC,"29,350.00",282.21,37750,22650,60450
ND,"35,150.00",337.98,45200,27100,72300
NE,"32,900.00",316.35,42300,25400,67700
NH,"40,000.00",384.62,51450,30850,82350
NJ,"43,250.00",415.87,55600,33350,85200
NM,"25,450.00",244.71,32700,19600,52350
NV,"31,350.00",301.44,40300,24200,64500
NY,"36,100.00",347.12,46450,27850,74350
OH,"30,850.00",296.63,39700,23800,63500
OK,"27,500.00",264.42,35350,21200,56550
OR,"33,650.00",323.56,43300,25950,69250
PA,"33,400.00",321.15,42900,25750,68700
RI,"36,500.00",350.96,46900,28150,75050
SC,"28,500.00",274.04,36650,21950,58600
SD,"31,300.00",300.96,40250,24150,64400
TN,"28,450.00",273.56,36600,21950,58550
TX,"31,100.00",299.04,40000,24050,64100
UT,"35,350.00",339.9,45450,27300,72750
VA,"38,500.00",370.19,49500,29650,79200
VT,"34,400.00",330.77,44200,26500,70750
WA,"37,950.00",364.9,48850,29300,78150
WI,"33,250.00",319.71,42800,25650,68500
WV,"25,000.00",240.38,32150,19300,51450
WY,"32,950.00",316.83,42350,25400,67750
