State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
AK,2015,1,360,305,18,7,7,25,13.84,13.84,54.9,3,54.9,3
AK,2015,2,364,323,18,6.4,9,23,10.02,10.02,43.2,3,43.2,3
AK,2015,3,367,332,18,5.5,21,20,7.26,7.26,36,7,36,7
AK,2015,4,359,306,18,6.3,4,23,11.84,11.84,52.1,3,52.1,3
AK,2016,1,358,301,18,7.1,4,26,14.44,14.44,56.4,4,56.4,4
AK,2016,2,363,318,18,6.6,3,24,11.02,11.02,45.9,4,45.9,4
AK,2016,3,367,325,18,6.1,7,22,8.2,8.2,36.9,7,36.9,7
AK,2016,4,359,300,18,6.5,4,23,11.71,11.71,49.9,4,49.9,4
AK,2017,1,359,295,18,7.3,3,26,13.68,13.68,52.1,7,52.1,7
AK,2017,2,362,313,18,6.5,3,23,9.48,9.48,40.3,9,40.3,9
AK,2017,3,366,322,18,6,5,22,6.71,6.71,30.8,14,30.8,14
AK,2017,4,355,298,18,6.3,3,22,10.48,11.05,46.8,6,49.3,4
AK,2018,1,354,294,18,7.1,3,25,11.57,12.62,46.3,12,50.5,10
AK,2018,2,357,311,18,6.1,3,22,8.4,8.58,38.8,10,39.7,10
AK,2018,3,360,321,18,5.2,4,19,5.84,5.84,31.2,14,31.2,14
AK,2018,4,352,299,18,5.8,3,20,8.35,8.35,41,9,41,9
AK,2019,1,349,295,18,6.7,3,24,9.72,9.72,41.2,14,41.2,14
AK,2019,2,352,314,18,5.6,3,20,6.78,6.78,34.1,15,34.1,15
AK,2019,3,358,325,19,5,6,18,4.9,4.9,27.6,18,27.6,18
AK,2019,4,349,300,19,5.2,3,18,7.77,7.77,42.8,10,42.8,10
AK,2020,1,349,296,19,6.2,3,22,9.84,9.84,45.3,17,45.3,17
AK,2020,2,343,269,19,11.7,23,40,46.26,46.78,115.5,10,116.8,10
AK,2020,3,350,284,19,8.4,20,29,31.68,32.48,107.8,15,110.5,15
AK,2020,4,345,279,19,7.1,13,24,19.69,21.19,80.8,8,87,9
AL,2015,1,"2,160","1,810",86,6.3,16,136,24.53,24.53,18,45,18,45
AL,2015,2,"2,172","1,842",86,6,13,131,22.74,22.74,17.4,42,17.4,42
AL,2015,3,"2,145","1,839",86,6.3,10,135,22.75,22.75,16.9,43,16.9,43
AL,2015,4,"2,131","1,859",86,5.9,8,126,21.09,21.09,16.7,44,16.7,44
AL,2016,1,"2,136","1,839",87,6.3,8,134,22.11,22.11,16.5,45,16.5,45
AL,2016,2,"2,157","1,869",87,5.7,12,123,20.03,20.03,16.3,44,16.3,44
AL,2016,3,"2,163","1,864",87,6,8,129,21.2,21.2,16.4,42,16.4,42
AL,2016,4,"2,167","1,876",88,5.5,6,120,18.95,18.95,15.8,43,15.8,43
AL,2017,1,"2,194","1,863",88,5.5,11,122,19.38,19.38,15.9,44,15.9,44
AL,2017,2,"2,204","1,888",88,4.4,17,98,17.43,17.43,17.9,40,17.9,40
AL,2017,3,"2,210","1,884",88,4.4,25,97,19,19,19.7,32,19.7,32
AL,2017,4,"2,206","1,900",89,3.7,32,82,16.82,16.82,20.4,40,20.4,40
AL,2018,1,"2,217","1,882",89,4.3,25,95,17.89,17.89,18.9,44,18.9,44
AL,2018,2,"2,241","1,911",90,3.9,20,86,16.18,16.18,18.7,37,18.7,37
AL,2018,3,"2,246","1,910",90,4,18,91,17.11,17.11,18.8,33,18.8,33
AL,2018,4,"2,257","1,931",90,3.5,24,79,16.13,16.13,20.3,36,20.3,36
AL,2019,1,"2,262","1,914",91,3.9,28,87,15.19,15.19,17.4,43,17.4,43
AL,2019,2,"2,270","1,940",92,3,36,68,14.76,14.76,21.8,30,21.8,30
AL,2019,3,"2,277","1,935",92,3.1,36,71,17.08,17.08,24,27,24,27
AL,2019,4,"2,279","1,953",93,2.8,38,63,14.31,14.31,22.6,34,22.6,34
AL,2020,1,"2,256","1,927",95,3.5,38,80,18.81,18.81,23.5,42,23.5,42
AL,2020,2,"2,237","1,763",97,10.7,31,240,175.27,175.27,73,40,73,40
AL,2020,3,"2,286","1,838",99,6.7,35,154,62.97,62.97,40.8,52,40.8,52
