State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
MA,2015,1,"3,581","3,283",206,5.5,34,197,103.21,103.21,52.4,5,52.4,5
MA,2015,2,"3,606","3,404",207,4.8,32,174,70.7,70.7,40.5,6,40.5,6
MA,2015,3,"3,601","3,406",206,4.7,32,169,66.79,66.79,39.5,4,39.5,4
MA,2015,4,"3,570","3,437",210,4.1,36,148,64.48,64.48,43.6,6,43.6,6
MA,2016,1,"3,587","3,360",211,4.7,33,169,92.75,92.75,55,5,55,5
MA,2016,2,"3,611","3,464",212,4,37,144,67.96,67.96,47,3,47,3
MA,2016,3,"3,653","3,478",215,3.9,39,144,64.95,64.95,45.1,4,45.1,4
MA,2016,4,"3,619","3,491",215,3.4,41,124,61.91,61.91,50.1,3,50.1,3
MA,2017,1,"3,692","3,411",218,4.3,35,158,90.19,90.19,57,3,57,3
MA,2017,2,"3,721","3,517",220,3.8,31,140,63.84,63.84,45.5,4,45.5,4
MA,2017,3,"3,758","3,522",222,3.9,32,146,62.66,62.66,43,5,43,5
MA,2017,4,"3,727","3,538",223,3.3,35,124,62.34,62.34,50.1,3,50.1,3
MA,2018,1,"3,776","3,459",224,4.1,32,155,83.82,83.82,54.1,6,54.1,6
MA,2018,2,"3,824","3,562",226,3.5,32,133,60.06,60.06,45.2,4,45.2,4
MA,2018,3,"3,848","3,558",229,3.4,34,131,60.85,60.85,46.3,4,46.3,4
MA,2018,4,"3,827","3,582",230,2.9,40,111,56.14,56.14,50.5,3,50.5,3
MA,2019,1,"3,842","3,506",231,3.6,38,140,79.17,79.17,56.7,4,56.7,4
MA,2019,2,"3,847","3,615",233,2.9,41,112,54.07,54.07,48.3,4,48.3,4
MA,2019,3,"3,868","3,611",233,3,38,116,53.48,53.48,46,4,46,4
MA,2019,4,"3,838","3,625",232,2.6,42,99,52.09,52.09,52.6,4,52.6,4
MA,2020,1,"3,804","3,537",233,3.5,38,131,101.32,101.32,77.1,4,77.1,4
MA,2020,2,"3,636","3,023",236,15.4,5,561,545.16,545.16,97.1,20,97.1,20
MA,2020,3,"3,787","3,218",236,10.9,7,414,421.76,426.7,101.9,19,103.1,19
MA,2020,4,"3,750","3,332",237,7.6,9,286,199.73,226.57,69.8,10,79.1,10
MD,2015,1,"3,120","2,386",140,5.6,32,173,51.71,51.71,29.8,31,29.8,31
MD,2015,2,"3,150","2,466",141,5,30,157,37.39,37.39,23.8,32,23.8,32
MD,2015,3,"3,154","2,447",141,4.9,29,156,36.57,36.57,23.4,31,23.4,31
MD,2015,4,"3,136","2,489",143,4.5,27,141,34.94,34.94,24.8,33,24.8,33
MD,2016,1,"3,134","2,431",145,4.6,35,145,43.18,43.18,29.8,31,29.8,31
MD,2016,2,"3,149","2,498",146,4.2,35,131,33.13,33.13,25.3,30,25.3,30
MD,2016,3,"3,175","2,479",144,4.3,35,138,33.89,33.89,24.6,28,24.6,28
MD,2016,4,"3,166","2,517",145,4,34,127,31.66,31.66,25,29,25,29
MD,2017,1,"3,217","2,465",147,4.3,35,137,39.4,39.4,28.7,29,28.7,29
MD,2017,2,"3,243","2,524",148,3.8,31,124,31.18,31.18,25.1,30,25.1,30
MD,2017,3,"3,274","2,503",145,4.1,30,133,32.13,32.13,24.1,27,24.1,27
MD,2017,4,"3,241","2,536",147,3.8,28,123,29.57,29.57,24.1,31,24.1,31
MD,2018,1,"3,251","2,486",148,4.3,25,139,33.68,33.68,24.2,33,24.2,33
MD,2018,2,"3,270","2,549",149,3.8,26,124,26.5,26.5,21.4,31,21.4,31
MD,2018,3,"3,281","2,540",147,3.7,27,123,28.57,28.57,23.2,25,23.2,25
MD,2018,4,"3,280","2,563",147,3.4,27,110,25.4,25.4,23,29,23,29
MD,2019,1,"3,306","2,514",149,3.9,28,127,30.96,30.96,24.3,31,24.3,31
MD,2019,2,"3,325","2,569",149,3.2,30,108,23.53,23.53,21.8,30,21.8,30
MD,2019,3,"3,364","2,547",148,3.4,28,115,25.04,25.04,21.7,29,21.7,29
MD,2019,4,"3,359","2,583",149,3,29,100,23.14,23.14,23.1,33,23.1,33
MD,2020,1,"3,362","2,519",150,3.7,35,123,33.67,33.67,27.4,36,27.4,36
MD,2020,2,"3,187","2,219",153,8.6,47,275,236.71,236.71,86.1,29,86.1,29
MD,2020,3,"3,201","2,326",153,7.3,31,233,185.87,188.11,79.6,33,80.6,34
MD,2020,4,"3,172","2,393",156,6.3,22,201,77.02,84.41,38.3,44,42,43
MI,2015,1,"4,717","4,009",196,6.3,16,295,100.71,100.71,34.1,24,34.1,24
MI,2015,2,"4,768","4,129",201,5.6,21,265,58.25,58.25,22,34,22,34
MI,2015,3,"4,785","4,129",204,5.4,23,258,51.28,51.28,19.9,36,19.9,36
MI,2015,4,"4,771","4,174",205,4.5,27,215,56.29,56.29,26.1,29,26.1,29
MI,2016,1,"4,796","4,089",210,5.3,23,256,95.72,95.72,37.4,19,37.4,19
MI,2016,2,"4,845","4,208",212,4.8,23,233,56.41,56.41,24.2,31,24.2,31
MI,2016,3,"4,895","4,221",214,5.2,17,257,50.28,50.28,19.6,32,19.6,32
MI,2016,4,"4,858","4,244",212,4.5,25,221,51.11,51.11,23.2,32,23.2,32
MI,2017,1,"4,878","4,159",214,5.2,16,255,89.16,89.16,35,24,35,24
MI,2017,2,"4,897","4,268",215,4,28,198,52.23,52.23,26.4,27,26.4,27
MI,2017,3,"4,959","4,262",216,4.9,12,244,47.65,47.65,19.5,34,19.5,34
MI,2017,4,"4,912","4,281",217,4.2,18,205,48.57,48.57,23.7,32,23.7,32
MI,2018,1,"4,912","4,204",218,4.9,11,240,82.75,82.75,34.4,20,34.4,20
