State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
WI,2024,1,"3,149","2,855",172,3.3,38,104,39.4,39.4,37.8,14,37.8,14
WI,2024,2,"3,175","2,927",173,3,37,96,25.21,25.21,26.4,20,26.4,20
WI,2024,3,"3,201","2,928",174,2.9,46,93,25.3,25.3,27.2,16,27.2,16
WI,2024,4,"3,177","2,929",175,2.7,46,85,25.24,25.24,29.6,19,29.6,19
WV,2024,1,783,663,42,4.6,11,36,10.81,10.81,29.7,24,29.7,24
WV,2024,2,793,672,43,4,15,31,8.73,8.73,27.8,18,27.8,18
WV,2024,3,792,658,43,4.1,23,33,7.62,7.62,23.3,22,23.3,22
WV,2024,4,779,675,43,3.5,27,28,7.78,7.78,28.3,21,28.3,21
WY,2024,1,295,265,27,3.5,32,10,2.96,2.96,28.5,26,28.5,26
WY,2024,2,296,275,27,3,37,9,1.9,1.9,21.3,28,21.3,28
WY,2024,3,299,280,27,3,45,9,1.54,1.54,17.4,33,17.4,33
WY,2024,4,297,273,27,3.4,30,10,2.23,2.23,21.9,31,21.9,31
,,,,,,,,,,,,,,
