State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
AK,2024,1,354,299,21,5.1,6,18,6.08,6.08,33.9,20,33.9,20
AK,2024,2,359,319,21,4.6,8,16,4.42,4.42,27,19,27,19
AK,2024,3,365,328,21,4.2,21,15,3.5,3.5,23,23,23,23
AK,2024,4,358,306,21,4.6,8,17,5.45,5.45,32.8,14,32.8,14
AL,2024,1,"2,326","2,025",115,3.1,41,72,8.95,8.95,12.5,49,12.5,49
AL,2024,2,"2,339","2,049",118,2.7,47,63,8.46,8.46,13.5,49,13.5,49
AL,2024,3,"2,359","2,039",121,3.4,36,79,9.31,9.31,11.7,50,11.7,50
AL,2024,4,"2,363","2,062",122,3.2,36,76,8.16,8.16,10.7,51,10.7,51
AR,2024,1,"1,391","1,262",83,3.6,29,51,9.07,9.07,17.9,38,17.9,38
AR,2024,2,"1,414","1,277",83,3.3,32,47,8.04,8.04,17,35,17,35
AR,2024,3,"1,420","1,262",81,3.6,33,51,7.79,7.79,15.2,40,15.2,40
AR,2024,4,"1,410","1,290",80,3.2,36,46,6.62,6.62,14.5,44,14.5,44
AZ,2024,1,"3,731","3,189",175,3.2,39,120,21.04,21.04,17.5,40,17.5,40
AZ,2024,2,"3,736","3,127",176,3.4,29,127,26.03,26.03,20.5,30,20.5,30
AZ,2024,3,"3,759","3,090",177,4.1,23,155,30.33,30.33,19.6,29,19.6,29
AZ,2024,4,"3,760","3,205",178,3.7,23,139,23.05,23.05,16.6,36,16.6,36
CA,2024,1,"19,599","17,783","1,636",5.3,4,"1,046",429.8,429.97,41.1,13,41.1,13
CA,2024,2,"19,543","17,936","1,644",5,4,970,397.82,397.88,41,5,41,5
CA,2024,3,"19,751","17,893","1,655",5.6,5,"1,115",392.91,392.96,35.3,9,35.3,9
CA,2024,4,"19,684","18,088","1,665",5.3,4,"1,042",369.82,369.87,35.5,11,35.5,11
CO,2024,1,"3,239","2,796",237,4,22,130,33.37,33.39,25.6,31,25.6,31
CO,2024,2,"3,256","2,840",236,4,15,130,30.04,30.17,23,27,23.1,26
CO,2024,3,"3,294","2,861",236,4.5,13,148,31.65,31.86,21.4,28,21.5,28
CO,2024,4,"3,281","2,850",233,4.6,8,150,29.3,29.4,19.6,33,19.6,33
CT,2024,1,"1,921","1,638",129,3.6,29,70,32.2,32.2,46.2,8,46.2,8
CT,2024,2,"1,939","1,671",130,2.9,40,57,24.48,24.48,43,4,43,4
CT,2024,3,"1,961","1,660",130,3.3,39,65,28.36,28.36,43.9,4,43.9,4
CT,2024,4,"1,957","1,684",129,2.9,44,56,24.08,24.08,43,5,43,5
DC,2024,1,416,564,43,5.1,6,21,5.71,5.71,26.7,29,26.7,29
DC,2024,2,415,568,43,5,4,21,5.44,5.44,26.1,21,26.1,21
DC,2024,3,417,566,43,5.7,3,24,6.54,6.54,27.3,15,27.3,15
DC,2024,4,416,568,43,5,5,21,6.72,6.72,32,16,32,16
DE,2024,1,507,459,38,4,22,20,6.45,6.45,32.2,22,32.2,22
DE,2024,2,508,471,36,3.7,24,19,5.41,5.41,29.1,16,29.1,16
DE,2024,3,509,474,37,3.9,27,20,6.03,6.03,30.6,11,30.6,11
DE,2024,4,504,474,37,3.2,36,16,5.34,5.34,32.8,14,32.8,14
FL,2024,1,"11,101","9,666",714,3.1,41,349,32.4,32.4,9.3,53,9.3,53
FL,2024,2,"11,155","9,660",719,3.2,33,357,32.9,32.9,9.2,52,9.2,52
FL,2024,3,"11,219","9,600",724,3.7,29,414,37.43,37.43,9,52,9,52
FL,2024,4,"11,147","9,755",727,3.4,30,376,31.71,31.71,8.4,53,8.4,53
,,,,,,,,,,,,,,
