State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
NC,2024,1,"5,270","4,768",309,3.7,27,195,21.23,21.23,10.9,51,10.9,51
NC,2024,2,"5,298","4,830",313,3.5,26,184,21.24,21.24,11.5,51,11.5,51
NC,2024,3,"5,299","4,787",314,3.7,29,199,22.23,22.23,11.2,51,11.2,51
NC,2024,4,"5,271","4,856",308,3.6,24,189,31.48,31.48,16.6,36,16.6,36
ND,2024,1,419,408,28,2.8,46,12,5.81,5.81,49.1,6,49.1,6
ND,2024,2,428,423,29,2.4,50,10,2.67,2.67,25.9,22,25.9,22
ND,2024,3,432,421,29,2.3,52,10,2.71,2.71,26.9,18,26.9,18
ND,2024,4,424,425,29,2.2,52,9,3.28,3.28,35.5,11,35.5,11
NJ,2024,1,"4,874","4,145",278,4.7,10,230,119.79,119.97,52.1,5,52.2,5
NJ,2024,2,"4,903","4,243",279,4.3,10,213,102.24,102.41,48,3,48.1,3
NJ,2024,3,"4,925","4,159",280,4.8,9,237,114.2,114.33,48.2,3,48.2,3
NJ,2024,4,"4,890","4,266",281,4.3,12,208,101.14,101.21,48.6,3,48.6,3
NM,2024,1,974,830,56,3.7,27,36,11.08,11.08,30.4,23,30.4,23
NM,2024,2,981,840,56,4.1,13,40,9.27,9.27,23.1,26,23.1,26
NM,2024,3,987,835,55,4.6,12,46,10.56,10.56,23,23,23,23
NM,2024,4,990,845,55,4.1,17,40,10.16,10.16,25.1,23,25.1,23
NY,2024,1,"9,786","9,360",542,4.4,14,432,188.69,188.69,43.7,11,43.7,11
NY,2024,2,"9,836","9,563",542,4,15,398,153.18,153.18,38.5,8,38.5,8
NY,2024,3,"9,914","9,457",543,4.5,13,451,159.69,159.69,35.4,8,35.4,8
NY,2024,4,"9,803","9,649",543,4.2,14,410,153.29,153.29,37.4,8,37.4,8
OH,2024,1,"5,830","5,345",251,4.4,14,259,54.43,54.44,21.1,35,21.1,35
OH,2024,2,"5,914","5,452",251,4.2,12,249,39.3,39.3,15.8,39,15.8,39
OH,2024,3,"5,951","5,452",252,4.4,17,260,41.47,41.47,15.9,36,15.9,36
OH,2024,4,"5,899","5,477",252,4.1,17,242,48.17,48.17,19.9,32,19.9,32
OK,2024,1,"1,979","1,627",106,3.5,32,69,10.43,10.43,15.1,48,15.1,48
OK,2024,2,"1,985","1,640",106,3.2,33,64,10.12,10.12,15.8,39,15.8,39
OK,2024,3,"1,991","1,623",106,3.4,36,67,10.79,10.79,16.1,34,16.1,34
OK,2024,4,"1,988","1,660",105,3.1,39,62,9.91,9.91,16.1,40,16.1,40
OR,2024,1,"2,184","1,933",150,4.6,11,100,35.55,35.55,35.7,18,35.7,18
OR,2024,2,"2,192","1,976",151,3.8,22,83,27.7,27.7,33.4,10,33.4,10
OR,2024,3,"2,212","1,964",151,4.3,20,95,29.54,29.54,31.1,10,31.1,10
OR,2024,4,"2,204","1,969",151,4.1,17,90,31.7,31.7,35.3,13,35.3,13
PA,2024,1,"6,590","5,828",333,3.8,25,252,113.27,113.27,45,10,45,10
PA,2024,2,"6,593","5,936",332,3.4,29,226,89.48,89.48,39.7,7,39.7,7
PA,2024,3,"6,608","5,922",332,4,25,262,96.77,96.77,36.9,6,36.9,6
PA,2024,4,"6,517","5,972",333,3.3,34,218,88.87,88.87,40.8,6,40.8,6
PR,2024,1,"1,225",924,60,5.8,2,70,13.79,13.79,19.6,36,19.6,36
PR,2024,2,"1,209",924,61,5.6,2,68,12.11,12.11,17.9,34,17.9,34
PR,2024,3,"1,213",916,61,5.7,3,69,19.08,19.08,27.5,14,27.5,14
PR,2024,4,"1,240",941,61,5.5,3,68,15.15,15.15,22.3,29,22.3,29
,,,,,,,,,,,,,,
