State,Year,Quarter,Civilian Labor Force(000),Covered Employment(000),Subject Employers(000),Total Unemployment Rate,,Total Unemployed(000),Insured Unemployed Regular Programs(000),Insured Unemployed All Programs(000),Recipiency Rates Regular Programs ,,Recipiency Rates All Programs ,
,,,,,,(%),Rank,,,,(%),Rank,(%),Rank
AK,2003,1,329,262,17,8.5,3,28,20.9,23.56,74.4,2,83.9,2
AK,2003,2,333,279,17,7.9,4,26,16.35,18.6,62.4,2,71,2
AK,2003,3,336,288,17,6.8,11,23,11.88,13.54,52.1,7,59.4,3
AK,2003,4,332,270,17,7.6,3,25,17.27,19.49,68.9,2,77.8,2
AK,2004,1,332,264,17,8.7,3,29,21.11,23.3,73.4,2,81,2
AK,2004,2,337,282,17,7.6,4,26,15.37,17.49,59.9,2,68.2,2
AK,2004,3,343,295,17,6.3,8,22,10.53,10.53,48.5,6,48.5,6
AK,2004,4,338,276,17,7.1,5,24,16.08,16.08,66.5,2,66.5,2
AK,2005,1,338,270,17,8,3,27,19.51,19.96,72.1,2,73.7,2
AK,2005,2,344,289,17,6.8,6,24,14.27,16.41,60.6,3,69.7,2
AK,2005,3,350,302,17,5.9,8,21,9.49,9.49,45.7,5,45.7,5
AK,2005,4,344,280,17,7,6,24,14.59,14.59,60.4,3,60.4,3
AK,2006,1,343,276,17,7.7,3,27,18.02,18.02,67.9,3,67.9,3
AK,2006,2,349,297,17,6.7,5,23,13,13,55.4,2,55.4,2
AK,2006,3,355,307,17,5.8,7,20,8.79,8.79,43,7,43,7
AK,2006,4,348,284,17,6.3,5,22,13.92,13.92,63.6,2,63.6,2
AK,2007,1,346,280,17,7.1,4,25,16.01,16.01,64.8,3,64.8,3
AK,2007,2,350,299,17,6.3,4,22,12.1,12.1,54.8,4,54.8,4
AK,2007,3,356,310,17,5.5,8,20,8.5,8.5,43.5,9,43.5,9
AK,2007,4,349,287,17,6.1,4,21,12.54,12.54,58.5,3,58.5,3
AK,2008,1,349,283,17,7.1,4,25,16.28,16.28,65.3,4,65.3,4
AK,2008,2,357,304,17,6.5,5,23,13.3,13.79,57.7,2,59.8,2
AK,2008,3,362,315,17,5.7,23,21,8.97,10.34,43.3,8,50,5
AK,2008,4,354,292,17,6.5,22,23,12.4,12.63,53.8,7,54.7,5
AL,2003,1,"2,115","1,761",86,6.1,25,129,41.58,41.58,32.2,45,32.2,45
AL,2003,2,"2,130","1,777",86,5.9,21,125,38.06,38.06,30.4,42,30.4,42
AL,2003,3,"2,131","1,770",85,6.1,17,131,38.78,38.78,29.7,43,29.7,43
AL,2003,4,"2,139","1,786",86,5.8,14,123,33.41,33.41,27.1,49,27.1,49
AL,2004,1,"2,126","1,772",85,6.2,19,131,35.39,35.39,27.1,49,27.1,49
AL,2004,2,"2,142","1,804",86,5.5,22,118,29.55,29.55,24.9,47,24.9,47
AL,2004,3,"2,145","1,804",86,5.6,16,121,29.95,29.95,24.8,45,24.8,45
AL,2004,4,"2,140","1,823",87,5.1,21,108,28.33,28.33,26.2,38,26.2,38
AL,2005,1,"2,120","1,810",87,5.1,36,108,28.66,28.66,26.4,43,26.4,43
AL,2005,2,"2,136","1,846",87,4.3,37,91,25.94,25.94,28.4,31,28.4,31
AL,2005,3,"2,149","1,847",88,4.4,33,94,28.87,28.87,30.7,26,30.7,26
AL,2005,4,"2,157","1,870",88,4,37,87,24.58,24.58,28.3,34,28.3,34
AL,2006,1,"2,140","1,856",88,4.4,34,93,25.85,25.85,27.7,43,27.7,43
AL,2006,2,"2,163","1,883",88,3.9,37,84,23.87,23.87,28.6,33,28.6,33
AL,2006,3,"2,180","1,878",89,4.2,34,91,27.04,27.04,29.9,28,29.9,28
AL,2006,4,"2,196","1,889",87,3.6,38,80,26.28,26.28,32.9,29,32.9,29
AL,2007,1,"2,172","1,884",90,4.1,37,89,28.27,28.27,31.7,38,31.7,38
AL,2007,2,"2,178","1,905",90,3.8,36,82,25.07,25.07,30.7,33,30.7,33
AL,2007,3,"2,184","1,898",90,4.3,32,93,27.69,27.69,29.7,31,29.7,31
AL,2007,4,"2,188","1,914",90,4.1,30,90,27.93,27.93,31.2,34,31.2,34
AL,2008,1,"2,169","1,887",91,5,31,108,30.96,30.96,28.6,43,28.6,43
AL,2008,2,"2,182","1,903",91,5.1,21,112,31.39,31.39,28.1,39,28.1,39
AL,2008,3,"2,180","1,882",90,6.3,18,137,35.73,35.73,26.1,44,26.1,45
