Year,State,Region,Average WBA,Maximum WBA,Minimum WBA,Average Weekly Wage,Indexer,Non-indexer,Recipiency Rate,Replacement Ratio 1,Replacement Ratio 2,National CPI-U,Regional CPI-U
2000,AK,West,168.56,248.0,44.0,599.99,False,True,0.60879994588987,0.308,0.281,172.2,174.8
2000,AL,South,164.13,190.0,45.0,428.77,False,True,0.29208564615296,0.434,0.383,172.2,167.2
2000,AR,South,211.5,309.0,55.0,433.26,True,False,0.45345821793852,0.523,0.488,172.2,167.2
2000,AZ,West,176.33,205.0,40.0,458.32,False,True,0.2057091472626,0.463,0.385,172.2,174.8
2000,CA,West,163.65,230.0,40.0,528.25,False,True,0.40979121129037,0.383,0.31,172.2,174.8
2000,CO,West,259.02,337.0,25.0,593.11,True,False,0.2339362942664,0.488,0.437,172.2,174.8
2000,CT,Northeast,253.09,362.0,15.0,609.17,True,False,0.76407753368998,0.45,0.415,172.2,179.4
2000,DC,South,228.91,309.0,50.0,584.42,True,False,0.32272032363013,0.443,0.392,172.2,167.2
2000,DE,South,238.58,315.0,20.0,563.64,False,True,0.39749550753952,0.459,0.423,172.2,167.2
2000,FL,South,220.34,275.0,32.0,486.08,False,True,0.23813360315712,0.501,0.453,172.2,167.2
2000,GA,South,211.45,264.0,39.0,503.54,False,True,0.23394513674957,0.48,0.42,172.2,167.2
2000,HI,West,289.41,364.0,5.0,631.39,True,False,0.32693588065572,0.534,0.458,172.2,174.8
2000,IA,Midwest,229.3,263.0,37.0,487.38,True,False,0.45167644061341,0.518,0.47,172.2,168.3
2000,ID,West,214.04,273.0,51.0,439.86,True,False,0.39239063104112,0.504,0.487,172.2,174.8
2000,IL,Midwest,221.85,284.0,51.0,605.93,True,False,0.36003996748824,0.407,0.366,172.2,168.3
2000,IN,Midwest,230.62,252.0,50.0,523.5,False,True,0.33647482755853,0.493,0.441,172.2,168.3
2000,KS,Midwest,248.08,292.0,73.0,562.65,True,False,0.29631998635453,0.529,0.441,172.2,168.3
2000,KY,South,233.36,268.0,39.0,501.71,True,False,0.31319400553123,0.505,0.465,172.2,167.2
2000,LA,South,186.0,215.0,12.0,470.28,True,False,0.22960018070207,0.442,0.396,172.2,167.2
2000,MA,Northeast,280.69,402.0,14.0,655.6,True,False,0.63767645663563,0.466,0.428,172.2,179.4
2000,MD,South,207.92,250.0,25.0,529.42,False,True,0.29183831429671,0.461,0.393,172.2,167.2
2000,ME,Northeast,200.63,254.0,44.0,430.08,True,False,0.39376441773702,0.512,0.466,172.2,179.4
2000,MI,Midwest,245.35,300.0,87.0,575.3,False,True,0.43419663349932,0.476,0.426,172.2,168.3
2000,MN,Midwest,284.53,331.0,38.0,622.36,True,False,0.36875455106639,0.487,0.457,172.2,168.3
2000,MO,Midwest,186.44,220.0,45.0,483.5,False,True,0.41440965750913,0.437,0.386,172.2,168.3
2000,MS,South,156.91,190.0,30.0,367.09,False,True,0.28074094154518,0.466,0.427,172.2,167.2
2000,MT,West,193.63,254.0,63.0,472.26,True,False,0.34374940839161,0.434,0.41,172.2,174.8
2000,NC,South,223.47,322.0,25.0,448.69,True,False,0.35139831313921,0.517,0.498,172.2,167.2
2000,ND,Midwest,213.76,283.0,43.0,494.49,True,False,0.37992504555138,0.466,0.432,172.2,168.3
2000,NE,Midwest,187.12,206.0,36.0,438.02,False,False,0.27919640463366,0.472,0.427,172.2,168.3
2000,NH,Northeast,218.1,301.0,32.0,555.22,False,True,0.17083107868171,0.419,0.393,172.2,179.4
2000,NJ,Northeast,286.17,407.0,61.0,606.69,True,False,0.5404465583471,0.535,0.472,172.2,179.4
2000,NM,West,182.32,246.0,46.0,420.37,True,False,0.2230286994157,0.481,0.434,172.2,174.8
2000,NV,West,237.95,267.0,16.0,591.51,True,False,0.44269884063201,0.458,0.402,172.2,174.8
2000,NY,Northeast,255.99,365.0,40.0,598.06,False,True,0.35402092081706,0.485,0.428,172.2,179.4
2000,OH,Midwest,227.72,279.0,77.0,576.8,True,False,0.30207674334253,0.425,0.395,172.2,168.3
2000,OK,South,217.66,276.0,16.0,478.65,True,False,0.24648669913636,0.513,0.455,172.2,167.2
2000,OR,West,231.26,360.0,84.0,525.66,True,False,0.43759912044289,0.474,0.44,172.2,174.8
2000,PA,Northeast,265.1,375.0,35.0,525.62,True,False,0.51380108612948,0.536,0.504,172.2,179.4
2000,PR,Northeast,106.37,133.0,7.0,253.01,True,False,0.37749750670894,0.444,0.42,172.2,179.4
2000,RI,Northeast,268.18,383.0,52.0,515.22,True,False,0.5603153700822,0.556,0.521,172.2,179.4
2000,SC,South,191.41,238.0,20.0,436.35,True,False,0.37098396769276,0.479,0.439,172.2,167.2
2000,SD,Midwest,185.34,214.0,28.0,432.87,True,False,0.19696253321244,0.451,0.428,172.2,168.3
2000,TN,South,191.66,255.0,30.0,451.8,False,True,0.38294352303659,0.454,0.424,172.2,167.2
2000,TX,South,229.41,287.0,47.0,525.67,False,False,0.23696587840243,0.504,0.436,172.2,167.2
2000,UT,West,233.95,298.0,20.0,520.02,True,False,0.27608623178484,0.482,0.45,172.2,174.8
2000,VA,South,204.6,230.0,50.0,505.44,False,True,0.27144093890694,0.458,0.405,172.2,167.2
2000,VT,Northeast,211.28,287.0,40.0,431.94,True,False,0.51010862789092,0.51,0.489,172.2,179.4
2000,WA,West,284.79,441.0,94.0,571.72,True,False,0.44711973985973,0.519,0.498,172.2,174.8
2000,WI,Midwest,240.77,297.0,44.0,543.08,False,True,0.52601543142193,0.479,0.443,172.2,168.3
2000,WV,South,198.37,318.0,24.0,501.69,True,False,0.31523877984263,0.417,0.395,172.2,167.2
2000,WY,West,210.31,261.0,19.0,461.68,True,False,0.28743637084559,0.486,0.456,172.2,174.8
2001,AK,West,170.92,248.0,44.0,602.96,False,True,0.60441529601667,0.314,0.283,177.1,181.2
