State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,"1-½ x hqw",45,190
AK,"$1,000; wages in 2 qtrs",44-116,248-320
AZ,"1-½ x hqw; $1,000 in HQ",40,205
AR,"27 x wba; wages in 2 qtrs",57,321
CA,"$1,300 in HQ or $900 in HQ w/ BP wages = to 1-1/4 x HQ",40,230
CO,"40 or $2500 in BP, whichever is greater",25,358
CT,"40 or 1-½ x hqw",15-30,397-472
DE,36,20,315
DC,"1-½ x hqw; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",50,309
FL,"1-½ x hqw; $3,400 in BP",32,275
GA,"150% of hqw; wages in 2 qtrs",39,274
HI,"26; wages in 2 qtrs",5,383
ID,"1-1/4 x hqw; not less than the min qualifying wages in 1 qtr; wages in 2 qtrs",51,296
IL,"$1,600; $440 outside HQ",51-56,315-417
IN,"not less than $2,750; $1,650 in last 2 qtrs",50,288
IA,"1-1/4 x hqw; 3.5% of the Statewide aaw in HQ; ½ HQW of 2nd qtr",40-49,273-335
KS,"30; wages in 2 qtrs",80,320
KY,"1-½ x hqw; 8 x wba in last 2 qtrs; $750 in 1 qtr; $750 in other qtrs",39,329
LA,"$1,200; 1-½ x hqw",10,258
ME,"2 x annual aww in each of 2 qtrs and 6 x annual aww in BP",46-69,265-397
MD,"1-½ x hqw; $576.01 in 1 qtr; wages in 2 qtrs",25-57,280
MA,"30; not less than $2,700",29-43,477-715
MI,"1-1/2 x hqw 20 wks employment at 30 x State min hourly wage",88-118,300
MN,"1-1/4 x hqw; at least $1,000 in HQ; 2 qtrs",38,331-427
MS,"40; $780 in 1 qtr; wages in 2 qtrs",30,190
MO,"1-½ x hqw; $1,000 in 1 qtr; wages in 2 qtrs",40,250
MT,"1-½ x hqw; 7% of aaw in BP or 50% of aaw",65,263
NE,"$1,600; $800 in each of 2 qtrs",36,252
NV,"1-½ x hqw",16,291
NH,"$2,800; $1,400 in each of 2 qtrs",32,301
NJ,"20 wks employment at 20% of aww; or 12 x aww",61-70,429
NM,"$1,324 in hqw and wages in at least one other qtr.",50,267
NY,"1 ½ x hqw; least $1600in hq; wages in 2 qtrs.",40,405
NC,"At least $565.50 in BP; 1 ½ = HQW",30,375
ND,"1-½ x hqw",43,293
OH,"20 wks employment w/ wages in each wk of 27.5% of State aww",77,303-407
OK,"$1,500; 1-½ x hqw; $9,800",16,291
OR,"1-½ x hqw; not less than $1,000 in BP or 500 hrs of employment in the BP",88,376
PA,"$800 in HQ; $1,320 in BP; at least 20% of bpw outside HQ",35-43,430-438
PR,"40 x wba; not less than $280 bpw; $75 in 1 qtr; wages in 2 qtrs",7,133
RI,[See note 19],56-106,397-496
SC,"1-½ x hqw; not less than $900; $540 in 1 qtr",20,259
SD,"$728 in HQ; 20 x wba outside HQ",28,224
TN,"40; $780.01 in highest 2 qtrs",30,255
TX,"37; wages in at least 2 qtrs",48,294
UT,"1-½ x hqw",22,355
VT,"$1,571 in a qtr; BP wages of 40% of total HQ wages",[Not specified],298
VA,"$2,500 to $13,400.01 in highest 2 qtrs",50,268
VI,"1-½ x hqw; $858 in HQ or $858 in HQ and 39 x wba in BP",32,331
WA,"680 hours",94,441
WV,"$2,200 and wages in 2 qtrs",24,327
WI,"30; 4 x wba outside HQ",46,313
WY,"1.4 x hqw; 8% of State aaw in BP",20,271
