State,Qualifying wage or employment,WBA Min,WBA Max
AL,"1½ x HQW",$45,$210
AK,"$1,000; wages in 2 quarters",$44-68,$248-320
AZ,"1 ½ x HQW; $1,000 in 1quarter; or wages in 2 quarters, wages in 1 quarter sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",$40,$205
AR,"27 x WBA; wages in 2 quarters",$62,$345
CA,"$1,300 in HQ, or $900 in HQ with BP wages = 1 ¼ x HQ",$40,$370
CO,"40 x WBA or $2,500, whichever is greater",$25,$398
CT,"40 x WBA or 1 ½ x HQW",$15-30,$411-486
DE,"36 x WBA",$20,$320
DC,"1 ½ x HQW; not less than $1,950 in 2 quarters; $1,300 in 1 quarter",$50,$309
FL,"1 ½ x HQW; minimum $3,400; wages in 2 quarters",$32,$275
GA,"150% x HQW; wages in 2 quarters; earn $1,242 in 2 quarters; $1,840; $920 in HQ",$40,$295
HI,"26 x WBA; wages in 2 quarters",$5,$395
ID,"1 ¼ x HQW; not less than minimum qualifying wages in 1 quarter",$51,$316
IL,"$1,600; $440 outside HQ",$51-56,$326-438
IN,"Not less than $2,750; $1,650 in last 2 quarters",$50,$336
IA,"1 ¼ x HQW; 3.5% of the statewide AAW in HQ; ½ of HQW in quarter not the HQ",$43-52,$292-358
KS,"30 x WBA; wages in 2 quarters",$86,$345
KY,"1 ½ x HQW; 8 x WBA in last 2 quarters; $750 in 1 quarter; $750 in other quarters",$39,$329
LA,"$1,200; 1 ½ x HQW",$10,$258
ME,"2 x annual AWW in each of 2 quarters and 6 x annual AWW in BP",$49-73,$283-424
MD,"1 ½ x HQW; $576.01 in HQ",$25-65,$310
MA,"30 x WBA; $3,000 minimum",$29-43,$507-760
MI,"1 ½ x HQW; at least $1,998 in HQ; or 14 weeks employment and BP wages = 20 x state AWW",$81-111,$362
MN,"At least $1,000 in HQ; $250 outside HQ",$38,$467
MS,"40 x WBA; $780 in 1 quarter; wages in 2 quarters",$30,$210
MO,"1 ½ x HQW; $1,000 in 1 quarter; or wages in 2 quarters of BP=1½ maximum taxable wage base",$40,$250
MT,"1 ½ x HQW; minimum 7% of AAW in BP; or 50% of AAW",$70,$297
NE,"$1,600; $800 in each of 2 quarters",$36,$262
NV,"1 ½ x HQW; or wages in 3 of 4 quarters in BP",$16,$309
NH,"$2,800; $1,400 in each of 2 quarters",$32,$372
NJ,"20 weeks employment at 20% of AWW; or 12 x AWW",$61-70,$475
NM,"$1,372.80 in HQW and wages in at least 1 other quarter",$52,$277
NY,"1 ½ x HQW; $1,600 in HQ",$40,$405
NC,"6 x AWW; wages in 2 quarters of BP",$34,$408
ND,"1 ½ x HQW",$43,$290
OH,"20 weeks employment with wages averaging 27.5 % of state AWW",$88,$315-424
OK,"Not < $1,500; 1 ½ x HQW; or 100% taxable wages",$16,$303
OR,"$1,000 or more; 1 ½ x HQW; or 500 hrs of employment",$93,$405
PA,"$800 in HQ; $1,320 in BP; at least 20% of BPW outside HQ",$35-43,$451-459
PR,"40 x WBA; $280 minimum; $75 in 1 quarter; wages in 2 quarters",$7,$133
RI,"1 ½ x HQW; 200 x minimum hourly wage in 1 quarter and 400 x minimum hourly wage in BP; or 1,200 x minimum hourly wage in BP",$56-106,$427-533
SC,"1 ½ x HQW; $900 minimum; $540 in HQ",$20,$278
SD,"$728 in HQ; 20 x WBA outside HQ",$28,$241
TN,"40 x WBA; $780.01 in highest 2 quarters",$30,$275
TX,"37 x WBA; wages in at least 2 quarters",$53,$328
UT,"$2,400 or $120 for 20 weeks",$23,$365
VT,"$1,707 in a quarter; minimum 40% HQW",$1,$351
VA,"$2,500 to $13,400.01 in highest 2 quarters",$59,$318
VI,"1 ½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP",$32,$375
WA,"680 hours",$107,$496
WV,"$2,200 and wages in 2 quarters",$24,$351
WI,"30; 4 x WBA outside HQ",$49,$329
WY,"1.4 x HQW; minimum 8% of state AAW",$21,$296
