State,Minimum WBA,Maximum WBA,Year
AK,$44 ,$248 ,2000
AL,$45 ,$190 ,2000
AR,$55 ,$309 ,2000
AZ,$40 ,$205 ,2000
CA,$40 ,$230 ,2000
CO,$25 ,$337 ,2000
CT,$15 ,$362 ,2000
DC,$50 ,$309 ,2000
DE,$20 ,$315 ,2000
FL,$32 ,$275 ,2000
GA,$39 ,$264 ,2000
HI,$5 ,$364 ,2000
IA,$37 ,$263 ,2000
ID,$51 ,$273 ,2000
IL,$51 ,$284 ,2000
IN,$50 ,$252 ,2000
KS,$73 ,$292 ,2000
KY,$39 ,$268 ,2000
LA,$12 ,$215 ,2000
MA,$14 ,$402 ,2000
MD,$25 ,$250 ,2000
ME,$44 ,$254 ,2000
MI,$87 ,$300 ,2000
MN,$38 ,$331 ,2000
MO,$45 ,$220 ,2000
MS,$30 ,$190 ,2000
MT,$63 ,$254 ,2000
NC,$25 ,$322 ,2000
ND,$43 ,$283 ,2000
NE,$36 ,$206 ,2000
NH,$32 ,$301 ,2000
NJ,$61 ,$407 ,2000
NM,$46 ,$246 ,2000
NV,$16 ,$267 ,2000
NY,$40 ,$365 ,2000
OH,$77 ,$279 ,2000
OK,$16 ,$276 ,2000
OR,$84 ,$360 ,2000
PA,$35 ,$375 ,2000
PR,$7 ,$133 ,2000
RI,$52 ,$383 ,2000
SC,$20 ,$238 ,2000
SD,$28 ,$214 ,2000
TN,$30 ,$255 ,2000
TX,$47 ,$287 ,2000
UT,$20 ,$298 ,2000
VA,$50 ,$230 ,2000
VI,$32 ,$233 ,2000
VT,$40 ,$287 ,2000
WA,$94 ,$441 ,2000
WI,$44 ,$297 ,2000
WV,$24 ,$318 ,2000
WY,$19 ,$261 ,2000
AK,44.0,248,2001
AL,45.0,190,2001
AR,57.0,321,2001
AZ,40.0,205,2001
CA,40.0,230,2001
CO,25.0,358,2001
CT,15.0,397,2001
DC,50.0,309,2001
DE,20.0,315,2001
FL,32.0,275,2001
GA,39.0,274,2001
HI,5.0,383,2001
IA,40.0,273,2001
ID,51.0,296,2001
IL,51.0,315,2001
IN,50.0,288,2001
KS,80.0,320,2001
KY,39.0,329,2001
LA,10.0,258,2001
MA,29.0,477,2001
MD,25.0,280,2001
ME,46.0,265,2001
MI,88.0,300,2001
MN,38.0,331,2001
MO,40.0,250,2001
MS,30.0,190,2001
MT,65.0,263,2001
NC,30.0,375,2001
ND,43.0,293,2001
NE,36.0,252,2001
NH,32.0,301,2001
NJ,61.0,429,2001
NM,50.0,267,2001
NV,16.0,291,2001
NY,40.0,405,2001
OH,77.0,303,2001
OK,16.0,291,2001
OR,88.0,376,2001
PA,35.0,430,2001
PR,7.0,133,2001
RI,56.0,397,2001
SC,20.0,259,2001
SD,28.0,224,2001
TN,30.0,255,2001
TX,48.0,294,2001
UT,22.0,355,2001
VA,50.0,268,2001
VI,32.0,331,2001
WA,94.0,441,2001
WI,46.0,313,2001
WV,24.0,327,2001
WY,20.0,271,2001
AK,$44 ,$248 ,2002
AL,$45 ,$190 ,2002
AR,$60 ,$333 ,2002
AZ,$40 ,$205 ,2002
CA,$40 ,$330 ,2002
CO,$25 ,$390 ,2002
CT,$15 ,$406 ,2002
DC,$50 ,$309 ,2002
DE,$20 ,$330 ,2002
FL,$32 ,$275 ,2002
GA,$39 ,$284 ,2002
HI,$5 ,$395 ,2002
IA,$42 ,$283 ,2002
ID,$51 ,$315 ,2002
IL,$51 ,$326 ,2002
IN,$50 ,$312 ,2002
KS,$83 ,$333 ,2002
KY,$39 ,$329 ,2002
LA,$10 ,$258 ,2002
MA,$29 ,$512 ,2002
MD,$25 ,$280 ,2002
ME,$47 ,$272 ,2002
MI,$81 ,$300 ,2002
MN,$38 ,$452 ,2002
MO,$40 ,$250 ,2002
MS,$30 ,$200 ,2002
MT,$68 ,$286 ,2002
NC,$15 ,$396 ,2002
ND,$43 ,$290 ,2002
NE,$36 ,$262 ,2002
NH,$32 ,$331 ,2002
NJ,$61 ,$446 ,2002
NM,$52 ,$277 ,2002
NV,$16 ,$301 ,2002
NY,$40 ,$405 ,2002
OH,$86 ,$308 ,2002
OK,$16 ,$304 ,2002
OR,$93 ,$400 ,2002
PA,$35 ,$430 ,2002
PR,$7 ,$133 ,2002
RI,$56 ,$415 ,2002
SC,$20 ,$268 ,2002
SD,$28 ,$234 ,2002
TN,$30 ,$275 ,2002
TX,$51 ,$319 ,2002
UT,$23 ,$365 ,2002
VA,$50 ,$268 ,2002
VI,$32 ,$312 ,2002
VT,$25 ,$312 ,2002
WA,$106 ,$496 ,2002
WI,$48 ,$324 ,2002
WV,$24 ,$338 ,2002
WY,$20 ,$283 ,2002
AK,$44 ,$248 ,2003
AL,$45 ,$210 ,2003
AR,$62 ,$345 ,2003
AZ,$40 ,$205 ,2003
CA,$40 ,$370 ,2003
CO,$25 ,$398 ,2003
CT,$15 ,$411 ,2003
DC,$50 ,$309 ,2003
DE,$20 ,$320 ,2003
FL,$32 ,$275 ,2003
GA,$40 ,$295 ,2003
HI,$5 ,$395 ,2003
IA,$43 ,$292 ,2003
ID,$51 ,$316 ,2003
IL,$51 ,$326 ,2003
IN,$50 ,$336 ,2003
KS,$86 ,$345 ,2003
KY,$39 ,$329 ,2003
LA,$10 ,$258 ,2003
MA,$29 ,$507 ,2003
MD,$25 ,$310 ,2003
ME,$49 ,$283 ,2003
MI,$81 ,$362 ,2003
MN,$38 ,$467 ,2003
MO,$40 ,$250 ,2003
MS,$30 ,$210 ,2003
MT,$70 ,$297 ,2003
NC,$34 ,$408 ,2003
ND,$43 ,$290 ,2003
NE,$36 ,$262 ,2003
NH,$32 ,$372 ,2003
NJ,$61 ,$475 ,2003
NM,$52 ,$277 ,2003
NV,$16 ,$309 ,2003
NY,$40 ,$405 ,2003
OH,$88 ,$315 ,2003
OK,$16 ,$303 ,2003
OR,$93 ,$405 ,2003
PA,$35 ,$451 ,2003
PR,$7 ,$133 ,2003
RI,$56 ,$427 ,2003
SC,$20 ,$278 ,2003
SD,$28 ,$241 ,2003
TN,$30 ,$275 ,2003
TX,$53 ,$328 ,2003
UT,$23 ,$365 ,2003
VA,$59 ,$318 ,2003
VI,$32 ,$375 ,2003
VT,$1 ,$351 ,2003
WA,$107 ,$496 ,2003
WI,$49 ,$329 ,2003
WV,$24 ,$351 ,2003
WY,$21 ,$296 ,2003
AK,$44 ,$248 ,2004
AL,$45 ,$210 ,2004
AR,$63 ,$345 ,2004
AZ,$40 ,$205 ,2004
CA,$40 ,$410 ,2004
CO,$25 ,$398 ,2004
CT,$15 ,$429 ,2004
DC,$50 ,$309 ,2004
DE,$20 ,$330 ,2004
FL,$32 ,$275 ,2004
GA,$40 ,$300 ,2004
HI,$5 ,$417 ,2004
IA,$44 ,$300 ,2004
ID,$51 ,$316 ,2004
IL,$51 ,$326 ,2004
IN,$50 ,$348 ,2004
KS,$87 ,$351 ,2004
KY,$39 ,$365 ,2004
LA,$10 ,$258 ,2004
MA,$29 ,$508 ,2004
MD,$25 ,$310 ,2004
ME,$51 ,$292 ,2004
MI,$81 ,$362 ,2004
MN,$38 ,$478 ,2004
MO,$40 ,$250 ,2004
MS,$30 ,$210 ,2004
MT,$73 ,$323 ,2004
NC,$36 ,$416 ,2004
ND,$43 ,$312 ,2004
NE,$36 ,$280 ,2004
NH,$32 ,$372 ,2004
NJ,$61 ,$490 ,2004
NM,$58 ,$290 ,2004
NV,$16 ,$317 ,2004
NY,$40 ,$405 ,2004
OH,$90 ,$323 ,2004
OK,$16 ,$275 ,2004
OR,$96 ,$410 ,2004
PA,$35 ,$461 ,2004
PR,$7 ,$133 ,2004
RI,$56 ,$441 ,2004
SC,$20 ,$278 ,2004
SD,$28 ,$248 ,2004
TN,$30 ,$275 ,2004
TX,$53 ,$328 ,2004
UT,$24 ,$377 ,2004
VA,$50 ,$316 ,2004
VI,$32 ,$471 ,2004
VT,$42 ,$359 ,2004
WA,$109 ,$496 ,2004
WI,$49 ,$329 ,2004
WV,$24 ,$358 ,2004
WY,$22 ,$306 ,2004
AK,$44 ,$248 ,2005
AL,$45 ,$220 ,2005
AR,$65 ,$345 ,2005
AZ,$60 ,$240 ,2005
CA,$40 ,$450 ,2005
CO,$25 ,$407 ,2005
CT,$15 ,$447 ,2005
DC,$50 ,$359 ,2005
DE,$20 ,$330 ,2005
FL,$32 ,$275 ,2005
GA,$40 ,$300 ,2005
HI,$5 ,$436 ,2005
IA,$46 ,$310 ,2005
ID,$51 ,$325 ,2005
IL,$51 ,$336 ,2005
IN,$50 ,$369 ,2005
KS,$89 ,$359 ,2005
KY,$39 ,$365 ,2005
LA,$10 ,$258 ,2005
MA,$29 ,$528 ,2005
MD,$25 ,$310 ,2005
ME,$52 ,$302 ,2005
MI,$81 ,$362 ,2005
MN,$38 ,$493 ,2005
MO,$48 ,$250 ,2005
