State,Qualifying wage or employment,WBA Min,WBA Max
AL,1½ x HQW,$45 ,$265 
AK,"$2,500; wages in 2 qtrs, at least $250 oustide HQ",$56 ,$370 
AZ,1½ x HQW and 390 x minimum wage in effect in 1 qtr; or wages in 2 qtrs with wages in 1 qtr sufficient to qualify for maximum WBA and total BPW ≥ taxable wage base,$172 ,$240 
AR,35 x WBA; wages in 2 qtrs,$81 ,$451 
CA,"$1,300 in HQ, or $900 in HQ with BPW = 1¼ x HQ",$40 ,$450 
CO,"40 x WBA or $2,500, whichever is greater",$25 ,$542 
CT,40 x WBA,$15 ,$631 
DE,36 x WBA,$20 ,$330 
DC,"1½ x HQW or within $70; not less than $1,950 in 2 qtrs; $1,300 in 1 qtr",$50 ,$438 
FL,"1½ x HQW; minimum $3,400; wages in 2 qtrs",$32 ,$275 
GA,Wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings in 2 qtrs totaling at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs,$5 ,$630 
ID,"1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1,872",$72 ,$414 
IL,"$1,600; $440 outside HQ",$51 ,$471 
IN,"1½ x HQW totaling at least $2,500 in last 2 qtrs; not less than $4,200 in BP",$37 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$70 ,$467 
KS,30 x WBA; wages in 2 qtrs,$118 ,$474 
KY,"1½ x HQW; 8 x WBA in last 2 qtrs; $1,500 outside HQ",$39 ,$502 
LA,"$1,200 total BPW; wages in 2 qtrs; 1½ x HQW",$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$75 ,$431 
MD,"1½ x HQW; $1,176.01 in HQ; $1,800 in 2 qtrs",$50 ,$430 
MA,"30 x WBA; $4,700 minimum",$45 ,$795 
MI,"Total BPW = 1½ x HQW; wages in at least 2 BP qtrs; at least $3,589 in HQ; or wages in at least 2 BP qtrs; BPW at least 20 x State AWW ($1,022.92) or $20,458.40",$147 ,$362 
MN,5.3% of State AAW,$28 ,$462 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,"1½ x HQW; $1,500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base",$35 ,$320 
MT,BPW > 1½ x HQW and total wages > 7% of AAW or BPW > 50% of AAW,$150 ,$527 
NE,"$4,246 in BP; $1,850 in HQW and wages in at least 1 other qtr of $800",$70 ,$426 
NV,1½ x HQW in BP and $400 in HQ; or wages in 3 of 4 qtrs in BP and $400 in HQ,$16 ,$450 
NH,"$2,800; $1,400 in each of 2 qtrs",$32 ,$427 
NJ,"20 weeks employment at 20 x State hourly minimum wage or 1,000 x State hourly minimum wage",$103 ,$696 
NM,"$1,992.53 in HQW and wages in at least 1 other qtr",$82 ,$442 
NY,"1½ x HQW; $2,400 in HQ",$100 ,$450 
NC,6 x AWW; wages in 2 qtrs of BP,$15 ,$350 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$595 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$130 ,$443 
OK,"$1,500 and 1½ x HQW or any taxable wages if total wages equal or exceed taxable wage base for year claim was effective",$16 ,$520 
OR,"BPW > $1,000 and BPW > 1½ x HQW; or 500 hours of employment in BP",$146 ,$624 
PA,"$1,688 in HQ; $2,718 in BP; at least 37% of BPW outside HQ; 18 credit weeks in BP",$68 ,$561 
PR,40 x WBA; $280 minimum; wages in 2 qtrs,$7 ,$133 
RI,"1½ x HQW; 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1,200 x minimum hourly wage in BP",$53 ,$576 
SC,"1½ x HQW; $4,455 minimum; $1,092 in HQ",$42 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$402 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$67 ,$494 
UT,"$3,800 in BP and 1½ x HQW",$31 ,$560 
VT,1.4 x HQW and $2734 in HQ,$68 ,$498 
VA,"$3,000 in highest 2 qtrs of BP",$60 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$552 
WA,680 hours; wages in BP or alternate BP,$178 ,$749 
WV,"$2,200 and wages in 2 qtrs",$24 ,$424 
WI,"35 x WBA, HQ >$1,350 and 4 x WBA outside HQ",$54 ,$370 
WY,1.4 x HQW; at least 8% of statewide AAW,$35 ,$489 
