State,Qualifying wage or employment (MET Raw),WBA Min,WBA Max
AL,1- ½ x hqw,$45 ,$190 
AK,$1000; wages in 2 qtrs.,$44 ,$248 
AZ,1- ½ x hqw; $1000 in HQ,$40 ,$205 
AR,27 x wba; wages in 2 qtrs.,$55 ,$309 
CA,$1300 in HQ or $900 in HQ w/ BP wages = to 1-1/4 x HQ,$40 ,$230 
CO,"40 or $2500 in BP, whichever is greater",$25 ,$337 
CT,40,$15 ,$362 
DE,36,$20 ,$315 
DC,1- ½ x hqw; not less than $1950; $1300 in 1 qtr.,$50 ,$309 
FL,1- ½ x hqw; $3400 in BP,$32 ,$275 
GA,150% of hqw; wages in 2 qtrs.,$39 ,$264 
HI,26; wages in 2 qtrs.,$5 ,$364 
ID,1- 1/4 x hqw; not less than the min. qualifying wages in 1 qtr.; wages in 2 qtrs.,$51 ,$273 
IL,$1600; $440 outside HQ,$51 ,$284 
IN,1-1/4 x hqw; not less than $2750; $1650 in last 2 qtrs.,$50 ,$252 
IA,1-1/4 x hqw; 3.5% of the Statewide aaw in HQ; 1.75% of aaw in a 2nd qtr.,$37 ,$263 
KS,30; wages in 2 qtrs.,$73 ,$292 
KY,1- ½ x hqw; 8 x wba in last 2 qtrs.; $750 in 1 qtr. and $750 in other qtrs.,$39 ,$268 
LA,$1200; 1 - ½ x hqw,$12 ,$215 
ME,2 x annual aww in each of 2 qtrs. & 6 x annual aww in BP,$44 ,$254 
MD,1- ½ x hqw; $576.01 in 1 qtr.; wages in 2 qtrs.,$25 ,$250 
MA,30; not less than $2000,$14 ,$402 
MI,20 wks. employment at 30 x State min. hourly wage,$87 ,$300 
MN,"1- 1/4 x hqw, at least $1000 in HQ",$38 ,$331 
MS,40; $780 in 1 qtr.; wages in 2 qtrs.,$30 ,$190 
MO,1- ½ x hqw; $1000 in 1 qtr.; wages in 2 qtrs.,$45 ,$220 
MT,1- ½ x hqw; 7% of aaw in BP or 50% of aaw,$63 ,$254 
NE,$1600; $800 in each of 2 qtrs.,$36 ,$206 
NV,1- ½ x hqw,$16 ,$267 
NH,$2800; $1200 in each of 2 qtrs.,$32 ,$301 
NJ,20 wks. emplmt. at 20% of aww; or 12 x aww,$61 ,$407 
NM,1 - 1/4 x hqw,$46 ,$246 
NY,1 ½ x hqw; least $1600in hq; wages in 2 qtrs.,$40 ,$365 
NC,6 x State aww,$25 ,$322 
ND,1 - ½ x hqw,$43 ,$283 
OH,20 wks. employment w/ wages in ea. wk. of 27.5% of State aww,$77 ,$279 
OK,$1500 and 1 - ½ x hqw; $11400,$16 ,$276 
OR,1- ½ x hqw; not less than $1000 in BP or 500 hrs. of employment in the BP,$84 ,$360 
PA,37 + - 40; $800 in HQ and $1320 in BP; at least 20% of bpw outside HQ,$35 ,$375 
PR,40 x wba not less than $280; $75 in 1 qtr.; wages in 2 qtrs.,$7 ,$133 
RI,,$52 ,$383 
SC,1- ½ x hqw; not less than $900; $540 in 1 qtr.,$20 ,$238 
SD,$728 in HQ; 20 x wba outside HQ,$28 ,$214 
TN,40; $780.01 in highest 2 qtrs.,$30 ,$255 
TX,37 x wba,$47 ,$287 
UT,1- ½ x hqw,$20 ,$298 
VT,$1299 in a qtr.; BP wages of 40% of total HQ wages,$40 ,$287 
VA,50; wages in 2 qtrs.,$50 ,$230 
VI,1- ½ x hqw; $858 in HQ or $858 in HQ and 39 x wba in BP,$32 ,$233 
WA,680 hours,$94 ,$441 
WV,$2200 and wages in 2 qtrs,$24 ,$318 
WI,30 x wba; 4 x wba outside HQ,$44 ,$297 
WY,1.4 x hqw; 8% of State aaw in BP,$19 ,$261 
