State,Qualifying wage or employment,WBA for total unemployment Min,WBA for total unemployment Max
AL,1½ x HQW; qualify for at least minimum WBA,$45 ,$265 
AK,$2500; wages in 2 qtrs,$56 ,$370 
AZ,1½ x HQW and 390 x minimum wage in effect in 1 qtr; or wages in 2 qtrs with wages in 1 qtr sufficient to qualify for maximum WBA and total BPW ≥ taxable wage base,$126 ,$240 
AR,35 x WBA; wages in 2 qtrs,$81 ,$451 
CA,"$1300 in HQ, or $900 in HQ with BPW = 1¼ x HQ",$40 ,$450 
CO,"40 x WBA or $2500, whichever is greater",$25 ,$484 
CT,40 x WBA,$15 ,$594 
DE,36 x WBA,$20 ,$330 
DC,1½ x HQW or within $70; not less than $1950 in 2 qtrs; $1300 in 1 qtr,$50 ,$359 
FL,1½ x HQW; minimum $3400; wages in 2 qtrs,$32 ,$275 
GA,Wages in 2 qtrs & 150% x HQW or HQW divided by 21 for WBA w/ total earnings in 2 qtrs totaling at least 40 x WBA,$44 ,$330 
HI,26 x WBA; wages in 2 qtrs,$5 ,$551 
ID,1¼ x HQW; not less than the minimum qualifying wages in 1 qtr $1872,$72 ,$398 
IL,$1600; $440 outside HQ,$51 ,$426 
IN,1½ x HQW totaling at least $2500 in last 2 qtrs; not less than $4200 in BP,$37 ,$390 
IA,1¼ x HQW; 3.5% of the statewide AAW in HQ; ½ HQW in qtr not the HQ,$62 ,$416 
KS,30 x WBA; wages in 2 qtrs,$118 ,$474 
KY,1½ x HQW; 8 x WBA in last 2 qtrs; $750 outside HQ,$39 ,$415 
LA,$1200 total BPW; wages in 2 qtrs; 1½ x HQW,$10 ,$247 
ME,2 x AWW in 2 different BP qtrs; total BPW = 6 x AWW,$67 ,$386 
MD,1½ x HQW; $1176.01 in HQ; $1800 in 2 qtrs,$50 ,$430 
MA,30 x WBA; $3500 minimum,$33 ,$698 
MI,Total BPW =1½ x HQW; wages in at least 2 BP qtrs; at least $2871 ($3162 effective 4/5/15) in HQ; or wages in at least 2 BP qtrs; HQW at least 20 x State AWW ($910.71) or $18214.20,$117 ,$362 
MN,5.3% of State AAW,$25 ,$412 
MS,40 x WBA; $780 in HQ; wages in 2 qtrs,$30 ,$235 
MO,1½ x HQW; $1500 in 1 qtr; or wages in 2 qtrs of BP = 1½ maximum taxable wage base,$35 ,$320 
MT,BPW = 1½ x HQW and total wages > 7% of AAW or BPW > 50% of AAW,$134 ,$471 
NE,$4094.89 in BP; $1850 in HQW and wages in at least 1 other qtr of $800,$70 ,$380 
NV,1½ x HQW in BP and $400 in HQ; or wages in 3 of 4 qtrs in BP and $400 in HQ,$16 ,$412 
NH,$2800; $1400 in each of 2 qtrs,$32 ,$427 
NJ,20 weeks employment at 20 x State hourly minimum wage or 1000 x State hourly minimum wage,$99 ,$646 
NM,$1871.03 in HQW and wages in at least 1 other qtr,$77 ,$412 
NY,1½ x HQW; $1900 in HQ,$100 ,$420 
NC,6 x AWW; wages in 2 qtrs of BP,$15 ,$350 
ND,1½ x HQW; wages in 2 qtrs,$43 ,$594 
OH,20 weeks employment with wages averaging 27.5% of State AWW; wages in 2 qtrs,$118 ,$424 
OK,$1500 and 1½ x HQW,$16 ,$490 
OR,BPW > $1000 and BPW > 1½ x HQW; or 500 hours of employment in BP,$128 ,$549 
PA,$1688 in HQ; $3391 in BP; at least 49.5% of BPW outside HQ; 18 credit weeks in BP,$70 ,$573 
PR,40 x WBA; $280 minimum; $77 in 1 qtr; wages in 2 qtrs,$7 ,$133 
RI,1½ x HQW. 200 x minimum hourly wage in 1 qtr and 400 x minimum hourly wage in BP; or 1200 x minimum hourly wage in BP,$46 ,$566 
SC,1½ x HQW; $4455 minimum; $1092 in HQ,$42 ,$326 
SD,$728 in HQ; 20 x WBA outside HQ,$28 ,$352 
TN,40 x WBA; $780.01 avg wages in highest 2 qtrs; BPW outside HQW > the lesser of 6 x WBA or $900,$30 ,$275 
TX,37 x WBA; wages in at least 2 qtrs,$64 ,$465 
UT,$3400 in BP and 1½ x HQW,$26 ,$496 
VT,$2351 HQW + BPW > 40% HQW,$73 ,$436 
VA,$3000 in highest 2 qtrs of BP,$60 ,$378 
VI,1½ x HQW and $858 in HQ; or $858 in HQ and 39 x WBA in BP,$33 ,$477 
WA,680 hours; wages in BP or alternate BP,$151 ,$637 
WV,$2200 and wages in 2 qtrs,$24 ,$424 
WI,35 x WBA and 4 x WBA outside HQ,$54 ,$370 
WY,1.4 x HQW; at least 8% of statewide AAW,$34 ,$475 
