,Unnamed: 0,Year,State,Replacement Ratio 1,Replacement Ratio 2,Recipiency Rate,Average WBA,Minimum WBA,Maximum WBA,Average Weekly Wage,Region,Annual Regional CPI-U,Annualized State Inflation Rate,MET,"Real Average WBA (regional, 2000 base)","Real Minimum WBA (regional, 2000 base)","Real Maximum WBA (regional, 2000 base)","Real Average WBA (state, 2000 base)","Real Minimum WBA (state, 2000 base)","Real Maximum WBA (state, 2000 base)","Real Average WBA (regional, 2023 base)","Real Minimum WBA (regional, 2023 base)","Real Maximum WBA (regional, 2023 base)","Real Average WBA (state, 2017 base)","Real Minimum WBA (state, 2017 base)","Real Maximum WBA (state, 2017 base)"
155,155,2003,AK,0.308,0.274,0.55852347183433,177.03,44.0,248.0,645.32,West,188.6,0.0263406705,"$1,000; wages in 2 quarters",164.08,40.78,229.85,167.81,41.71,235.09,303.97,75.55,425.83,255.01,63.38,357.25
156,156,2003,AL,0.422,0.379,0.30743589777213,180.19,45.0,210.0,474.86,South,177.3,0.01900850575,1½ x HQW,169.93,42.44,198.04,166.35,41.54,193.87,301.25,75.23,351.09,242.48,60.56,282.6
158,158,2003,AZ,0.406,0.328,0.30232129225633,187.71,40.0,205.0,572.38,West,188.6,,"1 ½ x HQW; $1,000 in 1quarter; or wages in 2 quarters, wages in 1 quarter sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",173.98,37.07,190.0,,,,322.31,68.68,351.99,,,
159,159,2003,CA,0.447,0.371,0.44683838931872,255.88,40.0,370.0,690.17,West,188.6,0.02794296825,"$1,300 in HQ, or $900 in HQ with BP wages = 1 ¼ x HQ",237.16,37.07,342.93,232.07,36.28,335.58,439.36,68.68,635.31,350.14,54.73,506.29
163,163,2003,DE,0.441,0.391,0.52796431232922,261.57,20.0,320.0,669.44,South,177.3,,36 x WBA,246.67,18.86,301.77,,,,437.31,33.44,535.0,,,
164,164,2003,FL,0.457,0.373,0.33115795742372,230.99,32.0,275.0,619.85,South,177.3,0.03065988025,"1 ½ x HQW; minimum $3,400; wages in 2 quarters",217.83,30.18,259.33,213.38,29.56,254.04,386.18,53.5,459.76,312.07,43.23,371.53
165,165,2003,GA,0.463,0.387,0.30809788549839,247.18,40.0,295.0,638.23,South,177.3,0.01774528925,"150% x HQW; wages in 2 quarters; earn $1,242 in 2 quarters; $1,840; $920 in HQ",233.1,37.72,278.2,229.66,37.17,274.09,413.25,66.87,493.2,318.18,51.49,379.73
170,170,2003,IN,0.526,0.482,0.38953051972136,277.95,50.0,336.0,577.09,Midwest,178.3,0.028197361,"Not less than $2,750; $1,650 in last 2 quarters",262.36,47.2,317.16,254.79,45.83,308.0,440.79,79.29,532.85,375.17,67.49,453.53
175,175,2003,MD,0.453,0.39,0.35002992276634,247.5,25.0,310.0,634.5,South,177.3,0.026404115,1 ½ x HQW; $576.01 in HQ,233.4,23.58,292.34,233.6,23.6,292.6,413.79,41.8,518.28,345.53,34.9,432.78
177,177,2003,MI,0.501,0.453,0.43393639190948,292.48,81.0,362.0,645.96,Midwest,178.3,0.03322879075,"1 ½ x HQW; at least $1,998 in HQ; or 14 weeks employment and BP wages = 20 x state AWW",276.08,76.46,341.7,266.93,73.92,330.37,463.83,128.46,574.08,398.5,110.36,493.22
179,179,2003,MO,0.427,0.345,0.40636920255547,208.6,40.0,250.0,604.48,Midwest,178.3,0.0253618605,"1 ½ x HQW; $1,000 in 1 quarter; or wages in 2 quarters of BP=1½ maximum taxable wage base",196.9,37.76,235.98,192.94,37.0,231.23,330.81,63.43,396.47,276.87,53.09,331.82
180,180,2003,MS,0.453,0.415,0.32965059039153,175.95,30.0,210.0,423.63,South,177.3,0.03965894,40 x WBA; $780 in 1 quarter; wages in 2 quarters,165.93,28.29,198.04,162.16,27.65,193.54,294.16,50.16,351.09,259.43,44.23,309.63
185,185,2003,NH,0.419,0.369,0.30124294019478,268.88,32.0,372.0,729.21,Northeast,193.5,,"$2,800; $1,400 in each of 2 quarters",249.29,29.67,344.89,,,,436.02,51.89,603.25,,,
189,189,2003,NY,0.458,0.386,0.40424775050496,292.32,40.0,405.0,757.23,Northeast,193.5,0.03601644475,"1 ½ x HQW; $1,600 in HQ",271.02,37.09,375.49,270.82,37.06,375.22,474.04,64.87,656.76,389.38,53.28,539.48
198,198,2003,TN,0.443,0.403,0.36180533933234,214.35,30.0,275.0,532.02,South,177.3,0.0280957775,40 x WBA; $780.01 in highest 2 quarters,202.14,28.29,259.33,199.4,27.91,255.82,358.36,50.16,459.76,303.19,42.43,388.98
201,201,2003,VA,0.531,0.453,0.30755354889661,280.22,59.0,318.0,619.23,South,177.3,0.01792994825,"$2,500 to $13,400.01 in highest 2 quarters",264.26,55.64,299.88,265.53,55.91,301.33,468.49,98.64,531.65,375.56,79.07,426.19
204,204,2003,WI,0.476,0.436,0.53399329791978,254.52,49.0,329.0,583.14,Midwest,178.3,0.03155298475,30; 4 x WBA outside HQ,240.25,46.25,310.55,236.56,45.54,305.78,403.63,77.71,521.75,343.0,66.03,443.38
207,207,2004,AK,0.322,0.285,0.53722752351838,178.46,44.0,248.0,626.61,West,193.0,0.0377849315,"$1,000; wages in 2 quarters",161.63,39.85,224.61,164.83,40.64,229.05,299.44,73.83,416.12,250.48,61.76,348.08
208,208,2004,AL,0.432,0.379,0.26475232463148,180.64,45.0,210.0,476.34,South,181.8,0.0221537065,1½ x HQW,166.13,41.39,193.14,163.65,40.77,190.25,294.53,73.37,342.4,238.56,59.43,277.33
210,210,2004,AZ,0.422,0.341,0.27184678254679,189.96,40.0,205.0,557.87,West,193.0,,"1 ½ x HQW; $1,000 in 1 quarter; or wages in 2 quarters, wages in 1 quarter sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",172.05,36.23,185.67,,,,318.73,67.12,343.97,,,
211,211,2004,CA,0.485,0.417,0.39573426956194,266.72,40.0,410.0,639.46,West,193.0,0.0179773345,"$1,300 in HQ, or $900 in HQ with BP wages = 1 ¼ x HQ",241.57,36.23,371.34,235.33,35.29,361.75,447.53,67.12,687.94,355.05,53.25,545.78
215,215,2004,DE,0.439,0.401,0.50550538284819,249.17,20.0,330.0,622.13,South,181.8,,36 x WBA,229.16,18.39,303.5,,,,406.27,32.61,538.06,,,
216,216,2004,FL,0.45,0.373,0.34933534222323,227.48,32.0,275.0,610.49,South,181.8,0.0180858349999999,"1 ½ x HQW; minimum $3,400; wages in 2 quarters",209.21,29.43,252.92,203.89,28.68,246.48,370.9,52.18,448.38,298.19,41.95,360.48
217,217,2004,GA,0.456,0.392,0.25225070890474,243.02,40.0,300.0,620.51,South,181.8,0.01584913095,"150% x HQW; wages in 2 quarters; earn $1,242 in 2 quarters; $1,840; $920 in HQ",223.5,36.79,275.91,221.86,36.52,273.88,396.24,65.22,489.15,307.37,50.59,379.44
222,222,2004,IN,0.536,0.485,0.32719119457174,281.02,50.0,348.0,579.8,Midwest,182.6,0.02264363325,"Not less than $2,750; $1,650 in last 2 quarters",259.01,46.08,320.75,250.54,44.58,310.26,435.17,77.43,538.89,368.92,65.64,456.85
227,227,2004,MD,0.464,0.4,0.30407718435885,253.62,25.0,310.0,633.72,South,181.8,0.02394256775,1 ½ x HQW; $576.01 in HQ,233.25,22.99,285.1,233.22,22.99,285.07,413.52,40.76,505.45,344.96,34.0,421.65
229,229,2004,MI,0.489,0.444,0.41013136102711,287.28,81.0,362.0,647.41,Midwest,182.6,0.03091071525,"1 ½ x HQW; at least $1,998 in HQ; or employment in at least 2 quarters and BP wages = 20 x state AWW",264.78,74.66,333.65,253.75,71.55,319.75,444.86,125.43,560.56,378.83,106.81,477.36
231,231,2004,MO,0.425,0.365,0.33660931273223,207.59,40.0,250.0,568.56,Midwest,182.6,0.0238304527499999,"1 ½ x HQW; $1,000 in 1 quarter; or wages in 2 quarters of BP=1½ maximum taxable wage base",191.33,36.87,230.42,187.26,36.08,225.51,321.46,61.94,387.13,268.72,51.78,323.62
232,232,2004,MS,0.45,0.395,0.27535163947266,174.32,30.0,210.0,441.81,South,181.8,0.0279055639999999,40 x WBA; $780 in 1 quarter; wages in 2 quarters,160.32,27.59,193.14,154.53,26.59,186.16,284.23,48.91,342.4,247.22,42.55,297.82
237,237,2004,NH,0.41,0.371,0.27411413498801,256.37,32.0,372.0,690.57,Northeast,200.2,,"$2,800; $1,400 in each of 2 quarters",229.73,28.68,333.35,,,,401.82,50.16,583.06,,,
241,241,2004,NY,0.458,0.399,0.376126573469,286.35,40.0,405.0,718.16,Northeast,200.2,0.023012919,"1 ½ x HQW; $1,600 in HQ",256.6,35.84,362.92,256.07,35.77,362.17,448.81,62.69,634.78,368.17,51.43,520.73
250,250,2004,TN,0.437,0.408,0.30228639063952,211.12,30.0,275.0,517.35,South,181.8,0.02084842645,40 x WBA; $780.01 in highest 2 quarters,194.17,27.59,252.92,191.02,27.14,248.82,344.23,48.91,448.38,290.46,41.27,378.35
253,253,2004,VA,0.468,0.406,0.23255251390649,244.02,50.0,316.0,601.66,South,181.8,0.0382195985,"$2,500 to $13,400.01 in highest 2 quarters",224.42,45.98,290.62,227.15,46.54,294.16,397.87,81.52,515.23,321.28,65.83,416.05
256,256,2004,WI,0.48,0.437,0.51842393878567,255.39,49.0,329.0,584.46,Midwest,182.6,0.033211555,30 x WBA and 4 x WBA outside HQ,235.39,45.16,303.23,230.11,44.15,296.43,395.48,75.88,509.46,333.65,64.01,429.81
259,259,2005,AK,0.317,0.282,0.52099693011956,176.85,44.0,248.0,626.64,West,198.9,0.0351181395,"$1,000; wages in 2 quarters",155.42,38.67,217.95,157.39,39.16,220.71,287.93,71.64,403.77,239.18,59.51,335.4
260,260,2005,AL,0.428,0.372,0.29342298069038,187.09,45.0,220.0,503.36,South,188.3,0.0186027285,1½ x HQW; qualify for at least min WBA,166.13,39.96,195.35,165.82,39.88,194.99,294.52,70.84,346.32,241.72,58.14,284.24
262,262,2005,AZ,0.457,0.349,0.21840945128933,208.59,60.0,240.0,597.28,West,198.9,,"1½ x HQW; $1,500 in 1 quarter; or wages in 2 quarters, wages in 1 quarter sufficient to qualify for maximum WBA, and BP wages ≥ taxable wage base",183.32,52.73,210.92,,,,339.61,97.69,390.75,,,
263,263,2005,CA,0.488,0.396,0.38404316434126,288.56,40.0,450.0,728.51,West,198.9,0.035333903,"$1,300 in HQ, or $900 in HQ with BP wages = 1¼ x HQ",253.6,35.15,395.48,250.1,34.67,390.03,469.81,65.12,732.66,377.34,52.31,588.45
267,267,2005,DE,0.431,0.391,0.41701600994066,248.83,20.0,330.0,636.84,South,188.3,,36 x WBA,220.95,17.76,293.02,,,,391.71,31.48,519.49,,,
268,268,2005,FL,0.395,0.338,0.35939946318339,230.38,32.0,275.0,682.41,South,188.3,0.03009895225,"1½ x HQW; minimum $3,400; wages in 2 quarters",204.56,28.41,244.18,202.82,28.17,242.1,362.66,50.37,432.91,296.62,41.2,354.08
269,269,2005,GA,0.48,0.385,0.20514866746842,249.44,40.0,300.0,648.43,South,188.3,0.0299248654999999,"150% x HQW or 40 x WBA; wages in 2 quarters; earn $1,242 in 2 quarters; $1,840; $920 in HQ",221.49,35.52,266.38,224.17,35.95,269.61,392.67,62.97,472.26,310.57,49.8,373.52
274,274,2005,IN,0.537,0.499,0.31266983543322,294.52,50.0,369.0,590.44,Midwest,188.4,0.025196287,"1¼ x HQW totaling at least $1,650 in last 2 quarters; not less than $2,750 in BP",263.1,44.67,329.63,256.76,43.59,321.69,442.03,75.04,553.81,378.08,64.19,473.69
279,279,2005,MD,0.464,0.4,0.27304783080027,254.51,25.0,310.0,636.53,South,188.3,0.0382563425,1½ x HQW; $576.01 in HQ,225.99,22.2,275.26,228.57,22.45,278.4,400.65,39.36,488.0,338.08,33.21,411.79
281,281,2005,MI,0.475,0.432,0.40537380632011,287.62,81.0,362.0,666.2,Midwest,188.4,0.03493558525,"1½ x HQW; at least $1,998 in HQ; or wages in 2 or more BP quarters totaling at least 20 x state AWW",256.93,72.36,323.38,246.43,69.4,310.16,431.67,121.57,543.31,367.9,103.61,463.05
283,283,2005,MO,0.415,0.351,0.30896559417949,209.62,48.0,250.0,596.79,Midwest,188.4,0.02166239575,"1½ x HQW; $1,200 in 1 quarter; or wages in 2 quarters of BP=1½ maximum taxable wage base",187.26,42.88,223.33,184.69,42.29,220.26,314.61,72.04,375.21,265.03,60.69,316.08
284,284,2005,MS,0.465,0.414,0.28799887592417,173.36,30.0,210.0,418.65,South,188.3,0.037845565,40 x WBA; $780 in HQ; wages in 2 quarters,153.93,26.64,186.47,149.51,25.87,181.1,272.9,47.23,330.58,239.18,41.39,289.74
