State,% Change in Real Average WBA (2018-2023),% Change in Real Maximum WBA (2018-2023),% Change in Real Minimum WBA (2018-2023),Change in Recipiency Rate (2018-2023),% Change in Real Average WBA (2013-2023),% Change in Real Maximum WBA (2013-2023),% Change in Real Minimum WBA (2013-2023),Change in Recipiency Rate (2013-2023),% Change in Real Average WBA (2003-2023),% Change in Real Maximum WBA (2003-2023),% Change in Real Minimum WBA (2003-2023),Change in Recipiency Rate (2003-2023)
AK,-8.080319341962024,-18.7039524565474,-18.692845615922536,-0.07711409698041999,-13.775104958583912,-27.17858965944724,-27.17417489761503,-0.21254522756112,-7.374451487079487,-13.108549053730693,-25.870524767042667,-0.30099423234774003
AL,-8.986234401132123,-15.021365180234463,-18.12903225806452,-0.026784614381869992,-10.754383751734569,-20.62631121117536,-23.53118409159385,-0.045788153780560004,-16.736303183663857,-21.672389416279533,-40.19792648444863,-0.14532989045053998
AR,-7.340085287846472,-18.1104136488009,-18.10360279620004,-0.03622714584306,-21.076049943246307,-23.51473241130488,-23.518580515567468,-0.09719639817479,-19.250243879778882,-21.810358075918252,-21.857362750128274,-0.26169899350738
AZ,8.213340220830373,8.396611233134607,7.071356414730465,0.023833318446880025,1.5820099405988688,-2.9061270376616166,28.92845294703085,0.013692681497180004,-3.6728359581561025,-9.089473684210532,214.51308335581336,-0.12114035219819996
CA,-9.199072656489218,-18.705445296027314,-18.71234939759036,0.02233244003299001,-10.564411891426102,-27.177334732423926,-27.18381112984823,0.14761486038262,-12.472592342722207,-29.16921820779751,-41.75883463717292,-0.02327040039742001
CO,11.042691527056322,5.526110000868897,-18.734939759036152,0.056255275258000004,18.052152287605608,5.4833386410352905,-27.19913653534809,0.058969521530310015,9.647066816128277,-1.2280416395575724,-41.77816141562366,-0.00031467776896998423
CT,7.106794619801902,-3.0981025628661585,-15.467980295566505,-0.04188275105366002,15.603161397670556,-5.5949640625734,-20.629047178538393,0.08133999692652,2.3798121200957953,5.4769715260464515,-38.31775700934579,-0.12211228890127002
DC,-8.091461696389032,-15.838290150216755,-18.1184668989547,0.05316900475425998,2.6712236362818715,-5.405099150141644,-23.515052888527254,0.07663808000688999,-8.176480051480045,-14.056280027453665,-40.19088016967126,-0.07838735132106003
DE,7.767096951386973,-0.7434780695965851,-18.1422351233672,-0.07089172802173999,5.2973379132675,-7.293421539220117,-23.525423728813564,-0.07802242190946002,-20.464588316374098,-25.23445007787387,-40.19088016967126,-0.30026078454065
FL,-14.079169824520497,-18.107908351810785,-18.103448275862064,0.008813344409299997,-15.391239451174007,-23.510848126232744,-23.516949152542374,-0.04015500385802001,-32.34173438002112,-40.1843211352331,-40.19218025182239,-0.21505747610719
GA,-4.475385380407757,-9.42765386476618,2.342461233916202,0.05639083990577998,-3.1119180914914084,-15.40452808480914,-4.406779661016959,0.02856821106405999,-17.58901758901759,-25.995686556434215,-17.762460233297983,-0.11865283373267002
HI,-3.2464871194379485,0.20681265206813204,-18.674698795180714,-0.015365461358660015,3.2392078465671283,4.049820625536868,-27.223719676549862,0.04018021020507001,11.166795600551609,12.49658563234089,-41.68466522678185,-0.03260298323905997
IA,6.270530695671218,0.3426753151389073,-0.08188331627430737,-0.21722308513226002,18.136817333441538,9.327288485899047,9.219064667710908,-0.11008007113055002,22.6659925851028,18.989913649227187,20.251293422025125,-0.2179522265391
ID,8.837557280463844,6.786657245918708,-18.71993306839574,-0.05235569363341999,16.88846482197559,8.51787468823219,-27.18755855349447,-0.05035287606957997,4.681807960422756,-1.953018301010643,-17.79141104294479,-0.29656722139918
IL,8.661058389623296,4.5683890577507515,-17.13973799126638,-0.03724146642463,21.63566358955327,9.96292271303457,-21.408231944084914,0.05066590556051004,8.396031417941288,11.799688028077455,-36.933942667220606,-0.12428036009283999
IN,-8.577729810895782,-17.14081741923969,-17.15575620767494,0.01536120997255,1.7389033942558811,-21.429054968860008,-21.441312879058156,0.0022436167748400015,-25.73944198810794,-26.809812082229794,-53.347457627118644,-0.19181898784530999
KS,4.04440048356961,-2.108725660078125,-1.687116564417186,-0.04950573904787001,9.762318840579706,-3.508670352893496,-3.5085687818434477,-0.15163533078028,6.498425078746056,2.352218639643797,2.6484355752648328,-0.23851847316119998
KY,10.510315755340269,14.423668945850498,-18.093819806403573,-0.11678930330352899,22.12318029115341,15.373305015520344,-23.50486787204451,-0.10822835454902899,11.005252229143753,13.80777412492749,-40.18488308863513,-0.22867011856051897
LA,-6.154895939952241,-8.828023980251547,186.5021770682148,0.028338780190869994,-9.53164057360874,-14.844093104962667,167.84260515603796,-0.02939956795571999,-28.563266154165806,-36.24332100287711,109.33191940615058,-0.12819364446212
MA,14.347531718230258,11.525378125420389,16.67839549612947,0.04061292163919006,35.20710059171597,19.518876279529586,39.503575936053835,0.14280737698929002,21.367868524651623,23.452325235076362,23.31721829676458,-0.03788293331691994
MD,-10.765806611161489,-18.1099969614099,-18.1184668989547,0.04966591980635002,-10.625825627476885,-23.5123458736716,-23.515052888527254,0.01474534138553002,-7.240788346186807,-17.031538619415738,19.592875318066163,-0.05565988900872998
ME,13.236376228195478,8.75437541986352,8.807450900992105,0.04944548221824002,25.244159325928774,14.780953802522559,14.780008543357543,0.022957832849250015,20.958942112076944,17.230734049851353,18.291877613911517,-0.06939449956683996
MI,-11.722072736741598,-17.14351638209507,-9.820075757575749,-0.01670313491200001,-9.361910703145885,-21.43091565474237,7.4466884801985875,0.021422858685249985,-26.322080556360472,-36.944688323090425,24.548783677740012,-0.18741987893410003
MN,0.43735370210669455,2.320149486141385,5.139186295503217,0.10540570723926002,15.621897603176855,10.359074266904047,8.030803080308036,0.18539401121451,6.847968545216262,-25.466754383974955,-45.24672428212991,0.11500326939667999
MO,-10.39593589609301,-17.140122678035414,-17.143993635640424,-0.058980763326409974,-7.936934997847612,-21.426508807392434,-21.425877027536792,-0.045587590657009985,-13.108176739461658,-19.28553267226036,-44.835805084745765,-0.22068239488029998
MS,-12.775299693337042,-18.113300796935807,-18.10261374636979,0.03233505968097,-12.684015907346685,-23.51855057411574,-23.50813743218806,-0.04420409622964999,-24.576628698848914,-33.06907695415067,-40.19088016967125,-0.15778310077087
MT,10.485133020344296,3.1110077339070736,3.0810119106211196,0.003811188653859987,16.32525828286428,7.274872198191116,11.238580837051199,-0.03968159323845005,27.380894328765805,28.833508918516372,61.405672009864375,-0.08924671759489
