Year,State,Region,Average WBA,Maximum WBA,Minimum WBA,Average Weekly Wage,Indexer,Non-indexer,Recipiency Rate,Replacement Ratio 1,Replacement Ratio 2,National CPI-U,Regional CPI-U,"Real Average WBA (base 2004, region)","Real Maximum WBA (base 2004, region)","Real Average WBA (base 2004, nation)","Real Maximum WBA (base 2004, nation)","Real Average WBA (base 2024, region)","Real Maximum WBA (base 2024, region)","Real Average WBA (base 2024, nation)","Real Maximum WBA (base 2024, nation)"
2000,AK,West,168.56,248.0,44.0,599.99,False,True,0.60879994588987,0.308,0.281,172.2,174.8,186.11,273.82,184.91,272.05,321.06,472.37,307.06,451.77
2000,AL,South,164.13,190.0,45.0,428.77,False,True,0.29208564615296,0.434,0.383,172.2,167.2,178.46,206.59,180.05,208.43,299.58,346.8,298.99,346.11
2000,AR,South,211.5,309.0,55.0,433.26,True,False,0.45345821793852,0.523,0.488,172.2,167.2,229.97,335.98,232.01,338.97,386.05,564.01,385.28,562.89
2000,AZ,West,176.33,205.0,40.0,458.32,False,True,0.2057091472626,0.463,0.385,172.2,174.8,194.69,226.34,193.43,224.88,335.86,390.47,321.21,373.44
2000,CA,West,163.65,230.0,40.0,528.25,False,True,0.40979121129037,0.383,0.31,172.2,174.8,180.69,253.95,179.52,252.31,311.71,438.09,298.11,418.98
2000,CO,West,259.02,337.0,25.0,593.11,True,False,0.2339362942664,0.488,0.437,172.2,174.8,285.99,372.09,284.14,369.68,493.36,641.89,471.85,613.9
2000,CT,Northeast,253.09,362.0,15.0,609.17,True,False,0.76407753368998,0.45,0.415,172.2,179.4,282.43,403.97,277.63,397.11,457.65,654.58,461.04,659.44
2000,DC,South,228.91,309.0,50.0,584.42,True,False,0.32272032363013,0.443,0.392,172.2,167.2,248.9,335.98,251.11,338.97,417.83,564.01,417.0,562.89
2000,DE,South,238.58,315.0,20.0,563.64,False,True,0.39749550753952,0.459,0.423,172.2,167.2,259.41,342.51,261.72,345.55,435.48,574.96,434.61,573.82
2000,FL,South,220.34,275.0,32.0,486.08,False,True,0.23813360315712,0.501,0.453,172.2,167.2,239.58,299.01,241.71,301.67,402.18,501.95,401.38,500.96
2000,GA,South,211.45,264.0,39.0,503.54,False,True,0.23394513674957,0.48,0.42,172.2,167.2,229.91,287.05,231.96,289.6,385.96,481.87,385.19,480.92
2000,HI,West,289.41,364.0,5.0,631.39,True,False,0.32693588065572,0.534,0.458,172.2,174.8,319.54,401.9,317.48,399.3,551.24,693.32,527.21,663.08
2000,IA,Midwest,229.3,263.0,37.0,487.38,True,False,0.45167644061341,0.518,0.47,172.2,168.3,248.78,285.35,251.54,288.51,395.61,453.76,417.71,479.1
2000,ID,West,214.04,273.0,51.0,439.86,True,False,0.39239063104112,0.504,0.487,172.2,174.8,236.33,301.42,234.8,299.48,407.69,519.99,389.91,497.31
2000,IL,Midwest,221.85,284.0,51.0,605.93,True,False,0.36003996748824,0.407,0.366,172.2,168.3,240.7,308.13,243.37,311.54,382.76,489.99,404.13,517.35
2000,IN,Midwest,230.62,252.0,50.0,523.5,False,True,0.33647482755853,0.493,0.441,172.2,168.3,250.22,273.41,252.99,276.44,397.89,434.78,420.11,459.06
2000,KS,Midwest,248.08,292.0,73.0,562.65,True,False,0.29631998635453,0.529,0.441,172.2,168.3,269.16,316.81,272.14,320.32,428.02,503.79,451.92,531.92
2000,KY,South,233.36,268.0,39.0,501.71,True,False,0.31319400553123,0.505,0.465,172.2,167.2,253.74,291.4,255.99,293.99,425.95,489.18,425.1,488.2
2000,LA,South,186.0,215.0,12.0,470.28,True,False,0.22960018070207,0.442,0.396,172.2,167.2,202.24,233.77,204.04,235.85,339.5,392.44,338.83,391.66
2000,MA,Northeast,280.69,402.0,14.0,655.6,True,False,0.63767645663563,0.466,0.428,172.2,179.4,313.23,448.61,307.91,440.99,507.55,726.91,511.32,732.31
2000,MD,South,207.92,250.0,25.0,529.42,False,True,0.29183831429671,0.461,0.393,172.2,167.2,226.08,271.83,228.08,274.25,379.51,456.32,378.76,455.41
2000,ME,Northeast,200.63,254.0,44.0,430.08,True,False,0.39376441773702,0.512,0.466,172.2,179.4,223.89,283.45,220.09,278.63,362.79,459.29,365.48,462.7
2000,MI,Midwest,245.35,300.0,87.0,575.3,False,True,0.43419663349932,0.476,0.426,172.2,168.3,266.2,325.49,269.14,329.09,423.31,517.59,446.94,546.5
2000,MN,Midwest,284.53,331.0,38.0,622.36,True,False,0.36875455106639,0.487,0.457,172.2,168.3,308.71,359.12,312.12,363.1,490.9,571.08,518.32,602.97
2000,MO,Midwest,186.44,220.0,45.0,483.5,False,True,0.41440965750913,0.437,0.386,172.2,168.3,202.28,238.69,204.52,241.34,321.67,379.57,339.63,400.76
2000,MS,South,156.91,190.0,30.0,367.09,False,True,0.28074094154518,0.466,0.427,172.2,167.2,170.61,206.59,172.13,208.43,286.4,346.8,285.84,346.11
2000,MT,West,193.63,254.0,63.0,472.26,True,False,0.34374940839161,0.434,0.41,172.2,174.8,213.79,280.45,212.41,278.63,368.81,483.8,352.73,462.7
2000,NC,South,223.47,322.0,25.0,448.69,True,False,0.35139831313921,0.517,0.498,172.2,167.2,242.98,350.12,245.14,353.23,407.9,587.74,407.09,586.57
2000,ND,Midwest,213.76,283.0,43.0,494.49,True,False,0.37992504555138,0.466,0.432,172.2,168.3,231.92,307.05,234.49,310.45,368.8,488.26,389.4,515.53
2000,NE,Midwest,187.12,206.0,36.0,438.02,False,False,0.27919640463366,0.472,0.427,172.2,168.3,203.02,223.5,205.27,225.98,322.84,355.41,340.87,375.26
2000,NH,Northeast,218.1,301.0,32.0,555.22,False,True,0.17083107868171,0.419,0.393,172.2,179.4,243.39,335.9,239.25,330.19,394.38,544.28,397.3,548.32
2000,NJ,Northeast,286.17,407.0,61.0,606.69,True,False,0.5404465583471,0.535,0.472,172.2,179.4,319.35,454.19,313.92,446.47,517.46,735.95,521.3,741.41
2000,NM,West,182.32,246.0,46.0,420.37,True,False,0.2230286994157,0.481,0.434,172.2,174.8,201.3,271.61,200.0,269.86,347.27,468.56,332.12,448.13
2000,NV,West,237.95,267.0,16.0,591.51,True,False,0.44269884063201,0.458,0.402,172.2,174.8,262.73,294.8,261.03,292.89,453.23,508.56,433.46,486.38
2000,NY,Northeast,255.99,365.0,40.0,598.06,False,True,0.35402092081706,0.485,0.428,172.2,179.4,285.67,407.32,280.82,400.4,462.89,660.01,466.33,664.9
2000,OH,Midwest,227.72,279.0,77.0,576.8,True,False,0.30207674334253,0.425,0.395,172.2,168.3,247.07,302.71,249.8,306.06,392.89,481.36,414.83,508.24
2000,OK,South,217.66,276.0,16.0,478.65,True,False,0.24648669913636,0.513,0.455,172.2,167.2,236.67,300.1,238.77,302.77,397.29,503.78,396.5,502.78
2000,OR,West,231.26,360.0,84.0,525.66,True,False,0.43759912044289,0.474,0.44,172.2,174.8,255.34,397.48,253.69,394.91,440.49,685.7,421.28,655.8
2000,PA,Northeast,265.1,375.0,35.0,525.62,True,False,0.51380108612948,0.536,0.504,172.2,179.4,295.84,418.48,290.81,411.37,479.36,678.09,482.92,683.12
2000,PR,Northeast,106.37,133.0,7.0,253.01,True,False,0.37749750670894,0.444,0.42,172.2,179.4,118.7,148.42,116.69,145.9,192.34,240.49,193.77,242.28
2000,RI,Northeast,268.18,383.0,52.0,515.22,True,False,0.5603153700822,0.556,0.521,172.2,179.4,299.27,427.41,294.19,420.14,484.93,692.55,488.53,697.69
2000,SC,South,191.41,238.0,20.0,436.35,True,False,0.37098396769276,0.479,0.439,172.2,167.2,208.12,258.78,209.97,261.08,349.38,434.42,348.68,433.55
2000,SD,Midwest,185.34,214.0,28.0,432.87,True,False,0.19696253321244,0.451,0.428,172.2,168.3,201.09,232.18,203.31,234.75,319.77,369.22,337.63,389.83
2000,TN,South,191.66,255.0,30.0,451.8,False,True,0.38294352303659,0.454,0.424,172.2,167.2,208.4,277.27,210.25,279.73,349.83,465.45,349.14,464.52
2000,TX,South,229.41,287.0,47.0,525.67,False,False,0.23696587840243,0.504,0.436,172.2,167.2,249.44,312.06,251.66,314.83,418.74,523.86,417.91,522.82
2000,UT,West,233.95,298.0,20.0,520.02,True,False,0.27608623178484,0.482,0.45,172.2,174.8,258.31,329.03,256.64,326.9,445.61,567.61,426.18,542.85
2000,VA,South,204.6,230.0,50.0,505.44,False,True,0.27144093890694,0.458,0.405,172.2,167.2,222.47,250.08,224.44,252.31,373.45,419.81,372.71,418.98
2000,VT,Northeast,211.28,287.0,40.0,431.94,True,False,0.51010862789092,0.51,0.489,172.2,179.4,235.78,320.28,231.77,314.83,382.04,518.96,384.88,522.82
2000,WA,West,284.79,441.0,94.0,571.72,True,False,0.44711973985973,0.519,0.498,172.2,174.8,314.44,486.92,312.41,483.77,542.45,839.98,518.79,803.35
2000,WI,Midwest,240.77,297.0,44.0,543.08,False,True,0.52601543142193,0.479,0.443,172.2,168.3,261.23,322.24,264.12,325.8,415.4,512.42,438.6,541.03
2000,WV,South,198.37,318.0,24.0,501.69,True,False,0.31523877984263,0.417,0.395,172.2,167.2,215.69,345.77,217.61,348.84,362.08,580.44,361.36,579.29
2000,WY,West,210.31,261.0,19.0,461.68,True,False,0.28743637084559,0.486,0.456,172.2,174.8,232.21,288.18,230.71,286.31,400.58,497.13,383.11,475.45
2001,AK,West,170.92,248.0,44.0,602.96,False,True,0.60441529601667,0.314,0.283,177.1,181.2,182.05,264.15,182.31,264.52,314.06,455.69,302.74,439.27
2001,AL,South,168.27,190.0,45.0,458.56,False,True,0.34817207720034,0.423,0.367,177.1,171.1,178.79,201.88,179.48,202.66,300.14,338.9,298.05,336.54
2001,AR,South,221.91,321.0,57.0,441.76,True,False,0.57650058087208,0.529,0.502,177.1,171.1,235.79,341.07,236.7,342.39,395.82,572.56,393.06,568.57
2001,AZ,West,186.76,205.0,40.0,574.49,False,True,0.26575380964847,0.43,0.325,177.1,181.2,198.92,218.35,199.2,218.66,343.16,376.68,330.8,363.11
2001,CA,West,176.15,230.0,40.0,630.26,False,True,0.46511343491664,0.36,0.279,177.1,181.2,187.62,244.98,187.89,245.32,323.67,422.61,312.01,407.39
2001,CO,West,294.72,358.0,25.0,753.21,True,False,0.29734339973012,0.469,0.391,177.1,181.2,313.91,381.31,314.36,381.85,541.53,657.81,522.02,634.11
2001,CT,Northeast,271.52,397.0,15.0,657.31,True,False,0.75692441468047,0.449,0.413,177.1,184.4,294.78,431.02,289.61,423.45,477.66,698.4,480.93,703.19
2001,DC,South,264.81,309.0,50.0,686.64,True,False,0.30198758664916,0.466,0.386,177.1,171.1,281.37,328.32,282.45,329.59,472.34,551.16,469.05,547.32
2001,DE,South,240.81,315.0,20.0,566.1,False,True,0.48287279918814,0.469,0.425,177.1,171.1,255.87,334.7,256.85,335.99,429.53,561.86,426.54,557.94
2001,FL,South,226.11,275.0,32.0,563.09,False,True,0.28626364693671,0.482,0.402,177.1,171.1,240.25,292.2,241.18,293.32,403.31,490.51,400.5,487.09
2001,GA,South,230.2,274.0,39.0,625.92,False,True,0.35297323058366,0.461,0.368,177.1,171.1,244.6,291.14,245.54,292.26,410.6,488.73,407.74,485.32
2001,HI,West,308.43,383.0,5.0,637.19,True,False,0.44034873473098,0.57,0.484,177.1,181.2,328.52,407.94,328.98,408.52,566.72,703.74,546.31,678.39
2001,IA,Midwest,240.98,273.0,40.0,497.2,True,False,0.52276912574339,0.522,0.485,177.1,172.8,254.65,288.48,257.04,291.19,404.94,458.74,426.84,483.55
2001,ID,West,227.63,296.0,51.0,474.26,True,False,0.48103241045735,0.508,0.48,177.1,181.2,242.45,315.28,242.8,315.72,418.26,543.88,403.19,524.29
2001,IL,Midwest,242.42,315.0,51.0,648.56,True,False,0.42875063410904,0.423,0.374,177.1,172.8,256.17,332.86,258.57,335.99,407.36,529.32,429.39,557.94
2001,IN,Midwest,256.4,288.0,50.0,568.73,False,True,0.41236952118633,0.505,0.451,177.1,172.8,270.94,304.33,273.48,307.19,430.85,483.95,454.15,510.12
2001,KS,Midwest,263.78,320.0,80.0,583.84,True,False,0.35359914664387,0.524,0.452,177.1,172.8,278.74,338.15,281.36,341.32,443.25,537.72,467.22,566.8
2001,KY,South,253.14,329.0,39.0,521.9,True,False,0.35822422426079,0.525,0.485,177.1,171.1,268.97,349.57,270.01,350.92,451.52,586.83,448.38,582.74
2001,LA,South,200.72,258.0,10.0,477.65,True,False,0.24656190477587,0.477,0.42,177.1,171.1,213.27,274.13,214.09,275.19,358.02,460.19,355.53,456.98
2001,MA,Northeast,327.4,477.0,29.0,783.09,True,False,0.69684323662163,0.484,0.418,177.1,184.4,355.45,517.87,349.21,508.78,575.96,839.14,579.91,844.89
2001,MD,South,228.92,280.0,25.0,591.95,False,True,0.32642459712195,0.458,0.387,177.1,171.1,243.24,297.51,244.17,298.66,408.32,499.43,405.48,495.95
2001,ME,Northeast,216.29,265.0,46.0,491.42,True,False,0.43046045234698,0.498,0.44,177.1,184.4,234.82,287.71,230.7,282.66,380.5,466.19,383.1,469.38
2001,MI,Midwest,257.26,300.0,88.0,611.42,False,True,0.50966797511033,0.477,0.421,177.1,172.8,271.85,317.01,274.4,319.99,432.3,504.11,455.67,531.38
2001,MN,Midwest,312.84,331.0,38.0,689.11,True,False,0.46194718362468,0.49,0.454,177.1,172.8,330.58,349.77,333.68,353.05,525.69,556.21,554.12,586.28
2001,MO,Midwest,204.76,250.0,40.0,535.11,False,True,0.41239468073583,0.438,0.383,177.1,172.8,216.37,264.18,218.4,266.66,344.08,420.1,362.68,442.81
