Year,Midwest,Northeast,South,West,National
2000.0,168.3,179.4,167.2,174.8,172.2
2001.0,172.8,184.4,171.1,181.2,177.1
2002.0,174.9,188.2,173.3,184.7,179.9
2003.0,178.3,193.5,177.3,188.6,184.0
2004.0,182.6,200.2,181.8,193.0,188.9
2005.0,188.4,207.5,188.3,198.9,195.3
2006.0,193.0,215.0,194.7,205.7,201.6
2007.0,198.123,220.512,200.361,212.23,207.342
2008.0,205.382,229.306,208.681,219.646,215.303
2009.0,204.064,229.343,207.845,218.822,214.537
2010.0,208.046,233.868,211.338,221.203,218.056
2011.0,214.743,240.997,218.618,227.485,224.939
2012.0,219.1,245.698,223.242,232.376,229.594
2013.0,222.17,249.038,226.721,235.824,232.957
2014.0,225.425,252.463,230.552,240.215,236.736
2015.0,224.21,252.185,230.147,243.015,237.017
2016.0,226.115,254.85,232.692,247.705,240.007
2017.0,229.874,259.538,237.456,254.738,245.12
2018.0,234.29,265.139,242.737,263.263,251.107
2019.0,237.776,269.392,246.265,270.35,255.657
2020.0,240.04,272.908,248.639,275.057,258.811
2021.0,252.242,283.557,261.259,287.494,270.97
2022.0,272.401,303.32,283.666,310.509,292.655
2023.0,282.76,313.786,296.422,323.834,304.702
2024.0,290.37,324.397,305.187,332.945,313.689
