,Consumer Price Index for All Urban Consumers (CPI-U),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
0,Original Data Value,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
2,Series Id:,"CUUR0200SA0,CUUS0200SA0",,,,,,,,,,,,,,
3,Not Seasonally Adjusted,,,,,,,,,,,,,,,
4,Series Title:,"All items in Midwest urban, all urban consumers, not seasonally adjusted",,,,,,,,,,,,,,
5,Area:,Midwest,,,,,,,,,,,,,,
6,Item:,All items,,,,,,,,,,,,,,
7,Base Period:,1982-84=100,,,,,,,,,,,,,,
8,Years:,2000 to 2024,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,
10,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual,HALF1,HALF2
11,2000.0,164.9,165.9,167.1,167.0,167.5,169.7,168.8,168.2,170.0,170.1,170.3,170.2,168.3,167.0,169.6
12,2001.0,171.9,172.1,171.7,172.8,174.2,173.8,172.5,173.0,174.6,172.6,172.5,171.9,172.8,172.8,172.9
13,2002.0,172.1,172.5,173.6,174.7,174.8,175.3,175.3,175.8,176.2,176.3,176.1,175.5,174.9,173.8,175.9
14,2003.0,176.2,177.8,178.6,177.8,177.7,178.4,178.1,178.8,179.5,179.1,178.9,178.4,178.3,177.8,178.8
15,2004.0,179.4,180.2,181.0,181.5,182.9,183.3,183.2,183.3,183.6,184.5,184.8,183.8,182.6,181.4,183.9
16,2005.0,184.1,185.2,186.3,187.7,187.4,187.8,188.4,189.7,192.5,192.1,190.3,189.7,188.4,186.4,190.5
17,2006.0,190.8,190.7,192.0,193.0,193.6,194.1,194.6,195.1,193.7,192.3,192.8,192.9,193.0,192.4,193.6
18,2007.0,193.068,194.458,196.389,197.405,199.194,199.263,198.989,198.551,199.714,199.455,200.762,200.227,198.123,196.629,199.616
19,2008.0,201.427,201.896,203.723,205.393,207.168,208.968,210.071,209.351,209.252,206.019,201.737,199.582,205.382,204.763,206.002
20,2009.0,200.815,201.453,202.021,202.327,203.195,205.35,204.814,205.632,205.601,205.706,206.247,205.613,204.064,202.527,205.602
21,2010.0,206.564,206.563,207.359,207.777,207.987,207.886,208.211,208.639,208.788,208.689,208.816,209.27,208.046,207.356,208.736
22,2011.0,210.388,211.09,212.954,214.535,215.899,215.954,216.099,216.586,216.968,215.653,215.614,215.173,214.743,213.47,216.016
23,2012.0,216.368,216.855,218.975,219.405,219.145,219.017,218.956,220.462,221.125,220.375,219.483,219.033,219.1,218.294,219.906
24,2013.0,219.282,221.599,222.121,221.931,223.049,223.775,222.902,223.046,223.252,222.171,221.718,221.194,222.17,221.96,222.381
25,2014.0,222.247,223.493,225.485,226.214,226.565,227.588,226.997,226.587,226.913,225.793,224.396,222.821,225.425,225.265,225.585
26,2015.0,221.545,222.301,223.55,223.797,224.732,225.946,225.853,225.83,225.184,225.05,224.009,222.722,224.21,223.645,224.775
27,2016.0,223.301,223.196,224.621,225.609,226.476,227.835,226.786,227.097,227.636,227.358,226.673,226.794,226.115,225.173,227.057
28,2017.0,228.279,228.633,228.824,229.682,229.705,229.78,229.82,230.443,231.03,230.66,231.084,230.548,229.874,229.151,230.598
29,2018.0,232.028,232.512,232.931,233.913,235.065,235.455,235.346,235.276,235.524,235.68,234.292,233.458,234.29,233.651,234.929
30,2019.0,233.837,235.444,236.793,237.51,238.219,238.288,238.76,238.786,238.847,239.243,238.85,238.734,237.776,236.682,238.87
31,2020.0,239.69,240.421,239.163,236.474,237.291,239.259,240.43,241.362,241.878,241.74,241.316,241.453,240.04,238.716,241.363
32,2021.0,242.552,244.477,246.246,248.169,250.582,253.042,254.671,255.142,255.709,257.793,258.911,259.609,252.242,247.511,256.973
33,2022.0,261.657,263.988,267.312,268.639,272.673,277.072,276.525,275.875,276.549,276.908,276.436,275.182,272.401,268.557,276.246
34,2023.0,277.332,278.672,280.33,281.927,282.656,283.741,284.64,285.122,285.276,284.981,284.539,283.908,282.76,280.776,284.744
35,2024.0,284.731,286.346,288.301,289.718,290.355,290.779,292.256,292.559,292.547,292.291,292.022,292.533,290.37,288.372,292.368
