Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2000, AL, 506, 504, 0.434, 0.383, $164.13, $428.77
2000, AK, 488, 469, 0.308, 0.281, $168.56, $599.99
2000, AZ, 460, 459, 0.463, 0.385, $176.33, $458.32
2000, AR, 480, 469, 0.523, 0.488, $211.50, $433.26
2000, CA, 1815, 1801, 0.383, 0.310, $163.65, $528.25
2000, CO, 474, 461, 0.488, 0.437, $259.02, $593.11
2000, CT, 485, 476, 0.450, 0.415, $253.09, $609.17
2000, DE, 370, 369, 0.459, 0.423, $238.58, $563.64
2000, DC, 365, 339, 0.443, 0.392, $228.91, $584.42
2000, FL, 481, 475, 0.501, 0.453, $220.34, $486.08
2000, GA, 486, 476, 0.480, 0.420, $211.45, $503.54
2000, HI, 481, 480, 0.534, 0.458, $289.41, $631.39
2000, ID, 491, 465, 0.504, 0.487, $214.04, $439.86
2000, IL, 720, 715, 0.407, 0.366, $221.85, $605.93
2000, IN, 489, 488, 0.493, 0.441, $230.62, $523.50
2001, AL, 500, 499, 0.423, 0.367, $168.27, $458.56
2001, AK, 481, 469, 0.314, 0.283, $170.92, $602.96
2001, AZ, 457, 456, 0.430, 0.325, $186.76, $574.49
2001, AR, 480, 473, 0.529, 0.502, $221.91, $441.76
2001, CA, 1657, 1640, 0.360, 0.279, $176.15, $630.26
2001, CO, 296, 295, 0.469, 0.391, $294.72, $753.21
2001, CT, 480, 465, 0.449, 0.413, $271.52, $657.31
2001, DE, 302, 298, 0.469, 0.425, $240.81, $566.10
2001, DC, 360, 328, 0.466, 0.386, $264.81, $686.64
2001, FL, 485, 481, 0.482, 0.402, $226.11, $563.09
2001, GA, 486, 473, 0.461, 0.368, $230.20, $625.92
2001, HI, 481, 481, 0.570, 0.484, $308.43, $637.19
2001, ID, 493, 466, 0.508, 0.480, $227.63, $474.26
2001, IL, 607, 606, 0.423, 0.374, $242.42, $648.56
2001, IN, 480, 480, 0.505, 0.451, $256.40, $568.73
2002, AL, 487, 486, 0.425, 0.373, $171.69, $460.27
2002, AK, 478, 455, 0.319, 0.281, $173.30, $616.03
2002, AZ, 482, 478, 0.391, 0.313, $188.60, $602.99
2002, AR, 480, 474, 0.523, 0.499, $227.50, $455.79
2002, CA, 705, 694, 0.393, 0.310, $225.21, $726.81
2002, CO, 325, 324, 0.469, 0.395, $320.39, $811.58
2002, CT, 485, 465, 0.441, 0.402, $280.45, $697.57
2002, DE, 327, 319, 0.455, 0.415, $253.32, $610.53
2002, DC, 360, 313, 0.501, 0.401, $296.20, $738.14
2002, FL, 480, 477, 0.449, 0.382, $230.32, $602.44
2002, GA, 486, 465, 0.449, 0.370, $245.38, $663.04
2002, HI, 481, 481, 0.578, 0.506, $306.89, $606.54
2002, ID, 485, 465, 0.507, 0.470, $239.04, $508.60
2002, IL, 480, 473, 0.397, 0.340, $253.74, $746.69
2002, IN, 480, 478, 0.513, 0.466, $266.03, $570.35
2003, AL, 488, 486, 0.422, 0.379, $180.19, $474.86
2003, AK, 421, 400, 0.308, 0.274, $177.03, $645.32
2003, AZ, 480, 475, 0.406, 0.328, $187.71, $572.38
2003, AR, 480, 455, 0.512, 0.498, $228.27, $458.49
2003, CA, 1424, 1392, 0.447, 0.371, $255.88, $690.17
2003, CO, 434, 431, 0.482, 0.425, $317.63, $746.69
2003, CT, 411, 399, 0.452, 0.413, $292.78, $709.09
2003, DE, 316, 310, 0.441, 0.391, $261.57, $669.44
2003, DC, 360, 316, 0.436, 0.358, $263.66, $737.05
2003, FL, 480, 478, 0.457, 0.373, $230.99, $619.85
2003, GA, 480, 456, 0.463, 0.387, $247.18, $638.23
2003, HI, 481, 478, 0.549, 0.468, $320.78, $685.48
2003, ID, 486, 474, 0.500, 0.466, $239.90, $514.73
2003, IL, 480, 474, 0.405, 0.347, $256.27, $737.69
2003, IN, 480, 478, 0.526, 0.482, $277.95, $577.09
2004, AL, 480, 475, 0.432, 0.379, $180.64, $476.34
2004, AK, 450, 434, 0.322, 0.285, $178.46, $626.61
2004, AZ, 480, 477, 0.422, 0.341, $189.96, $557.87
2004, AR, 480, 458, 0.518, 0.494, $233.28, $471.96
2004, CA, 1067, 1061, 0.485, 0.417, $266.72, $639.46
2004, CO, 477, 473, 0.474, 0.412, $306.22, $743.34
2004, CT, 470, 451, 0.440, 0.400, $281.03, $701.99
2004, DE, 360, 350, 0.439, 0.401, $249.17, $622.13
2004, DC, 360, 288, 0.414, 0.319, $260.69, $816.18
