Year, State, Sample, Valid cases, Replacement Ratio 1, Replacement Ratio 2, Average WBA, Average Weekly Wage
2018, IA, 480, 479, 0.533, 0.495, $381.41, $769.76
2018, KS, 492, 489, 0.516, 0.451, $380.00, $842.64
2018, KY, 492, 484, 0.489, 0.448, $358.17, $800.23
2018, LA, 484, 480, 0.364, 0.309, $212.76, $688.80
2018, ME, 485, 484, 0.504, 0.450, $341.45, $759.03
2018, MD, 484, 482, 0.473, 0.410, $352.23, $859.30
2018, MA, 510, 508, 0.464, 0.423, $502.06, $1,188.12
2018, MI, 484, 481, 0.463, 0.414, $320.77, $775.36
2018, MN, 467, 466, 0.480, 0.440, $451.98, $1,026.40
2018, MS, 498, 497, 0.409, 0.355, $208.30, $586.99
2018, MO, 480, 469, 0.401, 0.337, $265.81, $789.47
2018, MT, 364, 364, 0.480, 0.465, $356.09, $765.47
2018, NE, 361, 361, 0.477, 0.427, $336.51, $788.72
2018, NV, 490, 490, 0.501, 0.414, $350.08, $845.34
2018, NH, 361, 361, 0.391, 0.339, $331.62, $977.69
2019, IA, 480, 480, 0.525, 0.482, $395.06, $819.09
2019, KS, 494, 491, 0.506, 0.440, $390.08, $886.45
2019, KY, 503, 492, 0.495, 0.449, $375.29, $835.71
2019, LA, 484, 483, 0.339, 0.288, $215.99, $748.80
2019, ME, 429, 429, 0.517, 0.478, $351.75, $735.97
2019, MD, 482, 481, 0.463, 0.400, $356.79, $892.13
2019, MA, 504, 503, 0.485, 0.435, $523.40, $1,202.91
2019, MI, 475, 470, 0.451, 0.382, $328.19, $858.57
2019, MN, 481, 480, 0.502, 0.465, $467.63, $1,005.38
2019, MS, 501, 500, 0.393, 0.312, $212.53, $682.14
2019, MO, 480, 474, 0.407, 0.351, $268.75, $765.39
2019, MT, 361, 360, 0.490, 0.463, $380.36, $820.87
2019, NE, 359, 359, 0.463, 0.428, $347.22, $811.98
2019, NV, 434, 432, 0.492, 0.425, $373.41, $879.03
2019, NH, 364, 362, 0.379, 0.310, $337.97, $1,090.88
2020, IA, 188, 188, 0.506, 0.470, $349.77, $744.34
2020, KS, 307, 300, 0.503, 0.423, $371.91, $879.73
2020, KY, 390, 372, 0.464, 0.421, $310.73, $737.57
2020, LA, 340, 336, 0.331, 0.231, $187.58, $811.24
2020, ME, 259, 259, 0.472, 0.439, $322.52, $734.11
2020, MD, 361, 347, 0.489, 0.443, $319.96, $722.50
2020, MA, 341, 340, 0.438, 0.433, $408.91, $945.26
2020, MI, 348, 346, 0.449, 0.365, $307.50, $841.71
2020, MN, 328, 328, 0.495, 0.460, $386.76, $840.56
2020, MS, 366, 366, 0.375, 0.350, $186.74, $533.62
2020, MO, 360, 354, 0.400, 0.348, $245.47, $704.80
2020, MT, 269, 268, 0.494, 0.467, $321.89, $689.45
2020, NE, 269, 269, 0.466, 0.450, $304.95, $677.06
2020, NV, 172, 172, 0.539, 0.454, $374.22, $824.86
2020, NH, 277, 273, 0.422, 0.363, $274.36, $756.49
2021, IA, 65, 65, 0.489, 0.451, $399.22, $885.54
2021, KS, 417, 411, 0.491, 0.397, $445.25, $1,121.90
2021, KY, 519, 487, 0.492, 0.473, $404.85, $855.16
2021, LA, 488, 485, 0.333, 0.288, $186.93, $649.41
2021, ME, 364, 360, 0.496, 0.469, $361.22, $770.03
2021, MD, 448, 435, 0.432, 0.372, $335.63, $901.69
2021, MA, 482, 478, 0.450, 0.418, $484.05, $1,157.91
2021, MI, 485, 482, 0.452, 0.394, $316.96, $804.77
2021, MN, 463, 461, 0.492, 0.460, $426.66, $927.11
2021, MS, 495, 494, 0.376, 0.333, $198.03, $595.36
2021, MO, 480, 476, 0.360, 0.316, $261.60, $827.23
2021, MT, 367, 365, 0.478, 0.451, $383.00, $849.77
2021, NE, 362, 353, 0.452, 0.416, $354.48, $852.74
2021, NV, 493, 491, 0.479, 0.396, $374.62, $945.09
2021, NH, 364, 359, 0.369, 0.333, $292.70, $877.84
2022, IA, 282, 281, 0.521, 0.493, $462.67, $938.84
2022, KS, 508, 504, 0.509, 0.450, $442.01, $982.73
2022, KY, 527, 514, 0.473, 0.446, $435.86, $978.31
2022, LA, 481, 480, 0.346, 0.285, $221.27, $776.75
2022, ME, 360, 360, 0.502, 0.457, $410.38, $898.58
2022, MD, 485, 481, 0.422, 0.371, $357.52, $962.74
2022, MA, 433, 429, 0.475, 0.426, $596.65, $1,401.34
2022, MI, 490, 485, 0.417, 0.361, $336.14, $929.96
2022, MN, 495, 491, 0.486, 0.454, $516.22, $1,137.37
2022, MS, 481, 481, 0.354, 0.309, $216.58, $701.99
2022, MO, 490, 488, 0.356, 0.312, $277.28, $888.04
2022, MT, 372, 372, 0.489, 0.465, $440.42, $947.85
2022, NE, 360, 358, 0.459, 0.427, $383.95, $898.53
2022, NV, 524, 519, 0.480, 0.413, $414.85, $1,003.66
2022, NH, 369, 369, 0.332, 0.285, $331.71, $1,165.12
2023, IA, 416, 414, 0.533, 0.477, $489.18, $1,025.57
